comments,comments_writer
"사랑하다가 생각하다의 옛말이라는데요.
특정 대상에 대해 자꾸 좋게 생각하는 게 포괄적 범위의 사랑 아닐까 싶습니다.",딸림음 INFJ 4w3
지나가다 감동받고 갑니다...,infjaa
222,생선꾸꾸 intj
오 맞네요 한번도 사랑받아본적이 없는듯 ㅎ,isntp123
맞는말같아요!!,잇쀼제
소유와 순종을 동시에 강렬하게 느끼는 것,카페별별명설정 INTP
와. 이말에 공감해요,INTJ확신
저도 공감해요 멋지네요,카리얌INFJ
귀찮음을 이기는게 사랑이라네요,군고구마균
자존심을 느끼게 하는 게 구분점인듯,드메르
나보다 그 사람을 먼저 생각하게 될때 사랑인걸 느껴요!!! 그리고 그 사람의 단점까지도 허용이 될 때 !,엥뿌삐인가잉뿌삐인가
"새럼마다 다를거같아요
여러 종류가 잇겟지만
대표적으론 클랜을 결성하고 지키련는 마음으로 여기는..",볼프
"뭔가 어긋 포인트가 있었을듯
인프피 차단 잘안하는데 ㅠㅠ",인프피특공대
정말 정중하게 얘기했는데 차단 당하니까 기분이..별로네요,EISTPPP
저도 차단 처음 당했을 때 충격 그 잡채였는데 몇번 겪어보니 그러려니 되더라구요 그만큼 내가 싫엇나? ㅋ이러고 어서 기분푸시고 보내버려요! 더 좋은분 만나실거에여!,인프피특공대
선톡을 한번도 안하신 건가요? 집안 사정 때문인진 모르겠고 그분은 잘해보고 싶었는데 상대방은 같은 마음이 아닌 것 같아서 정리한 것 같아요,돌핀inf
두번째 만남 때 저도 더 좋아진다고 호감표현도 했어요..,EISTPPP
"결혼적령기에 호감표현 열심히 했는데 돌아오는게 적었다거나 = 지레짐작했다가 아니여서, 좋게 끝은 냈지만 프사로 보기엔 찝찝해서 차단.",모르게따
그럼 숨김처리하면 될텐데 굳이 차단까지 가는 이유가 뭘까요;,EISTPPP
"제 경우둘 중 하나 일 것 같아요
1. 약간의 미련이 있어서 차단해야 잊을 수 있을 것 같아서
2. 다신 보지 않게될 사이라는 확신이 들어서",돌핀inf
저 같은 경우는 2번이요! 2번 만나셔서 미련까지 생길 감정은 없을 것 같긴한데 아마 잘 안 맞을 거라고 먼저 판단을 하시고 정리 후 차단하신 것 같아요 상대방이 싫어서 라기보다는 훗날 다음 사람을 만나게 되면 정리를 어짜피 해야하니까요. 인프피 특성상 남사친 여사친 자체를 안 만드는데 더더욱 소개로 받고 끝난 사이라면 더 칼같이 정리하는..차단에 맘 아파하지마세용 나쁜감정은 없습니다!!,iiinfppp
"차량이 인프피남자분의 차량이라면
주유비는 인프피 남자가 누군가에게 받는다는 걸
전혀 생각하지 않고 있을거에요🤗
휴게소에서 음료수 하나만 사줘도 엄청 고마워할것 같아요🤗",산골총각 INFP A 4w5
"댓글 감사합니다ㅠ
사실 주차비도 너무 미안했거든요
그래서 제가 카드 내밀고 상대는 안된다 그랬는데
친구한테 아니 그 상황에 니 카드 내미는거 없어보인다고 한 소리 들었어요.....",einnffjj
"두분 모습이 정말 훈훈합니다🤗🤗
인프피는 이럴때 이렇게 하는 남자구나 하고 받아주시고,
나중에 또 데이트 하실때 아이스크림 하나 사주시면
인프피 남자가 정말 좋아할거에요🤗",산골총각 INFP A 4w5
"고맙다는 마음만 표현해주신다면 좋아하실거같아요!
커피를 산다던지… 고생했다는 말 등등",잉푸피그잡채
저는 이럴 때 제가 좋아하는 커피빈 카페금액권을 기프티콘으로 받았는데 너무 계산적이지도 않고 절 생각해주는 것 같아서 좋더라구요! 나중에 저도 그런 식으로 하려고 다짐했습니다☺️,졸리ENFP
상황마다 다른데 글의 내용을 모르지만 지금 보여지는걸로 봐서는 미련인것도 같아요,Witty한 ENFP이자 2w3
그쵸...?,나비이
저였다면 미련이 되게 남긴 하고 다시 돌아가긴 힘들것같고 그래서 자신의 마음을 알아주기 위하는 마음에서 직접보고 나에게 다가와달라는 메세지 같네요 그 심기를 건드린다는 내용이 비판적이지 않다면요ㅎㅎ,Witty한 ENFP이자 2w3
제가 다가오길 기다리는거 같죠 아무래도?? 관시끌려고요 ㅋㅋㅋ,나비이
네네 엄청난 미련이겠네요ㅜㅜ,Witty한 ENFP이자 2w3
그래도 보라는식으로 올리는게 기분이 썩 좋진않네요ㅠ,나비이
이해해요.. 그게 좋은 마음은 아닐수 있어요 뭐가 됐던 헤어졌다면 좋게 헤어진경우는 매우 드물기 때문에... 근데 생각을 좀 바꿔보시면 안될까요? 그만큼 나비이 님께 진심이였고 정말 사랑했던 존재였기에 추억과 정이 많이 남아있어서 후유증처럼 마음은 아프다고 생각해주시는것도..엔프피가 단순해서 또 자기생활로 돌아가서 바쁘고 다른 좋은 사람이 생기면 언제그랬냐는듯 안할꺼예요..ㅜㅜ,Witty한 ENFP이자 2w3
