comments,comments_writer
그쵸.. 완전한 거절.. 저 진짜 김칫국 먹었나보네요.... 하루종일 마음이 너무 지옥이었어요..,완전ENFJ
연애는 확실히 아니라고 하시네요..ㅠㅠ,솜야
솜야님! 그쵸.. 저 아주 까였어요 예전에도 댓글에서 본적있었는데ㅠㅠ 잘되가고 계세요? 저 쪽지보냈어요! 확인부탁드려요ㅎㅎ,완전ENFJ
넵! 쪽지확인이요!,솜야
호감 맞아요 관심 없으면 보자고 안 합니자,엘버
네 인프피분들보면 용기있어서 평소에는 가만히있다가 갑자기 적극적으로 용기냅니다,엔프핑2
"네 맞는 것 같아요! ㅎㅎ 인프피 소심해서 잘 못그러는데 놓치기 싫으신가 봅니다 ㅎㅎㅎ
그리고 인류애 많은 유형이라 유기견 봉사같은거 다니시는 분들 정말 애정해요! ㅎㅎㅎ",댓글달려고가입
선물로 딱이네여,깁스너 infp
귀엽네요 ❤❤,장작이infp 9w1 927
"한글자를바꿔얄듯요
나는생각만많아ㅋㅋㅋㅋ",따뜻한커피
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,조이 ENFP
아니. 저거 제가 읽을 때는 저 표지가 아니었는데..ㅋㅋ,솔리더스 iNtP
으악 너무 귀여워요.. 정말로 춘배부터 제목까지 인프피 취향저격..ㅠㅠ 센스 좋으시네요🥹,샛벼리 INftp
인프피 동생 선물 각이네여 ㅋㅋㅋ 좋은 정보 감사합니당,조이 ENFP
저는 개인적으로 INTJ 랑 INFJ 유형이랑 잘맞는다고 느꼈어요 🤭 그리고 ENFJ랑도 티키타카하면서 재밌게 지내고 있어요!,LATE ENFP
정말 잘 맞나요? 만나 보질 못 한 유형이라 신기함,행복 드림 ENFP 4w3
"지나가던 엔프피 답장 드립니당~!
진짜루 잘 맞아요!! 엔프피가 진짜 쓸데없는 상상에 빠져 궁금증이 생길 때 얘기하면 같이 상상에 빠져서 고민도 해주고 엔프피가 현실적인 고민에 빠져서 허우적 거리고 있으면 계획을 세워주기도 합니다...
전 인프제에게 감정적인 고민을 털어놓고 인티제에겐 계획이 필요할 때 말 꺼내는 것 같아요!!
진짜 친구처럼 장난 치고 지내는 건 엔프제가 잘 맞구요! 엔프제는 울타리 안 사람이라면 오히려 인프제나 인티제는 울타리 안 제일 깊숙한 곳에 있는 오두막집에 있는 사람들 같아요!",언로 ENFP
최근에 엔프피 여자분을 소개받았는데 두 번째 만나는날 상대가 선물도 준비해오고 얘기하다가 다음에 어디 같이 가면 좋겠다 같이 뭐 하면 좋겠다 이런 말을 해주더라구요 좋은 신호가 맞겠죠?? 저도 너무 맘에 드는데 보통 엔프피분들은 소개 받으면 어느정도 보고 결정지으시나요? 참고로 상대분은 I에 가까운 엔프피입니다 거의 반반이에요,쵸록 ESFJ
