mbti,comments
ESTJ,저는 잇프제 남이랑 사귀고 있지만 대신 답변할게요. 사귀면서 사랑받는다 라는 느낌을 많이 받게 해줬고 지금 내 감정이 어떤지 계속 확인하면서 많이 챙겨주고 배려해준다는 느낌을 받았습니다. 제가 엣티제라 애정표현에 어색하고 서툰면이 있는데도 많이 표현해준 남자였습니다. 아직 저도 사귄지 얼마 안 됐지만 배울점 많고 존경할 점이 많은 엠비티아이로 남친 덕분에 남아있네요. 혹시 저도 잇프제 눈에는 엣티제가 어떻게 비춰지는지 여쭤봐도 될까요 ?
ESTJ,마음이 없어서 안 하는거는 이미 말투나 표정부터 구분이 확실이 갈겁니다 ! 사랑한다 보고싶다 라는 애정표현이 부끄러움이 많고 어색하다보니깐 그런거에 주저하고 말을 잘 못하는거지 안하려고 참지는 않았습니다 !
ESTJ,그러면 관심이 없는게 아닐까요 ?
ISFJ,"일단 저는 화나면 말을 제대로못하는데, 엣티제분들은 자신의 주장을 논리적으로 따박따박말하는게 멋지더라구요ㅎㅎ 그리고 저는 타인이 주도하면 서폿해주는게 좋은데, 엣티제분들이 리더십도있고 잘 이끌어주는게 저에게 매력적으로 다가옵니다!!ㅎㅎ 신중한 모습도 좋아요. 혹시 댓작성자님께서는 잇프제 어떤 부분에 반해서 사귀게 되셨나요? 제가 엣티제 짝사랑중인데ㅜㅠ 저의 어떤점을 어필할 수 있나해서요"
ESTJ,우선 다정함과 따뜻함 그리고 비전이 보이는 사람을 좋아했어요 ! 다정함과 따뜻함은 기본 베이스여서 패스하고 목표가 뚜렷하고 열심히 사는 모습을 보여주는 사람을 좋아했어요. 엣티제는 살짝 썸이나 짝사랑 기간이 늘어나면 관계를 의심하고 마음 접는 일도 일어나니깐 기간에 대해서도 참고하셨으면 좋겠어요 ! 그렇다고 너무 빨리 마음을 잡아놔라 그 말도 아니에요 !
INFP,돈 쓰는게 부담되는걸 알지만 직접적으로 말하기 보다는 나를 위해 사용해주는 것은 너무 고밉지만 우리 미래를 위해 조금만 아껴서 쓰고 싶다고 해보셔요 그러면 기분도 좋고 아끼기까지 할 것 같습니다 잇티제들이 원래 사랑하는만큼 아낌이 없다고 하도라고요
ISTJ,저도 돈 많이 써요… 사귀면 제가 남자처럼 돈 쓰려하고 리드해요ㅋㅋ..
ISFP,"앗 잇티제님 잘지내셧어요?
정말 회피에 피말라는죽는줄알았어요ㅜ
물론저도잘한건없지만..^^; 못한말이 너무많다보니 울컥울컥하네요ㅎㅎㅎ"
ISFP,"헉 그런가요??근데왜차단을왜푼걸까요
회피형남자를 처음만나봐서 어질어질하네요"
ISFP,그러겠죠? 저도 정리는 다했는데 못한말이많아 ㅜㅜ 억울합니다ㅜㅠ큐유...ㅜㅜ답글 감사드려요! 좋은하루보내세용😀
ISFP,"감사드려요! 헤헤 회피형을 처음만나봐서 어질어질하네요@,@"
INFJ,"연애든 결혼이든 싸우지않는것보다 싸우고 어떻게 푸느냐가 가장 중요하다고 생각하는데 회피하는 방식은 제일 좋지못하다고 생각해요
크게 다퉈서 타협점을 찾든 조근조근 대화를 하든 접점이 있어야하는데 자기 힘들다고 연락끊는것만큼 무례한건 없다고 생각되요 만나도 힘드실것같고 관계발전이 없을것같아서 안하시는게 좋을것같아요..ㅠ"
ISFP,"맞아요 저도 님이랑 같은 생각이에요 지지고볶고싸우든 풀던안풀던 중간이있어야한다고봐요 자꾸회피하길래 몇번이나 회피하는 성향은 별로좋지않다했었구요
저도물론관계에서잘한건 없지요
헤어짐을반복했으니 일단 좋은댓글감사합니다😀"
ENTP,"으악 ㅜ 진짜 회피 넘 짱나용,, 저는 연락했어요 제가 답답해서 할말은 다 해야겠더라구요"
ISFP,헉....잘푸셩나요ㅜㅜ?
ENTP,넹 얘기는 잘 했어요!
INTJ,"엘버님의 따뜻한 마음이 느껴집니다.
연애 상대였던 ESTJ분은 어떤 분이셨나요?
제가 겪었던 ESTJ는 차갑고 정 없고 성격이 모난 분이었는데"
INTJ,"제가 만났던 ESTJ분도 차갑긴 했어도 책임감과 속정은 매우 깊으신 분이었습니다. 똑똑하고 재주도 많으셨죠.
그분과 지내면서 힘든 순간도 많았지만 그래도 그분과 만나서 다행이었다고 생각해요."
INTJ,말귀를 못 알아 들어서 화를 내거나 하진 않았었나요? 제가 만난 ESTJ분은 화와 짜증을 많이 내셨었어요 ㅎ;
INTJ,좋은 추억이었다고 생각하시고 다음에 만날 다른 만남을 기대하셨으면 합니다. 분명 더 좋은 만남이 있을겁니다!
