mbti,comments
ISTP,저 이거해보니 estp 나오더라고여 ㅋㅋㅋ좀 아닌거같던데
INTJ,"뭐가 다른가 했더니!!
한국 MBTI 연구소 / 한국 MBTI'심리'연구소 였네요...!
사이트 리뉴얼한줄 알았어요 ㅎㅎ... 주소에 k가 붙고 안붙고가 달랐네...."
INFP,INFP인데 INTP ENTP 나왔어요…ㅋㅋ 근데 유료검사에는 ISTP 나왔는데 제 자아가 몇 개인걸까요 ㅋㅋ
INFP,"애인인걸 떠나서
사람이 힘들다고 했을때
초면이나 처음 만난 사람이 그러는거 아닌이상
싫어하는 사람이면
몇년이 지나더라도
비슷할것 같아요
나중에 약점잡힐 만한
아주 딥한 이야기 아니면
오픈해도 괜찮다고 생각합니다"
ISFJ,"우선 전체적인 분위기나 대화가 굉장히 차분하고 조용한 느낌이에요~
가치관을 물어보면 확실히 티가 나실 수도 있는데 도덕성,예의 굉장히 중시하는데
제일 중요한건 너무 진지한 성격이라 대화 자체가 노잼이라면 확률이 높은...ㅋㅋㅋ"
ISFJ,"우선 대화에서 주도보단 잘 들어주며 공감 리액션을 잘 해주는것 같아요~
굉장히 진지하죠ㅠ 저 같은 경우에도 농담,진담 구분 못할만큼 유머쪽으로는 센스가 없어서ㅠㅠ
같은 엠비티아이라도 사바사니깐 차라리 간접적으로 질문을 던져서 그 대답으로 유추해 보는 방법밖엔 없을 것 같네요ㅠㅠ"
ENTP,"1. 다음주에 내 친구들이 다같이 모여 놀기로 했는데 너도 올래? - 응이라고 대답하면 찬다.

2. 만약에~ 로 시작하는 비현실적 질문을 마구 던진다. - 즐거워하면 찬다.

3. 사실을 전달하는 게 중요하다고 생각해, 아니면 타인에게 상처주지 않는 게 중요하다고 생각해? 하고 묻는다. - 사실을 전달하는 게 중요하다고 답변하면 찬다.

4. 나랑 아무 계획 없이 훌쩍 여행갈래? 하고 묻는다. - 가겠다고 하면 찬다.

모두 통과한 사람과 만난다."
ENFJ,"공감!! 사귀기전 모두 해당이었는데
여친이 된 지금의 isfj는 저 한정 4번은 무조건 콜ㅋㅋㅋㅋㅋ"
INTP,졸업하고나서 주체적으로 살아가면서 p가 되았습니다 ㅋㅋ자취하면서부터 더더욱 실체가 드러나고요
ESFP,생각정리 후 보내야지 이 생각은 글쓴님만 알고 계시는거니.. 상대는 짚고 넘어가야할 문제에 대해서 얘기했는데 읽씹 당했다고 생각할 것 같아요. 그래서 상처받음+홧김+사전차단 이런 감정으로 했지 않았을까 싶어여!
INFJ,제가 본 잇프제들은 예의 중시하고 선이 명확했어서 자기생각에는 읽씹당했다고 여기고 기분이 나빴던 것 같아요!
INTJ,그냥 생각 좀 해보고 답장 할테니 시간을 달라고 남겨놓으시지.. 저라도 이렇게 얘기하는 와중에 읽씹당했다 생각하고 기분나빠서 정리할듯요
INTJ,"P들 읽고 그냥 넘어가는거 J들은 숨넘어가요;
특히 잇프제는 나중에 얘기할 거면 안읽씹하는 사람들이라;; 굉장히 무례하다고 느끼셨을 거 같네요.
나중에 얘기해야지 하는건 혼자 생각하신 거니 어떻게 알겟어요...
담에 또 이런일이 있으시면 자고 일어나서 다시 얘기하자고 얘기하시면 이런 결과로는 이어지지 않을거 같아요...ㅎㅎ"
ISFJ,"제가 잇프제 24살인데(잇프제 치곤 연령이 낮은 편) 확실한건 그 주에 잇프제가 바쁘단거에요.

다음 주에 약속 잡아서 잇프제 마음 꼭 사로잡길 바라요! 😊"
INFJ,바쁜건 정말 확실한 것 같아요 ㅋㅋㅋ 감사합니다!!
ISFJ,호감없으면 ~~이래서 바쁘다 구체적으로 얘기 안해요ㅋㅋㅋㅋ 다음주에 약속 잡아보세용
INFJ,용기가 좀 생기네요~! 감사해요 도전해 보겠습니다^^
INFJ,네네!! 감사감사합니다~!!
INFJ,네 좀 나이차가 있습니다..! 그래서 더 망설여지는 것도 있어요ㅠ
INFJ,딱 10살입니다..! 이성적 호감은 현재로선 저도 기대하진 않고요 만나보고 이야기 나눠보면서 그런 흐름으로 이어질 수 있을지를 살펴보고 싶어요~ 근데 또 연락하면 너무 만남에 집착하는 모양새일까 싶어서 여쭤보았습니다!
INFJ,네 다른분들 댓글도 참고해보니 아무래도 그렇게 하는 게 제일 자연스러울 것 같아요!! 현명한 조언 감사드립니다^^
ISTP,유형상관없이 관리하면 좋지않을까요ㅋㅋ
ISFJ,"그게 어렵지만 저도 노력하고는 있어요.

도덕의 틀과 융통성의 범위(즉 눈치)를 잘지키는 사회인이 되고 싶어요."
INTP,"착한사람보다는 여린사람이여
자기 스스로 착하다고 생각하는 사람치고 별로 착한 사람 못봤어요.."
INFP,222222
ISFJ,"근데 죄송한데 이 글은 제가 착하다고 주장하는 글이 아니에요.

전 단지 집단에 있어 예의라는 틀을 지키는게 왜 중요한지에 대해 적은것 뿐이에여"
ISFJ,"저기서 얘기하는 착한 사람은 자기가 착하다고 주장하는 그런 사람을 얘기하는게 아닙니다.

집단의 틀 안깨고 남에게 예의 잘 갖추고 융통성 있게 사회생활 잘하고 있는 다수를 얘기하는거에요."
INTP,"본인에게 착하지 않다고 말한 것이 아니고 1번 문항에 대한 제 생각을 그냥 말한겁니다.
여린 사람 혹은 집단에 잘 적응하는 사람이었다면 글쿤 했을거 같아요.
착한사람이라는 기준이 너무 모호하다고 느껴서 댓글 남기게 되었습니다.
제 생각을 얘기한게 공격으로 느껴지시고 불편하셨다면 죄송하고 글쓴이님께 한 개인적인 말으로 받아들이지 않으셔도 됩니다.
이 댓글에 찬반입장이 계속 달리게 되면 싸움으로 번지게 되니 답변하실 게 있으면 쪽지로 부탁드립니다."
ISFJ,"저도 서로님의 댓글을 잘못 이해하고 적은 점 사과드립니다.

처음에 봤을때 주제와 관련이 없어서 무슨 의도로 적으셨는지 저도 이해를 잘 못했던것 같아여!

제 댓글이 너무 날카로웠다면 죄송합니다.
저도 댓글 의도를 잘못 이해했어요."
INTP,넴! 좋은 하루 되세용!
INFP,"말은 이쁘게 하는게 좋은건 맞는것 같아요 상황따라 다르겠지만
기본적으로 팩트라고 봄"
ISFJ,"어찌보면 기본인데 그 기본마저 안된 사람도 꽤 있더라고요.

말 끝마다 ""씨×"" 붙이거나 명령투로 기분 나쁘게 얘기하는 사람이 없는것 같아도 있거든요!"
