mbti,text
INFP,인프제 분과 계속 친해지고 싶어요
ISFJ,엔프제 남자분들 예쁘단 칭찬 쉽게하는 편인가요
ISTP,멀어지려면 다가오는..
ENTP,일 할때 estj 되는 인프제
INFP,ㅍ
ISTJ,엔프제 위로해주는 법
INFJ,나는솔로 17기 옥순님 INFJ 라는거같던데요
ENFP,인프제 남자가 먼저 고백하는 경우는
INFJ,인프제 무물 4회차 소고 (MZ)
INFP,INFJ녀랑 잘될 수 있을까요?
ESTJ,인프제 남자 재회 가능성 없겠죠...?
ESFP,엔프제 남자 최고예요 진짜
INFP,별 건 아니구 그냥용
ESTP,인프제의 호감과 친절의 차이는?
INFJ,심심합니다 인프제 무물 받아봅니다💚
ISTP,시간에 질투한다는 인프제
INFJ,오전에 인프피님 글 뭔일 없었죠
ENTJ,INFJ 남자친구 관찰지
ISTP,내가 싫어하는 건 아예 할 생각도 안 했던 인프제
ISFJ,인프제 남의 심리...
ISFP,엔프제 놓는게 맞죠?
ISTJ,enfj 엔프제에게 제일 중요한 것은 ??
ENTP,🗣️엔프제 분들께 질문있어요!!🥺
ESTP,제가 이별통보했더니 시간갖자는 infj 남자친구
ESTP,내용 펑펑
ISTP,인프제와의 썸이 끝났습니다
ISTJ,엔프제 남자친구 모임..
INTJ,인프제남 연락에 관해서
ESFJ,인프제의 화
ISFJ,인프제남과 드디어 연애를 하게 되었습니당!!
ISTP,오늘 11일만에 인프제분을 만납니다.
ESTP,인프제분들에게 질문 (펑
INFJ,인프제 무물 4번째 받아요
INTJ,INFJ를 좋아하며 느끼는 감각
ENFJ,ENFJ(엔프제)가 타유형과 다른 특이한점 10가지 1탄(feat엔프제에 모든 것)
ISTP,보자고 하니까 바로 한시간 넘는거리 달려오는 인프제
ISTP,어제 인프제 남자랑 두번째
INFJ,’콘크리트 유토피아‘ 라는 영화 보셨나요?
ISTP,인프제 남자 만나고 왔는데요
ENTJ,infj 남자에 관해 상담해주실 수 있는 분 계실까요?
ISFP,ENFJ 남자랑 썸중인데 도와주세요!
ISFJ,INFJ 와 완전히 연이 끊겨버린걸까요? (재회 가능성)
ISTP,인프제들은 친구만나고 있을때
INFJ,극 INFJ 남자 질문 받아봅니다!
INFJ,Infj 무물 3번째 받아봐요
ISTP,남자 심리 알려주세요!(내용 펑)
ESTJ,엔프제 싸움 회피
ISTP,삐진 인프제 어떻게 풀어주죠
ISTP,엔프제 회사분을
ISTP,인프제분들 질투
INFJ,"인프제 남성분들, 이런 질문 받으시면"
ISTP,인프제 남자의 장기 연애
ISTP,인프제가 자주 언급하는
ISTP,인프제랑 두번째 만남 하는데요
INFJ,어딜가든 사람이 함께하는 곳은
ISTP,이젠 누가 선톡하냐는 의미가 없네요
ISTJ,인프제 남자 어떻게 해야할까요?
ISTP,마음이 커질수록 고민이 많아집니다.
ISTP,도대체 왜;; 약속을 안잡아요..?
ENFJ,인프제 대화방식인가요?(펑)
INFJ,추가 : 당연히 당연하죠 이런말-> 추가 질문 드려요~ 꼭 답변 부탁 드려요>_<
