mbti,text
INTJ,잇팁녀 연애에 대해 질문있어요
ESTP,잇팁같은데 엣팁 무물받읍니다
INTP,잇팁남 호감있을때 어케하나요?
ISTP,mbti와 사주팔자 ㅎㅎ
INTJ,잇팁의 챙겨달라는 의미는 뭘까요?
ISTJ,엣팁 남자분들 먼저 만나자는 말 안 하고 유도할 때도 있나요? (펑)
ENTP,잇팁이 친할때 하는 행동 뭐가 있을까요?
ESTP,퇴근시켜주세요
ESTP,e s t p 중에 뭐가 제일 강하세요?
INTJ,엣팁 estp 남자가 할말 없게 답장하는거
ISTP,ISTP-ISTJ 같이 나오는분 계신가요
ESTP,엣팁 무물
ESTP,엣팁 여자 무물받아용
ESFP,엣팁님들 도와주세요 ㅠ
ESTP,헤어지고 인스타
ISTJ,ESTP가 보는 ISTJ는 어떤 모습인지 궁금해요
ESTP,istj를 만난 estp / 잇티제 엣팁 연애
ISFJ,엣팁 딸과 화해한 후기
ISFJ,엣팁 여자분들 궁금한 게 있어요!!
ISTP,잇팁남친이랑 싸웠습니다.
ISFJ,엣팁 딸과 화해하는 법
ISTP,야밤에 잠 안오는 잇팁임다 무물해도 될까여
ESTP,심심한데 노는공간 만들래요 무물가능
ESTP,갠적으로 잘 맞던 유형과 아닌 유형 (feat. estp)
ISFJ,ESTP남 기분 안 좋아보일 때 어케해요 ..
ENTP,잇팁 일주일동안 6번 만났어요
ENFJ,istp분들 가능성없어 보이는 이성은 애초에 포기하나요?
ESTJ,"잇팁 전남친 후회, 연락"
ENTP,잇팁님들 프사 어떨 때 바꾸시나요?
INFJ,잇팁 특징?
ESTP,출근했으니까 무물받읍니다
ENTP,잇팁이 집까지 데려다준 후기
ENTJ,전에 올린 남자친구 생일선물 고르기 2탄.. 이젠 편지입니다..⭐.도.와.주.세.요.⭐
ISFJ,ISTP 이거 호감일까요? (펑)
ESTP,잇팁 여성분들께 질문 드립니다
ENTP,갑자기 적극적으로 변한 잇팁맨
INTJ,잇팁이 힘들다그러는데 적당한 응원 방법이 뭐가 있을까요?
ISTJ,엣팁 남자분들은 인정욕구가 별로 없나요?
ENTJ,엣팁이 이러는 이유..가 궁금하네요
ESTP,잇팁 호감?
ESTP,"인간관계 어려운 엣팁에게 한마디 좀,,"
ENTP,3일만에 부활한 잇팁
INTJ,잇팁이 힘들다그러는데 적당한 응원 방법이 뭐가 있을까요?
ISTJ,엣팁 남자분들은 인정욕구가 별로 없나요?
ENTJ,엣팁이 이러는 이유..가 궁금하네요
ESTP,잇팁 호감?
ESTP,"인간관계 어려운 엣팁에게 한마디 좀,,"
ENTP,3일만에 부활한 잇팁
ESFJ,잇팁남자 장난아니네여..
INTP,INTP/ISTP 여자 질문 받아요!
ENTP,잇팁님들 넷플릭스 어떤 거 보세요?
ISTP,잇팁님들 스트레스 어떻게 푸시나요?
ESFP,엣팁님들!!!!!
ENTP,잇팁 호감 키워드로 옛날글들 구경하고 온 후기
ENTP,잇팁분들 미술관 좋아하세요?
ISTP,정신적으로 탈진 옵니다
ESFP,엣팁님들 질문 있습니다ㅜㅜ
