title,contents,author,comments
인프피의 이런 말 단호하게 거절인거죠?,['펑'],완전ENFJ,"['그쵸.. 완전한 거절.. 저 진짜 김칫국 먹었나보네요.... 하루종일 마음이 너무 지옥이었어요..', '연애는 확실히 아니라고 하시네요..ㅠㅠ', '솜야님! 그쵸.. 저 아주 까였어요 예전에도 댓글에서 본적있었는데ㅠㅠ 잘되가고 계세요? 저 쪽지보냈어요! 확인부탁드려요ㅎㅎ', '넵! 쪽지확인이요!']"
인프피 갑자기 훅 들어왔어요..,"['그냥 알고 지내던 사이고 딱히~ 대화가 없었는데요', '가끔 인스타로 스토리보고 서로 답장 하는 정도?', '', '근데 제가 가을마다 유기견 봉사를 다니거든요!', '그래서 이번에 같이 가게 되었는데 가서도 저한테 엄청 멋지다 대단하다 의외다', '그리고 질문도 엄청 많았고 헤어지고 나서도 계속 다시 볼 수 있을까요?', '이러더라구요 그래서 대놓고 물어봤는데 호감이 가고 궁금하다 보고싶다', '이러는데 인프피 이렇게 훅들어오나요...ㅋㅋㅋㅋㅋㅋㅋ', '', '제가 보기엔 계기나 와다다 하는 표현이 갑자기? 인데 ..ㅋㅋㅋㅋ 호감맞겠죠']",계획러entj,"['호감 맞아요 관심 없으면 보자고 안 합니자', '네 인프피분들보면 용기있어서 평소에는 가만히있다가 갑자기 적극적으로 용기냅니다', '네 맞는 것 같아요! ㅎㅎ 인프피 소심해서 잘 못그러는데 놓치기 싫으신가 봅니다 ㅎㅎㅎ\n그리고 인류애 많은 유형이라 유기견 봉사같은거 다니시는 분들 정말 애정해요! ㅎㅎㅎ']"
이거 완전 인프피 저격 아닌가여?ㅋㅋㅋㅋㅋ,"['인프피 썸남을 저격할 책을 찾았어요ㅋㅋㅋ', '일단 저 귀염뽀짝한 춘배 일러스트에 제목부터 나는 생각이 너무많아ㅋㅋㅋㅋ', '', '아니 춘배는 이번에 에디션으로 표지만 바꿔서 나온거라던데', '그림부터 내용까지 인프피가 솔깃할 것들을 다 모아놨더라구요ㅋㅋㅋ', '', '썸남이 책도 엄청 좋아해서 이거 사주면 좋아할 생각에', '저도 벌써 뿌듯하네용ㅎㅎㅎ', '']",잇팁넘버원,"['선물로 딱이네여', '귀엽네요 ❤❤', '한글자를바꿔얄듯요\n나는생각만많아ㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '아니. 저거 제가 읽을 때는 저 표지가 아니었는데..ㅋㅋ', '으악 너무 귀여워요.. 정말로 춘배부터 제목까지 인프피 취향저격..ㅠㅠ 센스 좋으시네요🥹', '인프피 동생 선물 각이네여 ㅋㅋㅋ 좋은 정보 감사합니당']"
엔프피 질문받습니다 !,['너 왜 그러고 사냐 부터 시작해서 야 내친구 엔프피인데 이상함 우리 애인님이 엔프피인데 뭔생각인지 모르겟슴 까지 A to Z 다 받습니다 츄라이츄라이'],LATE ENFP,"['저는 개인적으로 INTJ 랑 INFJ 유형이랑 잘맞는다고 느꼈어요 🤭 그리고 ENFJ랑도 티키타카하면서 재밌게 지내고 있어요!', '정말 잘 맞나요? 만나 보질 못 한 유형이라 신기함', '지나가던 엔프피 답장 드립니당~!\n진짜루 잘 맞아요!! 엔프피가 진짜 쓸데없는 상상에 빠져 궁금증이 생길 때 얘기하면 같이 상상에 빠져서 고민도 해주고 엔프피가 현실적인 고민에 빠져서 허우적 거리고 있으면 계획을 세워주기도 합니다...\n전 인프제에게 감정적인 고민을 털어놓고 인티제에겐 계획이 필요할 때 말 꺼내는 것 같아요!!\n진짜 친구처럼 장난 치고 지내는 건 엔프제가 잘 맞구요! 엔프제는 울타리 안 사람이라면 오히려 인프제나 인티제는 울타리 안 제일 깊숙한 곳에 있는 오두막집에 있는 사람들 같아요!', '최근에 엔프피 여자분을 소개받았는데 두 번째 만나는날 상대가 선물도 준비해오고 얘기하다가 다음에 어디 같이 가면 좋겠다 같이 뭐 하면 좋겠다 이런 말을 해주더라구요 좋은 신호가 맞겠죠?? 저도 너무 맘에 드는데 보통 엔프피분들은 소개 받으면 어느정도 보고 결정지으시나요? 참고로 상대분은 I에 가까운 엔프피입니다 거의 반반이에요', '네! 저는 완전 강남역 러쉬에 던져둬도 거기서 완벽 적응하겠다는 이야기 들을정도로 찐E인데, 제 입장에서 남을 위해서 선물을 준비하고 다음에 뭐할지 이야기하는 거면 저는 그린라이트가 맞다고 생각해요 🙂 앗, 저는 첫인상에 이사람은 어떻겠구나 하고 판단하는 편이에요! 뭔가 첫인상이 좋으면 계속 그사람이 좋게보이더라고요 ㅎㅅㅎ', '감사합니다 ㅎㅎㅎ 상대분이 E랑 I 반반인데 그 점 생각하면 더 좋게 봐도 되겠죠 ㅎㅎ', '네 후자가 맞는 것 같아요, 슬픔을 알아줬으면 좋겠다 싶으면 철판깔고 나 힘들었어 하고 붙잡거든요.. 저는 가사를 보고 노래를 듣고 제가 마음에 드는 가사가 있으면 그 노래를 좋아하는 편이라서 아마 전남친분도 저랑 비슷하지않을까요?', '제 남자친구도 그래요 엔프피 ,,,핰', '오해하시는 게 있는데 엔프피 애정표현 장인이라고 하지만 저희두... 부끄럽습니다ㅠㅠㅠ// 막 마음으로는 으아악 사랑해 귀여워 미쳤다 지구뿌셔 우주뿌셔!!! 그러지만 이걸 표현하면 상대방이 부담스러워하지않을까 혹시 많이 표현해서 이 뜻이 닳아버리진않을까 싶어서 아끼는 걸 거 에요! 저도 연애할때 그랬어요ㅋㅋㅋㅋㅋㅎ', '남자친구 일주일에 몇 번 보는게 적당하다고 생각하세요?\n하루에도 여러번 보고 싶다는 생각이 들긴하지만 아무래도 컨디션을 생각하기도 해야하니,, ㅋㅎㅎ', '저는 전남친이 ISTP라서 그런가 아니면 제가 좀 특이했던걸까 일주일에 한번, 아니면 이주에 한번 정도면 무난하다고 생각했었어요! 물론 매일매일 보고싶지만 현실적으로는 어려우니까 한번 만날때 오래보자는 마인드 였던것 같아요', '왜 이렇게 귀여워요 당신들', '엔프피는 감정적으로 우울할때 혼자있고 싶어하면서도 또 외로워하기도 하는거같아요 맞나요? 이럴땐 어떻게 해주는게 좋을까요']"
인프피 분들은 본인 얘기 = 믿는 마음 (애인 기준) 비례해서 얘기 하시나요?,"['대출 받는 얘기라던지', '금전적으로 이렇다 저렇다 이런 얘기를 믿어서 하시는건가요?', '그냥 내 상황이 이러니 이해해달라는 식으로 얘기 하시는건가요?', '']",잇팁인데IF반반,"['저는 많이 믿는다고 속 얘기를 꺼내기 보다는 상황에 맞춰서 이야기 할 것 같은데요..? 오히려 너무 신뢰해도 말 못하는 경우가 있을 것 같네요 ex)부모님 속썩일까봐 말 못한다던지..', '어느정도 신뢰하는 사람 한정.. 속얘기를 해요! 아니면 이런얘길 상대도 편하게 나한테 해준다면 하는편..', '그나마 내적으로 친밀하다고 생각하는 사이라면, 얘기할 수 있어요. 어중간한 사이라면 굳이?']"
ㅍ,['펑'],infp love,"['아직은 호의정도요', '호의에서 더 넘어가려면 어떻게 해야 좋을까요?\n어쩌다보니 상대도 저에게 조금씩 호감이 가고 있다는 말까진 들었는데…', '시간이 흐르면 자연스럽게 호감이 생겨요. 힘들때나 기쁠때나 계속 옆에 님이 계신다는걸 알려주면 호감이 녹아들듯 서서히 생깁니다.', '감사합니다']"
INFP에 대한 간단한 고찰,"['인프피한테 짜증을 내려고 한 적 이 있다.', '하지만 인프피의 맑고 깨끗하며 초롱초롱한 눈만 보면 자연스럽게 화가 풀린다.', '', '악의없는 말투', '자연스럽고 몸에 벤 듯한 배려', '남을 위한 사소한 행동들', '', '이런 것들의 요소가 비로소 합쳐져 주변에 선한 영향력을 끼치게', '만드는 사람이 아닌가 싶다.', '', '모든 부모가 이상적으로 바라는 ""착하고 말 잘 듣는 아이""의 표본이 아닐까 싶기도 하는 생각이 문득 들기도 했다.', '', '보기만해도 흐뭇하고 입가에 미소를 짓게 만드는 사람이 아닐까.', '', '', '', '', '']",카 엘 ENTP 8w7,"['☺️', '이렇게 느낀다고요? 헐..괜히 저도 감동..🥹', '악의없는말투 맞는듯요']"
내 기준 엔프피 호감 구별법,"['', '', '다들 너무 헷갈려 하시길래 일단 제 기준으로 적어봐요 ㅋㅎㅎ', '근데 별 생각 없었는데 생각해보니 유죄인간이라고 들어도 할 말 없음..', '', '', '<인간적 호감>', '1. 먼저 전화 하자고 한다, 1시간 이상 전화 한다 -> 가능 (전화 좋아해서)', '2. 계속 선톡 온다 -> 가능 (심심해서)', '3. 칭찬한다 -> 가능 (그냥 진짜 그래 보여서 칭찬한거임)', '', '<이성적 호감>', '1. 먼저 단둘이 영화관, 전시회, 술 -> 데이트 삘 나는 것들은 내 기준 굳이 일반 남사친과 함께하지 않음 (ㄹㅇ 굳이 특히 술은 더더욱)', '2. 아쉽다는 소리를 함 (못봐서, 대화 많이 못해서)', '3. 일정한 텀으로 답장이 빠름 -> 심심해서 연락하는 경우는 안심심해지면 연락 대충하는데 호감 있는 사람한텐 안그럼', '4. ENFP는 호감 있으면 오히려 뚝딱거림 ㅎㅎㅎ 평소처럼 편하고 친하게 못대함', '-> 근데 상대는 못 알아챌 수도... 본인만 매우 느낌 ㅋㅋㅋ', '', '<구분 애매한거>', '1. 이상형, 연애 가치관 묻기 -> 상대한테 관심 있어서 OR 다른 좋아하는 상대가 있어서 OR 그냥 궁금해서', '', '', '아니 근데 제가 적는데도 헷갈리네요 ㅋㅋㅋㅋㅋㅋㅋㅋ']",암엥뿌삐,"['다 받습니다... 다 받아요... 뚝딱거리고 마음 없는 남사친이랑 단 둘이 데이트 삘 나는 거 절대 안 하는 거 인정이요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '맞졐ㅋㅋㅋㅋㅋ 진짜 굳~~~이 ^^,, ㅋㅎㅎㅎㅎ 상대가 먼저 말하면 몰라도 일단 먼저는 진짜 잘 안함,,', '엔프피도 밀당하나요?', '밀당 못해요 ,, ,, 흑흑 당기기만 돼요\n숨기려고 해도 계속 튀어나와요\n아 근데 이건 이미 좋아한다는 전제하에~ ㅎㅎ\n\n아직 마음 안크거나 그러면 밀당 가능 ㅎㅎ', '맞져 ㅋㅋㅋㅋ 왤케 뚝딱거리고 무슨 말을 해야할지 모르겠는게 넘 힘들어요', '제가 좋아하는 엔프피 여자분은 인간적 호감방식은 거의 없고(전화 하고싶다..) 이성적 호감방식은 엄청 많이 하고있는데(영화, 술, 연극) 저를 좋아하는거 같지가 않은데.... 이게 맞나요 😢', '그냥 잘해주는 오빠정도로만 생각하는걸로 느껴짐..', '움... 연락은 매일? 하고 계신가요? 이상형이라든지 연애 쪽 토크도 해보셨나용', '매일 까진 아니고 2일에 한번(그 사람이 밤마다 연락하는 어떤 남자 미친놈에게 시달려서 저까지 스트레스 주긴 싫어서)정도 하고 연애쪽 토크 이상형이나 그정도는 물어봤죠 :) 근데 딱 그정도인거 같아서 한 두달 더 노력해보고(잘해주고) 안되면 마음 접으려구요..ㅎ', '흐음 그렇군요 그렇게 만나고 연락하신지 얼마나 되셨으려나요\n썸이면 한 달 정도일 때가 고백하실 때긴 한데,, (엔프피는 보통 먼저 고백안해효)\n근데 둘이 좀 설렘의 기류가 있나요 없으면 그냥 친한 오빠 동생 사이일 것 같네요', '썸이라 생각하고 싶지만 썸이 아닌것 같아서 기간은 생각 안해봤는데 이제 한달 되가긴 해요..ㅎ 진짜 마음 같아서는 엔프피 여성분 한명 붙잡고 썰 싹다 말해주고 상담 받고 싶은데..ㅋㅋㅋㅋ', '오~ 저한테 하셔도 대답 해줄 수 있긴 해용~', '저도 상담가능이요~!! 저도 엔팁상담 좀...ㅠㅠㅠ', '현 엔프피 애인 밀당 없이 직진이었어요 ㅋㅋ', '마쟈여 ㅋㅋㅋ 직진 제가 적은 구별법에 해당하시는 것 같나용?', '지나가던 엔프피.. 4번 핵공감해요 !! 특히 차쥐뿔 이영지님 몇몇 게스트 등장 할 때 뚝딱거리는 그 느낌 !!!!', '맞져 4번이 찐이에요 사실 1,2,3도 케바케로 가능하기도 함...\n근데 그렇게 치면 그냥 엔프피 유죄인간.. ㅋㅋㅋㅋㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋ저는 이성적호감으로 적어주신것도 인간적호감으로도 충분히 가능한 부분들이라😅 곰곰히 생각해봤는데 이성적호감이면 리액션 ×100 느낌으로 하는 것 같아요ㅋㅋㅋㅋㅋㅋ 밥먹자는 말에도 리액션해줌ㅋㅋㅋㅋㅋ 이렇게보니 저도 헷갈리고 어려운 사람이었네요😆', 'WOW ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그것까지 가능하시군요\n아니 저도 적으면서도 수정을 얼마나 한지 ㅋㅋㅋㅋ 계속 생각해보면 예외 케이스들이 생각나더라구여 ㅋㅋㅋㅋㅋㅋ 넘 어려워여', '오히려 맘 없으면 장난식으로 끼부리기 가능\n맘 있으면 뚝딱이기 ㅜㅜ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜루여 나도 왜이러나 싶을 정도로 뚝뚝딱쓰\n눈도 잘 못쳐다 봐요 부끄렁 ><', '일단 막 가까운사이는 아닌데\n선톡 자주오고 뭐 하고싶다 하는것도 많은데 놀면 둘이선 아니고 3,4명이서 같이놀아요 답장은 할말이 있는 내용이면 칼답으로 해주고 할말애매하면 안읽씹하고 그러네요\n근데 카톡은 친절하게 잘해주는데 실제로 보면 약간 냉랭해요\n그냥 딱 인간적호감이지요?', '넹 딱 인간적 호감 같아용', '헐 저는 맘없는 남사친이랑 영화관 노래방 쌉가능', '옮 그럼 이성적 호감에 저거 다 가능?!', '당연하쥬ㅋㅋㅋㅋㅋㅋㅋ', '단둘이 술먹자고 먼저 한거면은 호감 있는건가요 엔프피 여자가요??', '사실 그거 하나만 보기 힘들긴한데 이성적 관심 정도는 있으니 하지 않을까요?', '뭔가 제가 호감이 있는줄은 아는 상태인것 같고 단둘이 있을때 뭔가 더 딱딱한 느낌이에요 웃음은 지어주기는 하는데 뚝딱거리는것과는 조금 다르다고나 할까 장난보다는 깊은이야기를 단 둘이 있을때 많이 나누는것 갈아요', '흐음 제가 그런 상황이었을 때는 상대를 좋은, 괜찮은 사람으로 생각했을 때였어요', '저는 호감이 있는 상태이고 사내 같은 사무실이라 고민이 많네요 천천히 다가가는 중입니다', '상대가 나한테 호감이 있나? 했던 상황이나 말이 더 있나요? 우선 주말에나 사적 연락도 하시나요?', '사적 연락은 하지 않습니다 제가 시도 해본적이 없구요 퇴근하고 아주 가끔 술자리 단둘이 가지고 통화를 한적은 있습니다 최근에는 밖에서 풍경을 보며 단둘이 먹은 상황입니다 음.. 이야기는 주로 고민 같은거를 많이 이야기하는 것 같아요', '연애 왜 안하는지 생각 있는지 물어봐보세용 그리고 본인 첫인상 어땠는지도 물어보구용', '제가 좋아하는줄 알아도 그렇게 해볼까요????', '넹 무언가 지금과는 다른 행동을 취해야 결과가 달라질 듯 해요', '어떻게 조심히 다가갈지\n힌트좀 받을수 있을까요 엔프피는 자기가 좋아하는 사람이 아니면 안좋아한다고 하더라구요', 'ㅋㅋㅋㅋㅋ 사실 그게 맞긴 해요,,\n으음 좋아하는걸 확실히 아는데도 그냥 있는거면 사실 포기하시는게 낫긴해요... ㅎㅎㅜ', '그렇군요 ㅎㅎㅎㅎㅎ 포기하는게 좋을까요.. 제가 또 연하라.. 조금은 더 다가가고 싶거든요', '4번 너무 맞는 말이에요ㅠㅠ!!\n전 뚝딱거려서 좋아하는 거 들키면 어떡하지! 했는데 오히려 주변사람들은 그냥 잘 챙겨주는 애인가 보다 하고 말더라구요ㅠㅠ!!\n이상형은 대부분 그냥 궁금해서 묻는 것 같아요 이 사람은 어떤 사람을 좋아할까? 하는 궁금증에서부터 오는..', '오호 근데 제 기준 궁금증이 1도 관심 없는 사람한테선 오지 않는 것 같아요 (아..ㅇㅏ닌가 ㅋㅎㅎㅎ', '아녀 맞아여!!! 진짜 관김 있는 사람에게서만 궁금해지는,,,', '엔프피 상대 분이 저한테 호감이 아예 없진 않은 것 같은데 너무 헷갈려요ㅠㅠ 대부분 다들 썸 최대 기간이 한 달이라고 하시던데 썸은 잘 모르겠고 연락한지는 한달 정도 됐는데 딱 호감. 관심까지만 있던 사람이 좋아한다고 말 하면 엔프피는 어떤가요..?', '얼른 표현하세효~!~!', '저 엣프피인줄 알았는데 다시 검사하니 2반이나 엔프피 나왔는데 진짜 엔프피가 맞나봐여 적어주신것들 진짜 넘나 다 공감!!', '오 진짜요? ㅋㅎㅎㅎ 히히 공감 되신다니 뿌듯하네용']"
플러팅 방법 좀 알려주세요,"['흔히 인프피들의 짝사랑법은 암살이라고 하잖아요 ㅋㅋㅋㅋㅋ', '저 또한 방법이 옷잘입기, 잘 웃어주기 등등 남들은 눈치도 못챌 방법으로 혼자 속앓이하는데요ㅜㅜ', '상대방도 나도 부담스럽지 않으면서 좀 티나게 플러팅할 수 있는 방법 없을까요..🥲', '', '제가 좋아하는 분이 원래 친구처럼 지내던 관계라 플러팅멘트가 입밖으로 도저히 안나와요 ㅎㅠㅎ']",유자차 INFP,"['1. ~여기 맛있다는데 같이 가볼래~?\n2. 오늘 그 옷 되게 잘 어울린다~\n3. 이 노래들으니 너 생각났어 한번들어봐\n4. 나 월급받은 기념으로 ㅇㅇ쏠게 ~~~\n이런건어때요??!!', '오홍 일상적이면서 아주 좋군뇽ㅎㅎ 댓글 감사합니다!', '내가 머리 맑게 해주는 마사지 배웠는데 해줄까?\n하면서 귀 마사지 해주면서 어때 시원해? 미소 날리기', 'ㅋㅋㅋㅋ 옷 이뿌게 입기가 플러팅인 인프피가 요걸..?!', 'ㅋㅋㅋㅋ난이도 최상이지만 확실하긴 하겠네요🥲', '일주일에 3번 이상 선톡하기 ㅎㅎㅎㅎㅎ', '선톡이 힘든 인프피에게 아주 필요한 부분이네요..ㅎ.ㅎ 댓글 감사합니다!', 'ㅋㅋㅋㅋ 그걸 알기에 한 말입니당 쿄쿄']"
"IENFP 이신 분 중 영업사원, 영업직 종사하신, 셨던 분 계시는지요?","['', '지금 하는 일이 너무너무너무', '하기 싫습니다', '어떻게하다보니 15년가까이 해오긴했지만', '징글징글해서', '이젠 진짜 그만하고싶습니다', '영업직 종사하셨던 분', '영업직은 좀 맞는 편이신가요?', '뭐 하기 힘드니깐 돈을 주는 거겠지만요', '그래도 벌어먹고살긴살아야겠고', '도와주십쇼', '원망하지않을테니 솔직하게', '그렇더라 아니더라 한말씀만 써주시면', '쇤네', '감사드리겠사옵니다 ㅜ♡', '(댓글 달아주시는 분 복받으시라 ~~~~~♡)', '', '', '']",미싱유IENFP,"['전 ENFJ이지만 지금 영업직 종사중이구요 나름 그안에서 재미를찾으려고 노력하고 있습니다.\n쓴이님이 정말 하는일이 너무너무너무 하기 싫으시면 아니라고 판단한것에 과감히 다른일에 도전하는것도\n훗날 인생에 도움이 되실수 있습니다. 나중에 아 내가 왜 지금까지 이걸 버리지못하고 해왔을까 라고 후회할수도있고\n그냥 참고 계속할걸 이라고 후회하실수도 있지만 정답은 본인 스스로에게 있어요 본인스스로에게 질문을 많이 던지시고 도전해보세요 ! 한번뿐인인생 싫은일만 하고살았다면 하고싶은 일도 하면서 살아보세요 없다고 하시는분들도 계시는데\n찾아보세요 찾는과정이 인생이지 많은사람들이 인생에 정답을 갈구하지만 정답을 가지고 태어나는사람은 없어요\n운이좋게 빨리 찾는사람이 있고 찾는걸 포기한사람이 있고... 늦게 찾는사람도있고 그런거죠.\n적어도 저는 찾는걸 포기한사람이 되고 싶지는 않은사람이네요.', '와.. 마지막 구절이 .. ! 👍\n저도 과정이 결과못지 않게 중요하다고 생각하는 편이거든요 이ㄴ생은 어쩌면 과정이 길기 때문에 결과보다도 투자하는 시간이 기니깐 투자하는 기간이 되는 과정을 즐길 수 있는 게 더 중요할 수도 있지 않을까 생각하는 편이긴 해요\n\n그냥 지나치지 않고\n소신껏\n답글 달아주셔서 너무너무 감사합니다\n제가 아는 멋쟁이 ENFJ 친구랑 선배님이 생각나네요\n\n감사합니다 진짜요\n감사해요\n고맙습니다 ❤️', '제꿈은 다른사람들에게 도움이 될수있는 사람이에요.\n이렇게 진정성이 느껴지는 감사의 한마디가 전 그무엇보다도 제일 좋습니다.\n저도 감사합니다.']"
