mbti,comments
INTJ,뭐가 문제죠
INTP,넘 자연스러운 일상톡인데용
INTJ,딱딱한 거 모르겠고 그냥 일상 톡 느낌이에요
INTJ,저게 뜸하고 딱딱한 건가요 문제가 뭔지 전혀 모르겠어요
INTJ,진짜 카톡하기 싫으면 첫번째 줄나 일어났어부터 세상에 존재하지 않았을 거예요 일어나면 톡해주기로 약속이 되어 있는 상태였다면 그렇지만 카톡하기 싫은 상태라면 잘 잤엉이라는 질문에서 응 오늘도 좋은 하루라면서 마무리 지었을 거고요 현재 자기 상태를 말해주는 거랑 이제부터 뭘 할지 은근슬쩍 알려주고 있는 것만 봐도 저건 다정한 톡입니다
INTJ,절대 아닙니다 애초에 연락하기 싫으면 마무리짓는 말하고 연락 이어나가려고도 안해요
INTJ, 전혀 이상함을 느끼지못하는 인티제
ENTJ,제 카톡도 저래요 남친한테 
ESTP,외적으로는 말씀해주신 이상형이 저랑 딱 부합하긴 했어요 일단 걱정안하고 직진해도 괜찮은거겠죠 혹시 썸 타는 기간에 이건 피해야겠다 싶은거 추가로 여쭤봐두 될까요
ESTP,감사합니다
INTJ,진짜 마음에 들면 빨리 내꺼 만들어야죠 시간 없어요
ESTP,혹시 금사식이셨나요
INTJ,나쁘게 헤어진 케이스는 아닌가봐요 차단까지 가는 경우는 대개 안좋게 헤어진 경우라서요
INTJ,저는 굳이 하진 않아요 악감정이 있으면 프로필 비공개를 위해 차단합니다
ENTJ,전 차단목록에 있는것도 싫어서 그냥 삭제해놔요
INTJ,그렇군요 순수하고 솔직하고 투명한 사람이 참 좋아보여요 눈치 보지 않고 이래저래 재지 않고 그냥 있는 그대로를 드러내려고 하는 사람들 그치만 그런 엔프피를 본 적은 없는 것 같아요 엔프피도 결국 삶과 현실에 치여서 순수함도 솔직함도 투명함도 잃는 것 같은데 너꾸꾸님은 본 적 있으신가요
INTJ,그 극극극극 소수를 제외한 나머지 분들께는 좋은 감정이 있는데도 이성적으로만 행동하시나요
INTJ,아뇨 전 일처럼 의무적으로 해야만하는 관계를 남겨두는게 더 합리적이지 못하기에 진심으로 감정이 동하지 않으면 친구든 가족이든 그관계는 없는거에요 대신 남겨둔 관계에선 생각이나 계산이 없는 감정으로 대해요 계산적으로 인간관계를 하는 사람을 극혐하기에 스스로도 그렇게 행동하지 않으려 하네요
INTJ,지인에게는 그런거 소모적이고 피상적인 관계에서 염증을 느끼기 때문에 아주 순수하게 대합니다
INTJ,시간이 지나니 일처럼 느껴지게 했던 관계에서 지쳐가더군요 그래서 굳이 애쓰지 않아도 편안한 사람들하고만 소통하고 인연을 유지하는 듯 합니다 인간관계에서 견디는 건 업무적 관계만으로 충분하다고 생각했었습니다
INTJ,아 저도 20대때는 친구관계 거리감각이 없어서 의무적으로라도 연락했던것 같은데 점차 정신력도 체력도 안받쳐줘서 거의 끊었어요 회사다니기 시작하면 친구관계 신경쓸 여력이 없어요 무리하실 필요 없습니다
INTJ,오 관심있는거 같은데요
INTP,관심이죠 
INFJ,아악 슬프군요
INTJ,성격이 급해서 칼답할때가 있고요 단답할 내용이면 또 칼답하고요 근데 반응속도말고 대답의 내용을 보셔야죠 글이 좀 길고 챙겨주는 말투 감정이 들어간 말투면 호감 유 그냥 건조하게 대답만 하는거는 관심없음이고요 약간은 챙겨주는 분위기긴 한데 깊은건 아니에요 아직은 좀더 말랑한 반응내용을 가져오십시오 뚝딱인다거나
INFJ,슬프지만 말랑한 반응내용은 없네요 회사사람이라 제가 더 표현을 못하겠는게 아쉽네요 
INTJ,퀘스트 느낌표는 못참지 입니다RPG게임 이야기
INFJ,아 어떤 느낌인지 알거같아요
INTJ,마자요 다 해치워야 속편함
INFJ,인간적호감이라도 있으니 다행이라고 생각해야겠어요 
INTJ,읽씹은 원래 그래요
INFJ,그렇겠죠역시 따로 만나서 이야기를 해보는 기회를 가져보는걸로
INTJ,카톡창을 빨리 클리어해야 마음이 편해서 되도록 칼답입니다 해야할게 쌓여있는거 못봄
