mbti,text
INTP,게을러지고 미루는 습관 어떻게 다잡고 계신지요
ESFJ,인풋아웃풋
ENTP,엔팁으로 산다는 것
ENTP,사랑스러운 엔팁인팁 여러분 모이세요
INTP,XNTP분들 용감하다 추진력있다는 소리 자주 들으시나요
INTP,INTP 궁물 받슴미더
ISTP,INTP 핀란드 비정상회담 출신 레오티비 보신분
ENTP,엔팁분들은 내사람의 기준이 어떻게 되시나요
INFJ,인팁이랑 친해지는 법 좀 길 수도 있습니다
ENFJ,인팁 분들 썸 탈 때 호감일 때
INFJ,인팁 답장 의미 궁금합니다
ESTP,인팁 여자분들께 질문드립니다 소개팅
ISFJ,엔팁 여자가 보는 잇프제 남자 이미지는 어떤가요
INFJ,인팁은 왜
INTP,저녁 7시부터 지금까지 딥슬립
ENFP,엔팁들은 누굴 좋아하는것 같으면
ENFP,헷갈리는 엔팁남
ENTP,ENTP와 만약에 가정법의 의미
ENTP,엔팁에게 잘맞는 공부법이 있을까요
INTP,뇌빼고 하는 농담이나 헛소리에 잘 웃어주는 유형
ENTP,하entp진짜
ENFJ,인팁 분들 infp
ENTP,intp 여자분은 어떤 고백좋아하세요
ENFP,엔팁 질투 원래 심한가요
INTP,건강하고 쿨한 infp와 entp
ISFJ,원래 엔팁 여자들은 남자 볼때도 자기주관이 뚜렷하나여
ENTP,엔팁분들이 선호하시는 약속 잡는 시간대
ISTP,인팁 남성분들 썸 기간
ENTP,NT랑 불건강 SFP랑 안맞는다고 느낀 부분
INTP,너 그 자체로도 충분하다는 말 부족한 나를 있는 그대로 받아달라는 말
ENTP,엔팁이 본 다른 유형들제 경험
ISFP,INTP 고민글 올렸던 사람입니다오늘 헤어졌네요 
ISTJ,선톡같은 능동적인 액션이 없으면 걍 거기까지인지
INTP,너무 바빴는데 이제 좀 한가해졌어요 헤
INFJ,인팁 연락 궁금해요
INTP,인팁 잇팁 궁금합니다
ENTJ,인팁이 연인이나 배우자에게 질문 없으면 호기심 떨어진 건가요
ISTP,INTP 남성분들
ISFP,INTP 궁금
ENTP,I가 말 없다가 적극적으로 의사 표현하는거 귀엽네요
ENTP,뼛속까지 ENTP 여자임 무물 받아요
ISFP,엔팁 정때문에 못헤어지는 경우가 있나요
ISTJ,이정도면 인팁이랑 꽤 친해졌다고 생각해요
INFJ,도대체 이 엔팁전남친의 마음은 뭘까요
ESFJ,검사결과는 인팁이라는데 잇프피같은 분 계시나요
ENTJ,엔팁한테 헤어지자고 하는 법
INFP,INTP은 알다가도 모르겠다
INFJ,엔팁 남자분들 도와주세용
INTP, 진짜 큰일날뻔
INTP,INTP를 찾을 수 있는 곳
ENTP,인팁 연락
INTP,엔팁 연애 연락스타일
ESTJ,인팁 포기하는게 맞을까요
ENTP, 미드나 영화 추천 부탁드려요
ENTP,엔팁 어장인지 왜 연락 안하는지 궁금한 분들께
ISFP,인팁 도전 마지막
ENTP,엔팁 호감과 장난 구분하는 방법
ENTP,외향내향 헷갈렸을때 점검한 부분
INTP,말실수하고 자신감있게 말하는 행동
ISFP,펑예정 INTP 정말 모르겠어요
ENTP,엔팁님들 둘중 어떤 묘사에 더 가까우신 것 같으신가요
INTJ,entp의 왜를 거절하려면 어떻게 해야 하나요
ISFJ,인팁 남친 때문에 고민이 많아요4
ESTP,엣팁여 엔팁남 커플
ISFJ,인팁 남친 때문에 고민이 많아요3
ENTP,NTP와 관심사
