comments,comments_writer
정말 단순 응원이면 그냥 속으로만 응원하시는거 추천드려요 ㅎ,eStj로니
"그냥 괜찮아져서 푼거같아요
근데 연락오면 또 차단할수도있어요",INFJTJ
핸드폰 바뀌어서 초기화 된거 아닐까요,헤이즌 INFJ
ㅋㅋㅋㅋㅋ앜 그럴수도 있겠네요!,엔티제 a
"안부인사를 왜..👀👀
굳이 다시 흔들 필요 없는 것 같아요",리르 INFJ
첨에 헤어지고는 가끔 안부인사 정도는 했었거든요..ㅎㅎ 흔들이유는 아니지만 ! 그냥 안해야겠어용,엔티제 a
음 마음있는거 아니면 전애인에게 연락 오는거 반갑지 않아용.,푸제뿌제
"확률 문제이지만,
저렇게 행동하는 인프제라면
보편적으로 연락 오면.. 좋아할 걸요..?
라는 쪽에 한 표 걸어보겠습니다.",Arte
저렇게 행동이 뭘까요?? 항상 제가 먼저 용기내서 연락 했었는데 다시 만나면서 먼저 항상 용기내줘서 너무 고마웠다 하긴 했거든요 ㅎㅎ..,엔티제 a
"본인이 직접 풀었다는 가정하에
감정이 어느 정도 소화가 된 게 아닐까 싶어요~
인프제 사연 중 이런 행동 엄~청 흔해요..ㅎ",Arte
어제 글 봤어용! 저도 infj남친이 있어서 재밌게 봤어요 화이팅이에요!,도시적인피라냐intp
연하남에게 빠진 경우가 처음이라 저도 우당탕탕 하고 있습니다 엠비티아이를 알고 나니 조금은 이해가 되네요 피라냐님의 예쁜 사랑 응원합니다,유자맛에일 istp
"소중한
우리
예쁜 누나요????
너무너무너무너무너무 극 호감인데요 ㅋㅋㅋㅋ",리르 INFJ
그쵸? 저렇게 말하는데 단순한 호의면 천하의 몹쓸놈이죠! ㅋㅋ 혼자 짝사랑이라고 그만 끙끙대도 되겠죠? 헌데 썸만 1년 탄다는 사연도 많이 봐서.. 아직 갈길은 멉니다 ^^;,유자맛에일 istp
예쁜 누나라면 어렵게 나마 할 수도 잇는 가능성 있지만 '소중한 우리' 예쁜 누나라면 극 호감에 가깝습니다,20대 INFJ 보라돌이
그쵸?? 그쵸????? ^_____^,유자맛에일 istp
표현 하면 죽을것처럼 안하던 인프제가 예쁘고 귀여운 우리 ㅇㅇ 말하고 머지않아 고백 했슴니다 미리 축하드림 🥰🥰,뿌린
이야… 좋아하는 걸 알면서도 즐기고 있었다니 그럼 선 긋는 듯 안 긋는 듯하면서 일부러 애매하게 굴었던 것도 팩트가 되는 거네요 쓰렉… ㅋㅋㅋㅋ,엔프피 계란말잉
네 저도 그 생각이 쓱 스쳐 지나가서 친구로라도 못 남겠다고 하고 연락하지 말자고 했어여..^^,코카젤리
손편지 주지마세요 그런사람에게 주기엔 넘 소중한거라...,iINFJ T 4w5
자꾸 받으러 오겠다하고 이거 보면서 나 잊지 않겠다는데 뭐라는지 이해가 안 가더라고요;;,코카젤리
ㅈㄹ도 풍년이네요 죄송해요 넘 황당한 경우라 욕이...차단하고 편지도 주지않으시는게 좋을것같아요,iINFJ T 4w5
"편지 주지마요.. 그거 받고 또 흐뭇 뿌듯해할거같은데 제발료..ㅠㅠ
찢으신다하셨구나 굿굿 ㅠㅠ 이왕 찢는거 아가리도 찢..",뿌린
나 이거 플러팅하는거 아니야 라고 얘기를 하면서 선을 그었다구요..? 전 애초에 헷갈리게하는 행동을 안 하는 편이라; 당혹스럽네여 정말..,리르 INFJ
저도 ... 저게 어떻게 선을 그은건가 싶은데요.. 저도 나름 눈치 있다고 생각 했지만 ;;,코카젤리
"그냥 어장 친 거 같아요
완전 나쁜 놈이네요
지가 그 손편지를 왜 받아🤬🤬🤬",리르 INFJ
손편지 주지 마세요. 글쓴이님 너무 아파하지 않으셨으면 좋겠네요. 깔끔하게 잘 정리하시고 좋은 인연 만나시길...🍀,DoD INFJa 6w5
그래서 찢어버린다고 했습니다..! 얼른 잊어야죠 감사해여ㅠ,코카젤리
잘하셨어요!,Lijulyou
"나쁜사람..
손편지도 아깝네요",잇프피융
으으..같잖은 변명하는게 참 별로네요(남녀간 오가는걸 즐겨놓고 상대가 진지함을 요청할때 난 선그었는데? 이러는건 걍 세상 치졸하고 비겁한겁니다 ㅉㅉㅉ) 그래도 글쓴이님 용기내셔서 확실하게? 되서 천만다행입니다 내다버리세요 토닥토닥,Lijulyou
