comments,comments_writer
"사회성이 떨어지는 거라고 해야 할 지... 그냥 어떻게 말하면 좋을 지 몰라서 그러는 것 같은데요ㅋㅋㅋㅋㅠㅠㅠㅠㅠ
아님 카톡 연락 싫어하는 사람이거나...",아리오 INTP 8w7
사회성이 떨어진다니... 후 어렵네요ㅜㅜ,ISFJ와 T사이
사회성이라고 말하니까 뭔가 좀 그런데 대화의 기술이 부족한 사람이다..! 정도로 이해하심 될 것 같아용,아리오 INTP 8w7
아하! 감사합니다~ 그렇게 알고 있어야겠네요 진짜 ㅠㅠ,ISFJ와 T사이
"쑥스러워서 그럴거에요. 만나면 언제 그랬냐 싶게
즐겁죠? 그런데, 헤어지면 먼저 톡도 잘 안 하고
잠수타거나, 답도 간단(이모티콘).
톡은 안 해도 무지 신경쓰고 있을거에요. ㅋ
감정 소모 심해서 에너지 충전도 길어요.",lilllilllllillll
아 그래서 그런걸까요? 전 연락 자쥬 하고 싶은데 단답이니 힘들더라고요 ㅠㅠ 답변 감사해요,ISFJ와 T사이
혹시 귀찮은데 내가 계속 말거는걸까 생각이 들면 주도권을 상대한테 넘길라고 저렇게 하는거같아요 ㅋㅋㅋ,NMN1nfp
"아 주도권을 저한테 주는 걸까요? 그럼 제가 계속 걸어주면 되는 걸까요? ..
괜히 끝낼라고 하는건데 눈치없이 제가 보내는 걸까바 그냥 적당히 끝내곤 했는데...",ISFJ와 T사이
"저것도 약간 눈치보면서 연락을 적당히 하는 걸까요? 만났을때 물어보긴 했는데 전화가 좋냐 문자가 좋냐
그래서 난 문자가 좋다고 말했는데도 저런 짧은 연락이라 약간 거리감이 느껴진달까 그렇네요 ㅠ",ISFJ와 T사이
이모티콘은 잘 쓰는데 약간 시크한것 같긴해요 제가 ㅋㅋ 그래서 좀 어려워 하는 걸까요? ..ㅋㅋ,ISFJ와 T사이
그렇군요~ 저도 좀 더 다정함을 장착해야겠네요 ㅋㅋ 감사해요!!,ISFJ와 T사이
원래 저러더라구여.. 저도 초반에 혹시 카톡귀찮냐고 물어볼정도였어욬ㅋㅋㅋ 지금은 그냥 '으이구 이 사회성없는 인간ㅎㅎ귀엽네'라는 생각으로 하고픈말들이나 편하게 카톡보내게 되는 것 같아요. 답장은 또 잘해주니깐요ㅋㅋㅋ,뚱 ISFJ
"아 원래 인프피가 그렇거였군요 ㅋㅋ 진짜 답장은 잘해요 근데 먼가 이어나가질 못하니깐 일부러 저러나 싶은데
못하는 거였다면 이해해야 하는 일이였나보네요 !!",ISFJ와 T사이
할말없어서그러는듯요. 직접적으로 할말이없는건지 호감이없는건지 저같으면 물어볼것같아요. ㅋㅋ 저는 좋아해도 제가 자신없거나 할말없으면 카톡끊거든요,ISNFP 반짝
그렇군요~오늘 만나는데 물어봐야겠네요!! 연락이 이렇게 어려운지 몰랐네요 ㅎㅎㅎ,ISFJ와 T사이
저도 그래요 ㅋㅋㅋㅋ 진ㅉㅏ 말 그대로 진심 오백퍼 담아서 오늘 하루도 화이팅 의미로 하는거예요 님이 좋은 하루 보내면 좋다는 말 ㅋㅋㅋㅋ 그 말 하나에도 엄청 고민해서 맘 담아서 보냈을걸요. 님이 조심스럽고 그럼에도 내 바운더리 열까말까? 고민하는 상황같네여 다정하게 대해주세요. 밀당하지말고 천천히,인프프피
"ㅋㅋ밀당을 할래야 할 수 없는 메세지라 더 어렵네요 ㅋㅋ
감사합니다~ 더 다정하게 대해보도록 해볼께요^^",ISFJ와 T사이
"저는 ST라서 이게 어려운게 맨날 오늘도 화이팅. 저는 출근했어요. 퇴근했어요. 잘자요하는 인프피가 있어요

1. 저에게 질문이 없음!!! 나 휴가야 해도 뭐할거냐고 질문없는건 설마 말하기 싫을까봐 배려하는거에요?

2. 자기보고만 함(자기 퇴근함. 자기 밥먹음)
내가 퇴근했는지 여부를 안물어보는것도 배려에요?

3. 오늘하루 화이팅
맨날 이 말만 하는데,,,,

4. 나에 대한 사소한 걸 기억못함(내 출근시간, 점심시간 등)",pw13216
"어머 ㅋㅋㅋ 1.2.3.4번 다 저랑 같으시네요~ 저도 그게 답답해서 쓴글인데~
직접 물어보라도 하셔서 물어봤더니 귀찮아 할 수 있잖아 라고 하지만 ㅋㅋ 본인이 좀 귀찮은 것 같더라고요~
그래서ㅠ다른건 다 이해가 가는데 저도 사소한 걸 기억 못하는건 섭섭하더라고요…. ㅠ",ISFJ와 T사이
세상엪 근데 제가 막 저러니까 재미없어서 톡 씹어도.. 본인이 또 화이팅. 이런 톡이와요. 징글징글....ㅠㅠ 글쓴님 덕분에 댓글보고서 진짜 화이팅이 진심으로 화이팅이라는 것을 알게되었어요ㅠㅠ 계속 만나볼 마음이 슝슝 줄어드는데 그냥 저런분 처음봐서 사고구조가 약간 이해해보고 싶은 맘이에욬ㅋㅋ,pw13216
"저도요 ㅋㅋ 먼가 톡할때 대화가 핑퐁이 안됨 ㅋㅋ 차단되는 느낌 ㅋㅋ
그냥 그러려니 해보려고요 저도 이런 카톡은 처음이라 당황했는데 그냥 그러려니 해보렵니다 ㅋㅋ
진짜 화이팅 해봐요 우리 ㅋㅋㅋㅋㅋ",ISFJ와 T사이
"그래도 인프피 남에게 관심이 있다면, 천천히 그냥 화이팅만이라도 받아주다보면 친해져서 나아지겠죠. 전 이 사람을 계속 만날 마음이 사라지는데, 그거랑 별개로 인간에 대한 궁금증이 생겨서 한번만 더 만나볼까 하는 정도에요 ㅋㅋ아까 그래서 먼저 쉬운 ""질문""을 해봤는데 답이 늦네욬ㅋㅋㅋ",pw13216
