comments,comments_writer
호감입니다 뭣하러 모닝콜 해달라고 하겠어요,리치몬
엔티제는 전화가 나은가요? 톡은 일할때 너무 끊겨서ㅠㅠ 제가 쉬는날 언제냐고 물어봤는데 어제 오늘 정해지는데로 알려준댔는데 다른 보고만해서 답답해용ㅠㅠ 가족얘기며 친구얘기며 누군지 다 설명해주고 지인가게가자 친척 병원으로 옮겨라 하는것도 다 표현하는거겠죠?,Istjjjjjjjjjjjjjjiii
전화로 간단하게 본론만 얘기하는 거 좋아해요. 일할 때 연락 안 보는 건 일상이고요. 쉬는날이 아직 안 정해졌나보죠. 기다리세요. 다 표현입니다.,리치몬
"전화하면 본인 일과 주변사람 다얘기하느라 기본 10분에서 1시간은 전화하는거같아요!
넵 기다리겠습니다 감사해요🙂",Istjjjjjjjjjjjjjjiii
아 일하는 도중에 하는 전화인 줄 알았네요 ㅋㅋㅋㅋㅋ 일정 다 끝나고 전화하면 기본 10~30분 안으로 끝내려고 해요,리치몬
일할때는 전화 안 해요 서로 ㅋㅋ집 들어가서 통화하면 1시간씩 통화 하기도해서 궁금했답니다,Istjjjjjjjjjjjjjjiii
일할 땐 일에만 집중하는 게 좋죠 아무튼 먼저 사귀자고 하시는 것도 좋을 것 같아요,리치몬
옷소매잡았더니 손잡고걷고 헤어질땐 안아줬는데 이번에 보면 제가 먼저 말해도될까요?,Istjjjjjjjjjjjjjjiii
먼저 말해주세요 엔티제 코피나게요 그리고 뭐 친구 신경 쓸 필요 있나요,리치몬
"뭐라고하면 코피날까요?!팁좀주세용
몇일전 아파서 쉬랬는데 약속을해서 밥이라도 먹자한건가해서 약도 챙겨갔거든요.",Istjjjjjjjjjjjjjjiii
"워낙 식사가 불규칙해서 유산균이랑 간단한쪽지랑 네잎클로버 줬어요!제가 갖고있어서 준다고 했거든요
그건 바로 지갑에 넣으셨고
아프대서 몸살감기약 챙겨서줬는데...오 이거고마워
유산균은 안 먹어도되는데 하길래 살짝 섭섭했어요ㅠㅠ",Istjjjjjjjjjjjjjjiii
표현을 못한거겠죠? 분명 좋아했으려나요? 안먹어도된다고해서 살짝 섭섭했거든요ㅋㅋ,Istjjjjjjjjjjjjjjiii
너무 귀여운데요? ㅋㅋㅋㅋㅋㅋ 고맙다고 한 게 표현이죠 뭐 ㅋㅋㅋ 분명 좋아했어요 ㅋㅋㅋㅋㅋ 지갑에 아직도 간직하고 있을 거예요 조만간 엔티제랑 사귄다는 글 올라오시겠네요,리치몬
엔티제는 대충 일과 파악이 끝나면 질문보다는 본인 보고하나요? 일과가 궁금해 하고나선 본인 보고가 대부분인거같아요~,Istjjjjjjjjjjjjjjiii
네 일과는 파악했으니깐 물어볼 게 없고 전 애초에 본론없는 연락은 안 하고 안 보는 편인데 상대가 좋으면 그래도 노력해서 보고 형식이라도 하려고 해요 정말 노력한 겁니다 꼭 알아두세요,리치몬
넵! 리치몬님 댓글 보고 정말 노력해주는거라는걸 알았어요! 댓글 감사합니당🙂,Istjjjjjjjjjjjjjjiii
네 사귀시면 알려주세요.,리치몬
넵!! 제가 또 궁금한거있음 댓글도 남겨볼께요 ㅋㅋ 먼저 코피터지게 해보겠습니당 홧팅!,Istjjjjjjjjjjjjjjiii
네 궁금한 거 생기시면 물어봐주세요 좋아요 쌍코피 go,리치몬
어제 새벽까지 일하고 일이 재미는있는데 현타가왔다는데ㅠㅠ제가 뭐라고 하는게 좋을까요?워낙 워커홀릭에 일욕심도 많은데 엔티제가 저렇게말해서 뭐라해야할지 안쓰럽고 힘을주고싶은데..모르겠어요,Istjjjjjjjjjjjjjjiii
음 왜 현타 나왔냐고 묻고 현타온 이유 듣고 잘 오구구 해주고 일 열심히 하는 거 멋지다고 칭찬 같은 거 해주고 엔티제한테 힘주고 싶은데 뭐라 해야 할지 어떻게 힘 줘야할지 모르겠다고 속상하다고 해주고 엔티제 기운나게 맛있는 거 먹으러 가자고 하면 알아서 저절로 회복할 거예요,리치몬
일이 본인생각대로 진행이안되고 돈도 돈이고 일도 안풀리고 잠도 못자고 힘든가봐요ㅠㅠ 점심시간이네 하면서 톡왔는데 진짜 노력해주는거같아서 고맙네용 ㅠㅠ 조언대로 보내볼께요!,Istjjjjjjjjjjjjjjiii
그럴 때는 연락으로 으쌰해주고 만나서 힘들겠다고 달래주고 배려해주는 게 좋아요 맛있는 것도 먹여주고요 저절로 회복해요,리치몬
"주말에 보기로했어요! 맛있는거 먹자구
오늘은 어제보다 더 바쁘다는데 첨으로 밥먹었다고 연락없는데ㅠㅠ 엔티제는 연락없어도 퇴근했다 뭐한다 남겨놓는게 좋나여? 아님 답오면 하는게 나을까요?",Istjjjjjjjjjjjjjjiii
잘하셨어요 음 연락없어도 보고형식으로 보내놓는 건 좋아요 귀엽게 느껴집니다 ㅋㅋㅋㅋㅋㅋ 물론 엔티제가 istj님을 좋아하니깐 귀엽게 느끼는 거예요 ㅋㅋㅋㅋ 알아두세요,리치몬
엔티제분이 이렇게 남기는거면 호감맞는거죠? 넘 바쁜데 제가 귀찮게하는걸까바 걱정이 ㅋㅋㅋ남겨두는게 나을까요? ㅠ,Istjjjjjjjjjjjjjjiii
호감이 아니라 사랑인데요? 전혀 귀찮지 않고 남겨두시면 귀여워하면서 좋아할 거예요,리치몬
헉 사랑수준이에요? 현타오고 어제보다 바쁘다해서 걱정이ㅠㅠ 리치몬님 조언데로 톡 남겨놓을께요!,Istjjjjjjjjjjjjjjiii
