comments,comments_writer
무엇이 문제죵?,eStj로니
썸붕하고 삼일만에 제가 모해라고 보내고 이어간카톡인데…마지막도 저렇게 안읽씹으로 끝나서ㅠㅠ,바보바버
한시간정도 지나긴했는데 이따가 다시오지않을까요? 상대방이 썸붕 확정을 지은건가요?,33isfj
썸붕이었다 삼일만에 제가 모하냐고 연락한건데… 썸붕날때도 저렇게 안읽씹으로 끝나거ㅠㅠ,바보바버
"움 ..
동기분들이랑 있어서
톡 바로 이어나가기 힘든 게 아닐까용 ?
나중에 다시 연락 주실 거 같은데 ..",IIIsftp
썸붕이었다 삼일만에 제가 모하냐고 연락한건데… 썸붕날때도 저렇게 안읽씹으로 끝나서ㅠㅠ,바보바버
미련 없어보인다 상대쪽 ㅜㅜ,히히헤헹ㅇ
그쵸ㅠㅠ이대로 안읽씹할구같아오,바보바버
"저도 비슷하게 연락텀이 9~10시간 돼서요
슬슬 정내미떨어지기 시작했고 뭔가 제 스스로 피폐해지는것 같아 헤어졌어요
잘했다고 생각하고 매우 하늘을 나는 자유로운 내 자신이된거같아요
뭐가아쉬워서 내가 붙잡고있나..
얼굴이 차은우도 아니고 ㅋ 무슨
무튼 한번 얘기는 해보시되 고쳐질 기미 안보이면 가차없이 내리치세요 고생하지 마시구 좋은사람많아요",ISTJ Da
연락 될 때나 만났을 때 행동 등 보면 저를 좋아하는게 맞는데 진짜 연락이 잘 안되니까 가뜩이나 장거리에 신뢰가 하나도 없고 너무 스트레스네요.. 땅땅 사귄다 하면 뭐라고 할 텐데 제가 그 친구 여자친구도 아니고 뭐라 하기도 그렇고 진짜 이런 걸로 스트레스 받는 제가 싫다가도 얼마나 그러면 내가 이러겠나 싶어서 그 친구가 짜증나고 하 ……..,뿌삐뿌삐잉
"전 그 사람 만나고 난 후로 엔팁보면 경끼합니다 ,,,
일단 먼저 얘기해보세요.. 연락문제에 대해,,",ISTJ Da
ㅋㅋㅋㅋㅋㅋㅋㅋ제대로 다치셨군요.. ㅠㅠㅠㅠ그냥 사람이 제가 느낄 땐 진중한 부분이 없는 것 같아요.. 저희 둘 다 대학생이라 그런 모습 바라는 건 너무한가 싶긴 한데 그냥 타인에 비해서도 조금.. ㅜㅜ,뿌삐뿌삐잉
"맨날 제가 뭐 진지하게 말 해도 에궁 글쿠나 해놓고 암튼 이러면서 딴 소릴 하지 않나 ,,,,,,곱씹어보니 열받네요",뿌삐뿌삐잉
저도 똑같이 분노의 감정을 여러번 느꼈어요 여기 까페에서도 엔팁 연락 비슷한 글들 많아요 ㅜㅜ,ISTJ Da
"글쿤요.. 연락 초기엔 하루 내내 안읽씹이고 이래서 엄청 스트레스 받고 나 혼자만 시그널 느꼈나 싶었는데 이젠 행동으로 확인 받았는데도 똑같이 연락으로 스트레스 받는 저를 보니.. 조만간 마음 접지 싶어요,,",뿌삐뿌삐잉
"저도 엔팁인데 그래용
제가 새로운 사람이 생기는 순간
전썸남 전남친 모두 오징어되어버리고
이성적 관심1도 안생기더라구용

근데 새로운 이성이 안생기면
정떨어질 행동이 아닌이상 다시 잘 될 기회는 있는거 같아요,

좋아함이라는 감정자체가 잘 안생기기땜에
한번 누군가에게 마음줬다는거는 오래 갈 가능성이 높아서용",나는누구이고여긴어디
"오징어 ㅋㅋㅋ
저는 상대방이 정떨어질만한 행동을 했기 때문에... 참고 참다 헤어지는 것 같아요.
한번 사귀면 저도 마음이 오래 가긴 합니다. 기본 그래서 3-4년씩은 사귀어요.",sayou intp
저는... 그냥 하고싶을 때 해용 ㅎㅎㅎㅎ,ㅎ ㅏㄹ intp 9w1
