comments,comments_writer
저 이거해보니 estp 나오더라고여 ㅋㅋㅋ좀 아닌거같던데,ISTP네네
그쵸 ㅋㅋㅋ 그것도 모르고 두번이나 해봤네요,깜찍한망둥isfj
이거 좀 이상해요 하면서도 질문들이 뭔가 이상하다고 느꼈어요ㅋㅋㅋ유료검사도 intj나왔는데 isfp가 나와서 얼척없던데,휴Intj
저도 이걸로 하니깐 estj 나왓어요..ㅋㅋㅋㅋㅋ,잇ㅌㅂ
댓글들 보니 얼마나 다르게 나올지 기대되네요 하러가야지 ㅋㅋㅋㅋㅋ,성냥
"뭐가 다른가 했더니!!
한국 MBTI 연구소 / 한국 MBTI'심리'연구소 였네요...!
사이트 리뉴얼한줄 알았어요 ㅎㅎ... 주소에 k가 붙고 안붙고가 달랐네....",INTJmumu
INFP인데 INTP ENTP 나왔어요…ㅋㅋ 근데 유료검사에는 ISTP 나왔는데 제 자아가 몇 개인걸까요 ㅋㅋ,INFP라구요
"애인인걸 떠나서
사람이 힘들다고 했을때
초면이나 처음 만난 사람이 그러는거 아닌이상
싫어하는 사람이면
몇년이 지나더라도
비슷할것 같아요
나중에 약점잡힐 만한
아주 딥한 이야기 아니면
오픈해도 괜찮다고 생각합니다",닉넴짓기귀찮INFP
"힘든걸 굳이 연인한테 이야기 해야하나요..?
자기 힘든건 스스로 극복해야하는 문제죠
그럴거면 연애를 왜해?라고 말하시는 분들 있을텐데
연애는 인생의 부가서비스 같은거고 함께 있으면 즐겁고
인생의 원동력 같은 느낌을 받기 위해 하는거라 생각해요.그럴러면 내가 상대에게 부담스러운 존재가 되선 안되구요.그렇게 시간과 추억이 쌓인 후에 정말 다 무너지는 그 순간에서도 나를 배신하지 않는 사람이라는 경험을 하고 나선 사랑이라 할 수 있는거구요.

2주정도 됐으면 너무 기대지마세요.",귀차는인간
"본인이 밝다는거죠? 2주든 2달이든.. 서로의 깊이가 있잖아요.
본인이 느끼는 서로의 감정공유의 정도.
거기따라 다르지 않을까요.
요즘 힘들다고 하는게.. 두분만의 적당한 거리에서 가능한 이야기라면 가능할듯도 해요.
남자분은 해결사 역할 하는거 좋아하기도 하거든요.",시나모를
