comments,comments_writer
"엣프피가 이렇게 읎나.. ㅎㅎ
저는 솔직히 페르소나 까지는 모르겠고 가끔 출근길에 오늘은 좀 과묵하게 있어야겠다 생각하면서 가요. 하지만 뭐 사람들 만나면 입이 자동 오픈이라..🤣😂😆 근데 피곤하거나 몸이 안 좋으면 텐션 급 떨어져서 조용히 있는데 시끄럽던 사람이 조용히 있으니까 주변 사람들이 눈치도 좀 보고 불편해하더라구요..ㅠㅠ 그리고.. 음.. 가끔 썸 초반에 얌전한척 조용한척 해보기도 하는데 얼마 못가요ㅋㅋㅋㅋㅋ",ESFtPA커브
그럼 커브님은 페르소나를 안쓰는 편이시군요!,I엔FP
"잘 안쓰는것같아요 근데 친한 사람 안친한 사람들은 그렇게 느끼는 것 같기도 해요
친해지니까 더더 재밌고 웃기다고 ㅋㅋㅋㅋ
처음 본 사람들은 차갑게 보기도 해요 특히 이성들요
결론은 잘모르겠어요 ㅋㅋㅋ 억지로 쓰진않는듯요",도티도티
"그럼 사람마다 다르게 셩격을 본다기보다는, 친한 정도에따라 성격이 달라보이는거죠?",I엔FP
네넵,도티도티
딱히 없는 것 같아요. 그냥 그 사람 성향 알면 맞춰주는 정도가 전부입니다..ㅎㅎ,엣푸피플
그렇군요! 답글 감사합니다!,I엔FP
저두... 없어욧..! 그냥 제 모습 그대로를 보여주며 살고 있습니다ㅎㅎ,앳프티피
있는그대로 보여주시는군요! 답변 감사해요!,I엔FP
저도 있는 그대로 보여줘요 ㅋㅋㅋㅋ 숨기고싶어도 안숨겨져요 ㅋㅋㅋ,천상ESFP
"학생이신거 같은데 헤어지고 차단하는건 그냥 당연한거에요. 보통의 경우 많이들그러고 새로운 사람이 생기면 그럽니다. 게다가 원수처럼 헤어지셨다고 하셨는게 그럼 싸웠으니 차단할수있는거고, 심지어 여자친구가 생겼으면 더더욱 전여친은 차단하는게 현여친한테 예의죠.
너무 신경쓰지마세요~ 그냥 연애라는게 원래 그래요!",긍정Enfj
넵 ㅠ,istp로바뀐infp
보기싫으면 차단한다고 하더군요 더이상 연결되고 싶지 않은 마음,나는누구이고여긴어디
오…그렇군요,istp로바뀐infp
저분이 진짜 잇팁이라면 인간으로써 혐오하는수준이지않을까요..저정도까지라면..,Istp쯔
그쵸 저도 잇팁으로서..,istp로바뀐infp
저도 잇프피지만 이건 엠비티아이와 별개의 문제라고 봐요 ㅠㅠ 좋아하고 소중히 생각하면 그 사람이 원하는 대로 해주려고 노력한다고 생각합니다.. 너무 많은 걸 이해하려고 하지 마세요 ㅠㅠ,kkong89
넹ㅠㅠ 댓글 감사해요!,enfj 지니
"잇프피는 다른 mbti보다 혼자있는거 좋아하고 이중플레이가 안되고 집에 드러누워있는거 좋아하다보니 연락이 다른 유형보다 잘 안될 수 있어요
그리고 내향형이고 수동적 성향이 크나보니 다른 적극적 외향형보다는 표현이 좀 없다고 느낄루도 있죠~

근데 윗분 말씀대로 이런 isfp도
진짜 자기가 좋아하는 이상형이나
너무 좋아하는 여자만나면 달라지더라구요
연락 잘하고 표현 잘하고~

연락문제와 표현문제로 잔소리하기보다는 잇프피가 나를 더 좋아할 수 있게 매력도 올리고 자기계발하는데 더 집중하시면 나중에 연락문제와 표현문제가 자연스레 고쳐질거예요",나는누구이고여긴어디
"연애시작 전에 상대가 먼저 좋아한다고 따라다녔고 고백도 그쪽에서 했지만 제가 몇번 거절했다가 만난거라 진짜 좋아하면 달라진다는 말이 신경쓰이네요ㅠㅠ 

이정도는 진짜 좋아하는 수준은 아니였던걸까요. 아니면 연애시작하고 나니 다시 본인의 모습으로 돌아온걸까요..",enfj 지니
"잇프피남자가 그 정도로 불도저로 직진했다는거 자체가 엔프제님을 정말 좋아해서 그랬던거 같구요~
문제는 이 사랑이라는 감정이 처음에
최대선을 그리는 사람이 있고

반대로 만나서 갈수록 좋아지는 사람도 있고 그렇거든요ㅠ
이 경우로 볼 때는 처음엔 정말 잇프피남자가 지니님을 너무 좋아해서 거절해도 직진까지 했고 했는데 사귀면서 그 마음의 크기가 바뀐가 같아요
그리고 mbti성향을 떠나서 사귀고나서 첫 감정같은게 계속 유지되는 관계가 아닌경우 편해진 자기 모습이 나오구요, 마음도 예전같지 않아서 헤어지면 어쩔수 없지 뭐 이런 감정으로 가고 있는 것이구요!
그래도 많이 좋아해서 시작한 경우라 이 경우는 좋아하지 않은 연애라서 그런건 아닌거 같아요!",나는누구이고여긴어디
"일단은 저도 이해해보려고 노력하겠지만 
지치면 이별을 하게되겠지요ㅠ 
정성들여서 댓글달아주셔서 감사해요!",enfj 지니
한번 연락도 표현도 뜸해보세요 저는 엔프피라 시도때도 없이 표현하다가 요즘 저도 잇프피남친따라 거의 안햇더니 자기가 먼저 하더라구요 ㅋㅋ,안도로시
