comments,comments_writer
저는 잇프제 남이랑 사귀고 있지만 대신 답변할게요. 사귀면서 사랑받는다 라는 느낌을 많이 받게 해줬고 지금 내 감정이 어떤지 계속 확인하면서 많이 챙겨주고 배려해준다는 느낌을 받았습니다. 제가 엣티제라 애정표현에 어색하고 서툰면이 있는데도 많이 표현해준 남자였습니다. 아직 저도 사귄지 얼마 안 됐지만 배울점 많고 존경할 점이 많은 엠비티아이로 남친 덕분에 남아있네요. 혹시 저도 잇프제 눈에는 엣티제가 어떻게 비춰지는지 여쭤봐도 될까요 ?,튼튼한라라 estj
"글쓴이는 아니지만 궁금해서 답글 남겨요 ㅠ 애정표현에 서툴다고 하신게 표현을 잘 안하신건가영,,? ㅠㅠ 서툴러서 못하는거랑 마음이 없어서 안하는거랑은 구분이 안되겟죠,,?",나는야잇프피이이
마음이 없어서 안 하는거는 이미 말투나 표정부터 구분이 확실이 갈겁니다 ! 사랑한다 보고싶다 라는 애정표현이 부끄러움이 많고 어색하다보니깐 그런거에 주저하고 말을 잘 못하는거지 안하려고 참지는 않았습니다 !,튼튼한라라 estj
"표정에도 큰 차이가 없는거 같운뎁,,,진짜 웃길때 말곤 늘 디폴트 표정인거 같애요",나는야잇프피이이
그러면 관심이 없는게 아닐까요 ?,튼튼한라라 estj
"일단 저는 화나면 말을 제대로못하는데, 엣티제분들은 자신의 주장을 논리적으로 따박따박말하는게 멋지더라구요ㅎㅎ 그리고 저는 타인이 주도하면 서폿해주는게 좋은데, 엣티제분들이 리더십도있고 잘 이끌어주는게 저에게 매력적으로 다가옵니다!!ㅎㅎ 신중한 모습도 좋아요. 혹시 댓작성자님께서는 잇프제 어떤 부분에 반해서 사귀게 되셨나요? 제가 엣티제 짝사랑중인데ㅜㅠ 저의 어떤점을 어필할 수 있나해서요",레몬 isfj
우선 다정함과 따뜻함 그리고 비전이 보이는 사람을 좋아했어요 ! 다정함과 따뜻함은 기본 베이스여서 패스하고 목표가 뚜렷하고 열심히 사는 모습을 보여주는 사람을 좋아했어요. 엣티제는 살짝 썸이나 짝사랑 기간이 늘어나면 관계를 의심하고 마음 접는 일도 일어나니깐 기간에 대해서도 참고하셨으면 좋겠어요 ! 그렇다고 너무 빨리 마음을 잡아놔라 그 말도 아니에요 !,튼튼한라라 estj
돈 쓰는게 부담되는걸 알지만 직접적으로 말하기 보다는 나를 위해 사용해주는 것은 너무 고밉지만 우리 미래를 위해 조금만 아껴서 쓰고 싶다고 해보셔요 그러면 기분도 좋고 아끼기까지 할 것 같습니다 잇티제들이 원래 사랑하는만큼 아낌이 없다고 하도라고요,INFP와J의사이
미래를 위해 조금만 아끼자고 하면 괜찮을거 같네용! 어떻게 말해야할지 몰라서 난 왜 못쓰게 하냐고 째려봤었거든요ㅠㅠ감사합니다,삐뚤어진 잇프제
맞아요 약속 진짜 잘지켜요! 물질적인것도 제가 뭐 구경하면 사줘? 해요 전 그것도 부담스러워서 매번 안받지만용...물질적인걸 주는게 표현이구나..,삐뚤어진 잇프제
