comments,comments_writer
솔직히 깊티 주는게 제일 좋지만 병원가라고 하는게 그나마 괜찮아여 전,인생은 타이밍
음..!! 구렇군요..,힐링바
"걱정되면 되는 대로 걱정된다고, 괜찮냐고 물어보고 말하세요.

단, 서로 좋아하는 게 확실한 관계일 때 + 너무 재촉하듯이는 말구요.

전자는 아니라면 귀찮고 부담스럽고, 후자는 쉬고 싶을 수도 있으니까요.

답장 재촉이나 전화 재촉 같은 것만 아니면 내가 좋아하는 사람이 나 걱정해주는데 고맙고 감동일지언정 싫거나 귀찮지 않습니다.",릭티 INTP
그쵸..ㅜㅠ 솔직하게 표현할게요ㅎㅎ:),힐링바
집앞에 죽이나 배달시켜주면 찐감동,istj 사탕
아녀 제가 인프제한테 반한이유가 ㅂㅏ로 이거에여 재지않고 직진하는거...ㅎㅎ 카톡도 솔직히 의미 없는 연락은 재미없는데 재밋는주제면 좋아해여,Guapisimo istp
"일단 답변 넘넘 감사합니다🥺👍🏻
헉 그래요?! 정말 의외의 답변이라
놀랍습니다!! 오호,,
저도 정말 한번 마음 주는게 어려운데
작정하고 열리면 걍 오픈더도얼~~
자동문처럼 열리거든여.. ㅠㅠㅋㅋㅋ
그래서 재는것도 모르고..
너무 부담되지않는 선에서
챙겨주고 걱정하고 예뻐하는데
그거조차 얘는 너무 잘해줘서 질린다? 생각할가바 걱정이 많았어요ㅠㅠ
구남친들은 잇팁은 아니였지만
다 제가 헌신해서 떠나간 케이스라,,
마음이 너덜너덜햇엇거든여ㅠㅠㅋㅋ
저 꽤 재미써요!!!😏😏😏
나름 잇팁이가 제 몹쓸개그에
빵빵 터져주고
재밋어하는 모습보면 흐뭇하고
계속 웃겨주고싶고 그르네요..ㅋㅋㅋ
제가 또 리액션대마왕이라
잇팁이 먼말해도 꺄르르 꺄르르 자지러집니다..ㅎㅎㅎㅎㅎㅎ헿ㅎㅎㅎ
휴 이댓글 보니 너무 안도가됩미다,,
감사해요..🥰🩷❤️💛💚",infj나야나
"ㅠㅠ 댓글만 봐두 넘나 러블리,,, 잇팁이 나 머했어 이러케 보고하는건 인프제님이 계속 리액션 넘 잘해주니까 신나서 연락하는거같아요~~~ㅋㅋㅋㅋ 호감은 백퍼라고 봅니다 글구 잇팁은 잘해주는사람 조아하면 조아햇지 헌신짝처럼 버리고 그러진않아용~~ㅎㅎㅎ",Guapisimo istp
"앗!!!그런가요?!🥰🥰🥰??
하긴,,제가 진짜 리액션빼면 시체라,,,
뭔 말을해듀 반응을하긴해요..히히🤣
다행이네여 맘이 한결 편안해졌어요..진짜 정말로다가ㅠㅠ 아주그냥
잇팁이 더 말을 자쥬 할수있게끔
저를 더 좋아할수있게끔
이 사랑을 꼭 쟁취해보리🌾,,,💘💘

마지막글도 참,,,☆★
잇팁은 혼자 멋있고 예쁜거 다하네
참네,,,,이러니 내가 빠져들지,,,🤦🏻‍♀️",infj나야나
밀당 하지마요 진심 밀당하는 순간 정떨어짐,잇ㅌㅂ istp
