comments,comments_writer
점점 님에게 스며드는중 인게 아닐까요 ?! 이 사람도 나한테 호감이 있구나 확신을 가지면 고백할 것 같은데 ••! 아니면 그냥 대놓고 물어보시는 것도 좋을 것 같아용!!,ENFP곽체리
먼저 저녁시간때 전화해보시는건어때요?ㅎㅎ엔프피분 좋아하시는거같은데요. 고백타이밍 노리겠쥬,ENFP독특한그녀
네 글터라구요 속 터짐요;;,istpppppppppppp
엔프제남도 그런가요?!,인프제주후
엔프제는 사겨본적이 없어서요 ㅠ 엔프피 꼬실때는 오프터까지 갔어요 ㅠㅠ,istpppppppppppp
엔프피남 어떻게 쟁취하셨어요 도와주세요😭👍🏻👍🏻👍🏻,인프제주후
자신이 기엽다 생각하나요?ㅋㅋ,잇팁and잇팁
당연하죠~ 안 귀여우면 잉쁘삐가 아니잖아요!! ☺️,마피 INFP
인팁보다 본인이 더 귀엽나요?,INTP매직
그럼요~ 인팁도 귀엽지만 잉프피는 우주최강으로 귀여우니까요(!!),마피 INFP
"귀여움 농도가 얼마나 짙은지 궁금합니다
깜띡한 답변 기대합니다😉",냐냐냐냐
"옛날같았으면 당당하게 가득 찼다고 말했겠지만 지금은 예전만큼은 아닌게 넘 아쉽더라구요 ㅋㅋㅋ

그래도 전 아직 귀여운 모습이 살아있답니당 >_< 귀여운거 절대 못잊엉 😘💗",마피 INFP
여전히 가득하시네요. 기엽읍니다.,냐냐냐냐
"히히 감사해용~ 안 그래도 나이를 먹다보니까 점점 본 모습이 사라지는 것 같아 너무 아쉬웠는데, 여전히 가득하다는 말 들으니까 너무 기분이 좋네여 ;)",마피 INFP
뀨💕,DoD INFJa 6w5
아이 조아~,마피 INFP
엔프피가 더 귀여운데요!!!,랑듀엔쁩
"엥쁘삐는 인정~☆
인프피도 한 수 접는게 바로 엔프피의 귀여움이라지요!!",마피 INFP
내용 펑,굴린 intp
"인프피가 평소엔 스킨쉽하는 거에 부끄러워하는 편이지만, 과감하게 손을 잡거나 기대는 행동을 한다는건 이성적인 호감을 갖고 있다고 할 수 있어요! 사랑스러운 이성친구를 두셨네용~!",마피 INFP
답변 감사합니당~!,굴린 intp
펑,굴린 intp
인프피 친구가 그 질문을 하신 건가요? 이건 저도 쉽게 꺼내지 못할 멘트라 진심이 상당히 들어갔을 거라고 생각합니다!!,마피 INFP
네 인프피 친구가 물어본거였어요! 답변 감사합니다,굴린 intp
앞으로도 따뜻한 사랑 나누시길!!,마피 INFP
,소심한 코뿔소 INFP
코뿔소님! 오늘 저녁 뭐 드셨나요?!!,마피 INFP
카ㄹ구ㄱ수우요,소심한 코뿔소 INFP
요즘 날이 서늘해져서 그런가 저도 칼국수가 땡기려고 하네욥 ㅋㅋㅋㅋ 뜨끈한 칼국수는 요즘 날씨에 최고의 음식이죠!!,마피 INFP
하루동안 안읽씹 하는건 관심이 없는거겠죵 ? 🥲,하하estpp
평소에 인프피 친구가 게으른 편이었다면 깜빡 잊었거나 귀찮아서 그랬을 수도 있어요..! 저도 친구가 보낸 톡 다음날에 가서 답장해준 적이 있었거든요 😅,마피 INFP
썸인듯 아닌듯 애매한사이에요 ㅠㅡㅠ,하하estpp
썸일 정도면 그 전에 답장해줬을 수도 있을텐데.. 일단 조금 더 관찰해보는게 좋을 것 같아요 ㅠ,마피 INFP
네엥 재촉하면 오히려 부담스러워하겠죠 ? ㅠ,하하estpp
네 아무래도 부담스러워할 것 같아요 ㅠㅠ 저도 누군가에게 자꾸만 재촉당하면 친한 사람이어도 부담스럽더라구요,마피 INFP
감사해요오,하하estpp
인프피랑 엔프피랑 다른점이 뭘까요?,라라랜드으
"텐션 하나로 설명 가능합니다 ㅎㅎ 엔프피랑 있으면 기빨릴 때가 많았어요~ 다만, 친구 앞에선 오히려 제가 말이 더 많아지더라구요 ㅋㅋㅋㅋ",마피 INFP
좋아하는사람보다 편한사람에게 더 터치를 많이하시나요? 팔짱을 아무렇지않게 낀다던지요~,윤월 ENFJ
저한텐 좋아하는 사람 = 편한 사람이라 다른 사람보다 더 가까이 행동할 때가 많았습니다! 그러다보니 자연스럽게 편하게 행동하게 되더라구요 ㅎㅎ,마피 INFP
좋아하시면 오히려 뚝딱거려서 자연스럽거나 편하게 행동하기 어렵지않나요?,윤월 ENFJ
연인같은 경우는 둘도 없는 소중한 사람으로 생각하기 땜에 선 넘지 않게 행동하는 건 있긴 합니다 ㅋㅋㅋ 이런 부분이 일반 친구에게 대하는 것과는 다르다고 할 수 있죠 ㅎㅎ,마피 INFP
isfp나 isfj남자에게 이성적감정 생기던가요?외모가 크게 나쁘지않지만 성격이 매력없게 느껴졌을때..이성적호감이 안생기지않나요 ?저같은 경우는 나랑 다른성격에 매력을 느끼는 편이거든요.특히 nt쪽,iesnfp
"하고 있는중인데 그런말들으면 마음상하긴할거같아요 ㅠ 아니면 차라리
언제까지 꼭 해달라고 말하세요.
전 나의 일은 최대한 마지막에 몰아서하는데. 남일은 안그럴거같거든요. 완벽주의적인 성향이있긴해서 오래걸릴거같긴해요.",ENFP독특한그녀
그러쿤요! 감사합니다~,iNFTJP융
"재촉하는 것 같아서 마음이 불편하고
빨리 끝내고 싶은 마음도 있어서 그런다 하고 이야기 해보세욤
호의에 충분히 고맙다는 말도 더해서요.

마음이 상해도 어쩔 수는 없는 것 같아요. 저는 인팁 친구가 있는데 팩트로 뚜드려맞으니까 단련되서(?) 저런 말 들으면 아 내가 도와준답시고 불편하게 하는가 하면서 빨리 하든 포기하든 할 것 같아요.",조이 ENFP
"연애상대가 인생의 1순위로 돼요
고맙다 미안하다 사랑해 표현 자주하고 칭찬 많이 하구요. 그리고 공감해주기!!
상대방 기분 살피면서 배려하려 노력해욥 ㅎㅎ
로맨티스트입니다 ^^ㅋㅋ",INFP미니언
