title,contents,author,comments
인프제 분과 계속 친해지고 싶어요,"['예전에 좋아했던 인프제 여자분이 있었는데', '', '최근에 인사로 인해 서로 업무가 바뀌게 된 적이 있습니다.', '', '저는 지금 하고 있는 일이 예전에 했던 업무라 평소에 제일을 하면서', '', '인프제 분이 도움을 요청하면 업무를 도와주고 있는데', '', '인프제 분은 과거에 했던 제 업무를 이번에 처음 해본 업무라 어려워하다보니 퇴근 시간 이후에도 야근을 하더라고요.', '', '그런 열심히 일하는 모습 때문에 저도 같이 야근하고 있는데', '', '일로 인해 계속 도와주다보니까 조금씩 조금씩 친해져서 같이 퇴근도 하고 있습니다.', '', '근데 예전에는 이렇게 가까이 있지 않았다가 일 때문에 가깝게 있다보니', '', '인프제 분이 어느 정도 일에 익숙해지면 다시 좀 어색해질까봐 걱정도 되더라고요.', '', '인프제 분들은 이런 상황을 어떻게 판단하시는지 궁금해서 물어봅니다.', '', '', '', '']",댕댕INFP,[]
엔프제 남자분들 예쁘단 칭찬 쉽게하는 편인가요,"['앤프제 남자후배랑 금요일에 조퇴한 김에 아쉬워서 둘이 드라이브 갓다온 적이 있는데', '(레알 둘이 사적으로 연락 아예 한번도 안함 ..직장에서 오다가다 우연히 마주치면 잠깐씩 복도나 직장 카페에서 수다떠는 정도)', '', '밤에 동네 돌아올때까지 하루종일', '뭔 평소에 하지도 않던 누나가 예뻐서 그런다 이런말을 계속 하고', '누나 넘 농협은행~~ 이러는ㄷㅔ 첨에는 그 밈이 넘 웃겨서 막 웃다가', '저 조수석에서 잠깐 졸앗어서 눈떳는데 음악소리 줄여놓고는 저 쳐다보고 잇어서 기절할뻔 햇거든요;;;', '저것때문인지 예쁘단 소리가 그때부터 장난으로 안들리고 좀 그래서ㅠ 그뒤로는 들어도 그냥 대답도안하고 무시햇는뎈ㅋㅋㅋㅋㅋㅋㅋ...', '', '장난이겟죠..??;?;?;;?;', '엔프제는 장난으로 예쁘단 말 잘 하는편인가요']",Isfjp잇푸젭,"['눈빛과 기류를 보면 알지 않나용\n일단 진심으로 이뻐하는 게 여기까지 느껴지네요', '저도 눈빛과 기류를 보고 알수있다고 생각해요!!', '칭찬에 무색하진 않는 것 같아요!', ""좋게 생각하면 저기서 이제 직진하는 건데,\n저렇게 칭찬 해놓고 은근 즐기는 엔프제들이 많아서 저 행동만 보고는 판단할 수 없어요~\n올바르게 사회성 익힌 엔프제면,\n사회생활 하면서 저런 행동이 타인으로 하여금 여지준다는 걸 스스로 깨닫고 조심하거든요.\n근데 그 과정이 없는 엔프제들 사연이 제법 많아서..ㅎ\n'칭찬 싫어하는 사람이 어딨어?' 이러면서 온갖 여성 회원한테 외모 칭찬 해대는 엔프제도 봤었고.\n\n저도 누군가와 만나면,연애로 이어질 정도의 이성적 호감은 없는데\n그냥 피조물로 예쁘다고 생각이 드는 사람들은 있지만 함부로 저런 외모 칭찬 잘 안 하려 해요\n하더라도 아예 처음부터 선이 그어져 있는 상태면 모를까. 지금 두 분 사이처럼 애매한 사이면 자제해야죠.\n칭찬을 한다 해도 노력 여하로 바뀔 수 있는 가치관, 생활 태도, 옷 스타일 이런 걸로 칭찬하는 게 바람직하고요.""]"
엔프제중에 말 잘못하시는분 계신가요??,"['제가 그런 경우인데 그것빼고는 거의다 비슷한데 말을 조리있게 잘못합니다 ㅋㅋㅋㅋ', '저같은분 계시나요??']",ufc좋아하는 enfj,"['걱정하지마세요\n엔프제라고 해서 다 조리있게 말하지는 않더라구요\n\n대신 공통점이 칭찬은 잘하더라구요', '오 맞습니다 ㅋㅋㅋㅋ\n칭찬은 많이 하는데.. 말이 좀 많다고하더군요 ㅋㅋㅋㅋ', 'ㅎㅎㅎ 네 말도 많구\n말에 칭찬이 많이 차지하더라구요😄', '', '엔프제분들이 자기주관이 뚜렷한데 솔직한 표현하는 걸 힘들어 하시는 것 같아요. 저는 엔프제가 여린사람이란 걸 잘 알아서 존중해주려고 노력하는 편이에요.', '맞아요 ㅋㅋㅋ\n상처를 좀 많이 받고 본심을 잘못말하고 그러죠 ㅎㅎ\n좋은 말씀 감사합니다', '엔프제분들 능력자 많더라구요 배려심도 많고 님이 말을 조리있게 못한다고 생각한 건 겸손한 것 아닐까요 ㅎㅎ', '넘 좋게 말해주시니 감사합니다 ㅎㅎ\n좋은 말씀만 해주시네요..^^', '님이 최고라는 자신감 가지세요 ㅎㅎ 화이팅요']"
멀어지려면 다가오는..,"['엔프제..', '그냥 동료인데', '오늘 갑자기 메신저로 ㅇ님 오늘 기분어떠싱가요 하면서 갑자기 챙겨주더라구요', '', '이런게 인프제 엔프제의 스며들기인가요 ?']",istp에서infp로,"['밀당아닌가요', '저분들 심리를 공부를 좀 해보니..밀당은 또 아닌거같더라구요..저희랑 생각자체가 너무 달랐어요..멀어지려고하면 쓱 다가오고 그래서 다가가면 또 멀어지고.. 뭔가싶네요', '애정결핍 같기도...?']"
INFJ 여자 무물 받아요!,"['오랜만에 무물 받습니다! :)', '', '궁금하신 부분 질문 주세요 ㅎㅎ']",늪인지대,"['Estp 친구로 어떻게 생각하세요?ㅋㅋㅋ동성이요', '음,, ST 성향이 강한 친구면 조금 힘들 것 같은데 그래도 배울점이 있다고 생각합니다 ㅎㅎ', '제 글 한번반 보고 와주시면 감사하겠습니다..', '인프제랑 한번 연락 끊긴지 3달 정도 되었는데 다음주에 시험이 있더라고요 응원 톡 보내도 될까요?', '알고 지내신지 오래 된 관계이신가요?', 'St남자랑 주로 무슨 이야기 하시나요?', '스며들기하는법좀 알려즈세요']"
취미로 책을 쓰고 있습니다.,"['', '책에 대한 광고 내용이 포함되어 있습니다.', '불편하신 분들은 뒤로가기를 눌러주세요 :-)', '', '안녕하세요.', '저는 인프제로 가끔씩 카페를 찾아왔습니다.', '회사를 다니며 취미로 책을 썼는데 이번에 펀딩을 시작했습니다.', '11월 15일까지만 진행됩니다.', '많은 관심 부탁드립니다 :-)', '', '링크는 아래에 있습니다.', 'https://link.tumblbug.com/kg6HfVuEoEb', '', '종교가 없어도, 한국 건축에 대해 몰라도즐길 수 있는 한국의 절, 산사 안내서', '', '한국 건축에 대해 알고 싶어서 산사를 답사하기 시작했습니다.', '산사는 우리나라에서 가장 오래 된 목조건축이며, 전국으로 퍼져 있습니다.깊이로, 너비로 한국 고건축을 공부할 수 있는 좋은 문화재 입니다.', '5년 동안 100군데가 넘는 한국의 산사를 방문했습니다. 일본과 중국의 산사도 직접 방문하여 비교하였습니다.', '종이 위에 펜으로 직접 그린 만화로 설명합니다.', '산사에 대한 개요와 100군데의 산사, 그리고 그 중에 좋았던 5곳의 산사를 자세히 소개합니다.', '', '', '어려운 건 쉽게, 쉬운 건 재미있게, 재미있는 건 깊이 있게 - 이노우에 히사시', '', '저는 종교가 없는 무신론자이며, 건축을 전공하지 않았습니다.그런 제가 불교 건축에 대해 소개하는 글을 쓰는 이유는이해하기 쉬운 산사 책이 시중에 없었기 때문입니다.', '이 분야에 대해 잘 모르기 때문에 저와 같은 사람들이원하는 부분을 파악하고 설명할 수 있다고 생각했습니다.', '모르는 것이 저의 장점이라 생각합니다.전문가는 아니지만 전국의 산사와 외국의 산사를직접 방문했고, 낱개의 정보들을 연결하여지식으로 만들고자 했습니다. 그러면서 쉬운 용어와재미있는 이야기로 소개합니다.', '이전에 집필한 <#4 . 홋카이도> 책은 여행이라는쉬운 주제였기 때문에 깊이 있게 쓰려고 노력했습니다.', ""반면, '산사'라는 주제는 어렵게 느끼는 사람이 많기 때문에쉽고 재미있게 표현하려 했습니다."", ""독자가 쉽게 접근할 수 있도록 '만화'라는 형식을 빌렸습니다.또한 , 산사라는 공간은 한 장면으로 표현되지 않습니다."", ""미로와 같이 복잡하고 , 동선에 따라 다양한 장면을 가지기 때문에'시간'을 표현해야 합니다."", '서사를 담을 수 있는 만화로 공간을 설명하려 했습니다.', '', '']",내로라,"['와 멋있어요…! 직접 그리신건가요? 감탄하고갑니다🤭', '감사합니다 ! 네 혼자 그리고 글 쓰고 사진 찍으며 다녔습니다 ! ㅎㅎ', '우와 능력자 ..', '감사합니다 :-)', '멋져요👍👍', 'ㅎㅎ 감사합니다 !!!', '대박', 'ㅎㅎㅎㅎ감사합니다 !!']"
infj 남자 자꾸 딴지거는거 왜그러나여..?,"['인프제 이성친구가 저한테 장난을 엄청 치는데요', '저를 놀리기를 좋아하는 거 같아요', '', '근데 요즘은 장난도 장난이지만', '저의 행동이나 말에 딴지(?)를 걸기시작했어요.', '', '제 행동마다 왜그렇게하냐고? 말하는것 과', '제가 하는 이야기에 아니라고 반박한다거나', '약간 무시성 발언도 있고… (이건 과대해석일수있음)', 'ex) 시험봤는데 꼴등한거 굳이 말해서 놀림', '', '하지만 엣팁은 참지않긔에', '정색하고 나한테 왜저러냐고 맞받아치긴했는데', '', '왜저러는지 모르겠네요 정말….', '슬슬 열받아요']",eessttpp,"['글쓴이님 좋아하는(편하게 생각하는) 거예요ㅎ\n이성적 호감이라는 게 아닌(알 수 없음) 인간적 호감이요~\n\nt형들이 본인 바운더리의 사람에게 친절하고 좀 더 상냥히 챙겨주는 것처럼,\nf형들은 친해진 상대방에게 잔소리하고 얄궂은 장난(이건 인프제, 엔프제 기준)을 칩니다.', '헐 완전 반대네요.', ""엣팁 기준에서\n'나는 평소에 말이 조금 강한 편이니까, 이 친구에게는 부드럽게 해야지~'\n이런 상태라고 보시면 됩니다🙂 물론 엣팁은 언제나 강하지만요."", '와.. 정말 신기하네요\n전 좋을수록 진짜 부드럽게하려고 욕도 안쓰고 드러는데\n인프제는 왜 저럴까요…?ㅋㅋㅋ', '오 맞아요 인프제가 친절하(기만 하)면 별로 안친한거고...\n저런 장난 치면... 친해진 거예요...!', '친한거같긴 합니다만 ㅠㅠ', '간택을 축하합니다…?ㅋㅋㅋ', '맞아요 인프제가 험한 장난친다? 진짜 편하게 생각하고 좋아하는거...ㅎㅎ', '좋아하는데 험한 장난이여..? 신기하네요.', '하...에프랑은 안되겟군..']"
일 할때 estj 되는 인프제,"['일 할때 estj 되는 인프제 분 있으신가요', '', '']",e엔팁,"['원래 XNFJ들이 NF가 J이기 어려워서 자꾸 ST와 왔따갔따한대요 저도 회사에서는 ESTJ처럼 하는게 효율적이라 생각되어서 자꾸 그런면모가 생기는데... 아무래도 상황에 따라서, 조금 유동적으로 계획하고 잘하려다보니까 그렇게 되는것같아요~!', 'https://blog.naver.com/t_ara_time/222767716827']"
ㅍ,['감사해용'],INFP 일개미,"['그 인프제 외모가 맘에 드신거에요?', '솔직히 외모가 마음에 들었느냐고 하면 잘 모르겠어요 ㅠㅠ 그냥 같이 있는 동안 웃기고 재미있어서 좋아지게 됐어요 ㅠ 처음 보는데 엄청 편했고 어색하지도 않고 말도 나름 잘 통하는 것 같았구여 그래서 아! 나 이 사람이랑 좀 더 좋은 관계로 발전하고 싶다 생각 했어용', '그렇다면 애매하네요 지금은 그와 같은 모습이 안보이는데 계속 하시고 싶으신거죠? 글쓰신거만 볼때는 인프제는 마음이 없는거 같아요 좋아하면 저렇게까지 단답하지는 않아요.', '그렇군여 ㅠㅠ 괜히 더 끌다가 서로 힘들바에는 그냥 솔직한 맘을 듣고 이 관계에 대해서 확실히 하고 싶네요 ㅠㅠ', '얘기 안해줄거 같아요 전 아예 밀어 보셨으면 하는데요 당겨지기만 하신거 같아서 톡도 단답 하시고 연락 먼저 하시지 마시고요 마음이 조금이라도 있다면 이러면 오히려 관심생겨서 어떻게 해서든 연락이 올거 같아요 제 말만 정답이 아니니까 다른분 의견도 듣고 해보시면 좋을거 같아요 잘못되면 아예 영영 연락이 끊기는거니까요 미실때 약속도 미루거나 취소 하셨으면 좋겠어요 지금은 만나는게 더 독일거 같아요', '넹 ㅠㅠ 안 그래도 계속 연락만 기다리는게 힘들기도 해서 조금 밀어보려고요!! 조언 감사해요 ㅎㅎ']"
Enfj분들은 내향적이거나 겉도는사람 신경쓰이나요?,"['제 동창이 엔프제인데', '학교다닐때부터 지금까지 죽 혼자 겉돌거나', '지나치게 소극적인애들한테 다가가서', '갑자기 백허그를 한다거나 조용히 뭐해?~이러면서', '다정하게 말겁니다.', '다소 조용했던 저도 엔프제의 이런행동에', '연을 쌓은거구요.', '근데 이런면이 너무 지나친지 다소 조용하면서', '염세적?이거나 예민한애들한테는 이기적이라며 핀잔을 듣습니다.이 외에는 누구랑 어울리기를 좋아하고 외로움을', '타는 성향이 있습니다.', '']",퐁당멜로우,"['소외되는(?) 사람 없이 다함께 어울리는 걸 좋아하는 유형이긴 하죠. 소외되는 게 아니라 자발적인 사람도 있다는 사실을 이해할 필요가 있을 것 같아요.', '네 자동으로 눈에 밟히고 관찰하게 돼요\n아무도 말 안거는고 같음 제가 먼저 걸어요', '네 엄청 신경쓰는 편.. 지금은 그정도는 아닌데 학창시절에는 혼자 급식 먹는 친구 있으면 일부러 옆에 앉아서 먹는다거나.. 계속 그러지 못하면 일부러 친구가 혼자 먹는 모습 제가 안 보도록 피했던 것 같아요', 'ㅠㅠㅠㅠㅠ 넘 따숩다.....', '저도 조용하게 지넀으면서 혼자있거나 겉도는 친구있으면 제가 말걸고 같이 다니고 그랬어요ㅋㅋㅋ\nmbti가 유명하지 않을 적엔 그냥 내가 좀 이타적이구나 생각했었었는데 ㅋㅋㅋㅋ', '네', '따뜻한 엔푸제\n전 생각만 하고 소심해서 시도조차 못하는뎈ㅋㅋㅋㅋ 역시 엔프제ㅠㅠㅠㅠ 제 워너비에오', '엔프제와 친구되는 법 제1단계\n: 혼자서 쭈구려 있는다.', 'ㅇㄱㄹㅇ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']"
