title,contents,author,comments
사랑한다는건 어떤 걸까요?,"['연애를 너무 짧게 3개월 정도만 해본게 다여서', '', '사랑한다는 감정이 어떤건지 잘 모르겠어요', '', '짝사랑은 해본 적 있는데, 두근거리고 자꾸 생각나고 곁에 있고 싶고 .. 그런 마음은 든 적이 있었거든요', '존경심 같은거였는지도 모르겠어요 내가 가지고 싶었는데 가지지 못한 것을 가지고 있는 사람에 대한 ..?', '', '저는 이기적이여서 사랑하면서 받으려고 많이 하는 것 같아요. 주기도 하지만 주는 것도 내 만족이었던게 아닐까 .. 사랑한다는게 어떤건지 궁금하네요.', '나이에 비해 그런 감정에 더딘 것 같아요.']",Infp달이,"['사랑하다가 생각하다의 옛말이라는데요.\n특정 대상에 대해 자꾸 좋게 생각하는 게 포괄적 범위의 사랑 아닐까 싶습니다.', '지나가다 감동받고 갑니다...', '222', '오 맞네요 한번도 사랑받아본적이 없는듯 ㅎ', '맞는말같아요!!', '소유와 순종을 동시에 강렬하게 느끼는 것', '와. 이말에 공감해요', '저도 공감해요 멋지네요', '귀찮음을 이기는게 사랑이라네요', '자존심을 느끼게 하는 게 구분점인듯', '나보다 그 사람을 먼저 생각하게 될때 사랑인걸 느껴요!!! 그리고 그 사람의 단점까지도 허용이 될 때 !', '새럼마다 다를거같아요\n여러 종류가 잇겟지만\n대표적으론 클랜을 결성하고 지키련는 마음으로 여기는..']"
인프피 소개팅남 심리 좀 알려주세요! 여자분도좋아요,"['', '소개받고 첫 만남 이후에 매일매일 선톡이 왔어요.', '', '성격, 가치관 등이 맘에 들고 더 알아가고 싶고 관심있다구요.', '', '제 개인사정 땜에 그 다음 약속까지 텀이 길어서 못보는거였는데 중간에 제가 시간 된다고하니 회식 대신 저를 만나러오는 노력까지 보여줬어요.', '', '그렇게 만나고 나서 그 다음날 아예 선톡이 없더니 어제밤에 자기랑은 인연이 아닌 것 같다고 좋은 분 만나라는 톡을 마지막으로 받았어요.', '', '저도 이유는 묻지않고 만나서 반가웠다고 좋은 분 만나시라고 보냈고 그분은 제 톡을 읽은 후 저를 차단까지 했더라구요;; 숨김처리 후 삭제하면 될텐데 이해가 안갔지만 저도 기분 나빠 똑같이 차단 후 아예 삭제해버렸습니다.', '', '이분은 결혼적령기로 화목한 가정에서 가족들끼리 서로 왕래하며 사이좋게 지내길 원한다고 첫만남 때부터 얘기했어요. 저희집은 사실 이혼가정이라..이부분은 두번째만남 대화 중 자연스럽게 털어놓게 됐는데 그 이후로 저런 태도를 보이네요. 뭔가 자기만의 꿈꾸던 이상형 범주에서 이 부분이 벗어나니까 맘 커지기 전에 정리한 느낌?', '', '그게 아니면 첫만남이후 사실 늘 먼저 선톡이 왔고 제가 먼저 단 한 번도 선톡 안 한 게 이분한테는 상처였을까요? 대신 톡 답은 되게 빨리했어요 기다렸다는듯이.', '', '인프피분들 이 분 심리가 뭘까요? 제 생각처럼 집안사정 듣고 미래까진 아니다 싶어서 정리 후 차단까지 한걸까요? 자유롭게 생각 말씀해주세요']",EISTPPP,"['뭔가 어긋 포인트가 있었을듯\n인프피 차단 잘안하는데 ㅠㅠ', '정말 정중하게 얘기했는데 차단 당하니까 기분이..별로네요', '저도 차단 처음 당했을 때 충격 그 잡채였는데 몇번 겪어보니 그러려니 되더라구요 그만큼 내가 싫엇나? ㅋ이러고 어서 기분푸시고 보내버려요! 더 좋은분 만나실거에여!', '선톡을 한번도 안하신 건가요? 집안 사정 때문인진 모르겠고 그분은 잘해보고 싶었는데 상대방은 같은 마음이 아닌 것 같아서 정리한 것 같아요', '두번째 만남 때 저도 더 좋아진다고 호감표현도 했어요..', '결혼적령기에 호감표현 열심히 했는데 돌아오는게 적었다거나 = 지레짐작했다가 아니여서, 좋게 끝은 냈지만 프사로 보기엔 찝찝해서 차단.', '그럼 숨김처리하면 될텐데 굳이 차단까지 가는 이유가 뭘까요;', '제 경우둘 중 하나 일 것 같아요\n1. 약간의 미련이 있어서 차단해야 잊을 수 있을 것 같아서\n2. 다신 보지 않게될 사이라는 확신이 들어서', '저 같은 경우는 2번이요! 2번 만나셔서 미련까지 생길 감정은 없을 것 같긴한데 아마 잘 안 맞을 거라고 먼저 판단을 하시고 정리 후 차단하신 것 같아요 상대방이 싫어서 라기보다는 훗날 다음 사람을 만나게 되면 정리를 어짜피 해야하니까요. 인프피 특성상 남사친 여사친 자체를 안 만드는데 더더욱 소개로 받고 끝난 사이라면 더 칼같이 정리하는..차단에 맘 아파하지마세용 나쁜감정은 없습니다!!']"
인프피남분들 당일치기 여행갈때 주유비요,"['상대 여자가 계산을 어떻게 해주면 좋으시겠나요?', '저는 내주고싶은데', '상대가 자긴 이런거 싫다고 함', '기프티콘 주고 그러면 좋을까요?', '인프피분들 말고 다른 분들 의견도', '궁금합니다']",einnffjj,"['차량이 인프피남자분의 차량이라면\n주유비는 인프피 남자가 누군가에게 받는다는 걸\n전혀 생각하지 않고 있을거에요🤗\n휴게소에서 음료수 하나만 사줘도 엄청 고마워할것 같아요🤗', '댓글 감사합니다ㅠ\n사실 주차비도 너무 미안했거든요\n그래서 제가 카드 내밀고 상대는 안된다 그랬는데\n친구한테 아니 그 상황에 니 카드 내미는거 없어보인다고 한 소리 들었어요.....', '두분 모습이 정말 훈훈합니다🤗🤗\n인프피는 이럴때 이렇게 하는 남자구나 하고 받아주시고,\n나중에 또 데이트 하실때 아이스크림 하나 사주시면\n인프피 남자가 정말 좋아할거에요🤗', '고맙다는 마음만 표현해주신다면 좋아하실거같아요!\n커피를 산다던지… 고생했다는 말 등등', '저는 이럴 때 제가 좋아하는 커피빈 카페금액권을 기프티콘으로 받았는데 너무 계산적이지도 않고 절 생각해주는 것 같아서 좋더라구요! 나중에 저도 그런 식으로 하려고 다짐했습니다☺️']"
엔프피남자,"['보통 엔프피 남자들', '이별하고 금방 까먹나요?', '아님 좀 걸리나요??', '', '자꾸 인스타 스토리에 저를 자극하는 걸 올려서요..^^']",나비이,"['상황마다 다른데 글의 내용을 모르지만 지금 보여지는걸로 봐서는 미련인것도 같아요', '그쵸...?', '저였다면 미련이 되게 남긴 하고 다시 돌아가긴 힘들것같고 그래서 자신의 마음을 알아주기 위하는 마음에서 직접보고 나에게 다가와달라는 메세지 같네요 그 심기를 건드린다는 내용이 비판적이지 않다면요ㅎㅎ', '제가 다가오길 기다리는거 같죠 아무래도?? 관시끌려고요 ㅋㅋㅋ', '네네 엄청난 미련이겠네요ㅜㅜ', '그래도 보라는식으로 올리는게 기분이 썩 좋진않네요ㅠ', '이해해요.. 그게 좋은 마음은 아닐수 있어요 뭐가 됐던 헤어졌다면 좋게 헤어진경우는 매우 드물기 때문에... 근데 생각을 좀 바꿔보시면 안될까요? 그만큼 나비이 님께 진심이였고 정말 사랑했던 존재였기에 추억과 정이 많이 남아있어서 후유증처럼 마음은 아프다고 생각해주시는것도..엔프피가 단순해서 또 자기생활로 돌아가서 바쁘고 다른 좋은 사람이 생기면 언제그랬냐는듯 안할꺼예요..ㅜㅜ', '네 ㅠㅠ 성의있는 댓글 감사해요 ㅎㅎㅎ 그러다 말겠죠...아님 연락을 차라리 하지ㅠㅠ', '받아줄까? 고민오지게 했다가 안받아주겠거니 해서 그럴수도있어요ㅜㅜ']"
ESTP 남편 사랑을 듬뿍 받는 결혼한 3년차 INFP입니다 무물보!,"['사귀면서 3번정도 제대로 헤어졌는데 뒤끝없는 ESTP가 1주 한달 텀안에 전화와서 계속 잡더라구요', '결국 결혼에 골하고 현재까지 잘지내고 있습니다^^']",세연양,"['잔소리때문에 헤어졌는데 엣팁, 어떤지요', '저는 자유분방한데 상대는 엄청 잔소리 심하고 엄한 집안에서 자라서 그런지 저한테도 엄격하더라구요~ 근데 2년정도 지나니까 본인이 저보다 더 큰 실수 많이 하고 덤벙되서 이제는 잔소리 잘 안하는거 같아요~~ㅋㅋ', '집안일 잘 도와주나요? 스스로 하기도 하나요? 잔소리 얼마나 해요?\n출근후 연락은 얼마나 하세요?', '집안일은 요리와 설거지는 도와주는 편이에요~ 청소는 도와주지 않지만 반려동물 케어를 전담해주고 거의 더럽히지를 않아요. 세탁물도 잘 안 나오는거 같아요 ㅋㅋㅋ 연락은 저도 거의 용건만 간단히 주의긴 해요 서로 하루에 전화 2-3통 정도는 하는거 같아요 아침 점심 저녁 카톡은 서로 심심하거나 시간날 때 중간 중간 할 때도 있고 안할 때도 있어요.', '저도 estp만나는 istp인데 infp랑 엣팁 잘 맞으세요?? 엣팁 직설적인 말에 상처 잘 안받으시나요 ?', '처음에는 상처 정말 많이 받았어요. 예의 없어 보이기도 했구요. 근데 저는 성질 내고 이야기 할 에너지도 없고 일일히 애기하기도 귀찮아서 예의 없게 굴거나 말 너무 심하게 함부로 하거나 상식 밖의 행동을 해버리면 그냥 그 자리 피하고 집에 가버리거나 하루 이틀 잠수 타버렸어요 그럼 찾아오거나 연락오더라구요. 그때 이야기했어요 너의 이런 이런 행동을 어떡게 생각하냐고 그러면 미안하다고 사과하구요. 저도 감정적인 사람이라 그 당시에 애기하면 싸움이 크게 날거같아서 오히려 그렇게 행동했던게 도움이 되었던거 같아요.. (물론 진짜 막장까지 싸운 적도 두어번 있어요) 지금은 눈치가 워낙 빠른 ESTP라 저의 상상력을 알고 본인이 자극하지 않으려 스스로 조심해서 이야기하고 필터 거쳐서 행동하는거 느껴집니다 ㅎㅎ 저도 남편이 스트레스 받거나 예민할때는 부정적인 생각이 끝까지 안가게 하려고 감정 자제하구요~!', '맞아요 ㅠㅠ 진짜 예의없고 거칠고.. 혹시 여자문제로 고생하신적은 없으세요??', '처음에 한 6개월 정도 되었을때 오픈 채팅하다가 걸렸어요 죽일까 하다가 제가 상대인 척 하고 놀아줬어요 그리고 스샷 찍어서 보내고 몇번 놀리고 한번씩 스샷보내서 개 쪽 줬습니다. 그 뒤로는 안 하더라구요', '헐 오픈채팅..ㅋㅋ 죄송한데 나이대가 어떻게 되세요? 제 남친이랑 저는 30대 중반인데 같이 살고있기는한데 아직 결혼 미정이라서 궁금하네요', '저희도 동거 2년하고 결혼했어요. 남편은 40 저는 39살입니다~', '결혼 전후 남편이 달라진게 있다면요?', '위트있고 깔끔하고 인간관계 느낌이 가볍다(?) 생각 들었는데 지금은 가족이라는 바운더리 안에 제가 들어가서 굉장히 말도 조심히하고 소중하게 아껴주는 예전에 10번 화낼거 12번 화냈다면 지금은 10번중에 2번만 화내는 느낌이에요~', '엣팁은 재회 잘 안할거 같은데 다시 연락오셨을때 뭐라고 하시던가요?ㅠ 후회나 미련이 없는 유형이라고 하던데 게시글보고 희망을 가져 봅니다!!', '처음에는 뜬금없는 걸 물어 보더라구요 그리고 마지막에는 저의 도움이 필요했을 때 전화가 왔어요. 한마디로 그냥 전화하는 스타일은 아니고 핑계가 필요한 부류라는 생각이 들었어요', '헐 저희랑 똑같네요 ㅋㅋ 저희도 재회 몇번했는데 남친이 뜬금없는걸로 핑계대면서 자연스러운 척(?)연락하더라구요 ㅋㅋㅋㅋ', 'TP시면 두분 취향이 비슷하신가요? 저희는 취향, 먹는 음식, 노는 코드 끝장나게 맞는 편이라서 남편이 항상 하는 말이 저랑 놀면 재밋다고해요 물론 저도 재밌구요 ㅋㅋ 다만 저는 에너지가 딸려서 길어야 2차안에 끝나고 남편은 4차 5차까지 가는 스탈이기는 한데... 제가 잘 달래서 집에 델고와서 맥주 마시면서 남편이 좋아하는 재밋는거 틀어줍니다 ㅋㅋ 전 옆에 누워서 핸폰하면서 쉬구요 ㅋㅋㅋ 확실히 비슷한 코드가 많으면 잘 될 확률이 높을거 같아요^^', '헐 저희도 그래요 ㅋㅋ 똑같애요 저희랑 ㅋㅋㅋㅋㅋㅋㅋㅋ 저희도 1년반 정도 돼가는데 세연님 부부처럼 결혼 골 했으면 좋겠네요,,, ㅠㅠ', '항상약속있나요??방목을좋아하는스타일이라고하는데 어때요?', '항상 바쁜 거 같긴 합니다 약속이 아니더라도 굉장히 부지런해서 남는 시간에는 꼭 무언가를 하려고 해요 그리고 제가 시간이 된다면 꼭 저와 놀고 싶어해요 제타입이 더 방목과 자유를 좋아하기 때문에 비교하기가 힘든 거 같아요 물론 그쪽도 구속을 싫어하는 거 같긴 하지만 제가 구속하는 스타일이 아니라 방목하는 스타일이에요ㅋㅋ 저도 구속 당하는 거 극혐이구요', 'ㅋㅋ 그럼 됐네요 저도방목형인데 다들풀어주면 고삐푸고놀아서 근데 시간날때는 여친과보내고싶어하면 방목해도 걱정없겠는', '저랑 반대네요.\n\n제가 ENFP 여자친구가 ESTP인데..\n\n너무 힘드네요ㅜㅜ\n\nESTP는 혼자 판단하고 결정내립니다.\n제가 사랑하는 사람끼리 대화하거나 풀어볼 생각을 안했냐고 물으니, 현실적으로 봤을 때 풀릴 문제가 아니라서 자기가 결정 했다면서 일주일동안 생각할 시간을 갖자 하는데..\n진짜 이 얘기듣고 이럴 거면 연애 왜 하냐고 했네요ㅠㅠ\n무슨 통보하는 것도 아니고\n연인사이랑 친구사이랑 선이 구별이 없네요ㅋㅋ', '자기 주관이 뚜렷한 유형이라 그럴거에요.. 자유를 가지고 본인 하고 싶은대로 해야 직성이 풀린다고 해야되나... 안 그러면 스트레스 받아하는거 같아요ㅜㅜ']"
전 마음 정리다했는데…,"['일주일 지나고 연락왔어요', '아무렇지않은듯.. (이게 가능한건가요? 상식적으로???)', '3잉잠수타고 연락와서 생각할 시간이 필요하다하고', '일주일뒤 아무렇지않게 연락이요..', '제가 이제 돌아서고 싶네요…', '하….', '']",istpppppppppppp,"['어떻게 연락왔는데요?', '이모티콘보내면서 갑자기 일상처럼 보냈어요….', '혼자 정리하면서 마음의 변화가 있었나보네요\n솔직하게 얘기해보세요 그동안 연락 없더니 갑자기 이모티콘보내고 아무렇지 않게 행동하는 거 난 불편하다구요', '무섭네요..\n잠수타다가 아무일 없던듯 연락한다면 있던 정도 떨어질거같아요', '', '회피형맞죠?', '회피형이라 잠수를 한거라면', '... 더보기', '가장 잔인한게 잠수이별인거 같아요..', '회피형이에요 이기적이라 그래요 또 그럽니다 맘정리 하세여.. 피말라 죽어요', '전 마음 정리햇는데 오늘 또 톡 보내네요….', '헐 진짜 열 처받아요…….게시글 보니깐 엥뿌들은 이게 회피가 아니라고 말하시는데 전 회피같고 이런 사람이랑 더 못만날것 같아요….전 이제 맘 정리 다햇어요 여덕님은요???']"
왕 저듀 사주보고싶어용,['이렇게 찍으면 되는건가요?! 궁금해요..'],돌고돌아서엔프피,['어디서 봐주나요??']
제 사주도 한번 봐주실수있나요?,[],ENTP11ENFP,"['이런건 어디서 보는거에욘!', '점신이란어플입니다']"
제가 ISTP 남자인데 ENFP여자 소개 받을 예정입니다.,"['제 연애가 늘 IS__ , ES__ 위주로 만났는데', '', 'ENFP는 첨이에요...주위에 ENFP 여자들은 좀 있는데', '', '다 여동생같고 잼민이 같아서 이성으로 안보이더라구요', '', '엔프피 텐션에 호응해줄 에너지도 없고ㅎ', '', '엔프피 여성분들 중에 잇팁 남자 만나본적 있으신분', '', '경험좀 알려주시면 참고될거같아요!', '', '', '']",ISTP loopy,"['엥프피 졸귀', '님이 상처받은게 아니라 잇팁이 상처받았다 말한다구요?ㅋㅋ 뭔가 제가 알고 있는 역할이랑 바뀐고 같은데요...', 'nf는 안맞는다고하던데욥..😔기빨리실듯..zzzz', '잇티제도 엔프피랑 안맞는데 잇팁은 더 안맞을 듯요', '잇팁 전남친 5년 만났는데 ㅋㅋㅋ 제가 매번 사랑을 달라고 조르는 기분이라 지쳐서 헤어졌어요\n안 맞는 것 같아요. 소개받는 분이 어떤 스타일인지는 모르겠지만 엔프피한테 잇팁은 충분히 매력 있는 성격이라고 생각하긴 해요', '전형적인 엔프피여자 같아요\n인스타 활발하고 사람 만나는거 좋아하고\n첨보는 사람이랑 쉽게 친해지고\n\n저는 완전 반대라\n일주일에 1번 데이트하는 것도 부담쓰...', '엔프피랑 친해지면 텐션 뚝 떨어지거든요..? 만날 때 그런 점에서 힘드시지는 않을거에요\n텐션 맞춰서 끌어올릴 필요도 없고 옆에서 그냥 박수만 쳐주시면 돼요\n어차피 엔프피는 자기보다 조용하고 듬직하고 잔잔한 사람을 좋아하거든요.\n\n엔프피 정신연령이 7세 아니면 90세라고 할정도로 사람들 만나고 텐션 올려야할때는 생각없어 보이는데,\n대부분 신념도 깊고 생각도 많은 편이라 어른스러운 친구들 많아요..\n오히려 저는 ST 친구들 만나면 진짜 단순하다 싶어서 이런 점에서 종종 대화가 안 통해요.\n깊이 친해지면 NS차이때문에 대화가 안통하긴 해도 애같지는 않을거에요.\n\n주 1회 데이트도 힘드시면 만나기 힘들고요 ㅠ 전남친은 주 2회로 평일 저녁, 주말 종일 데이트했는데\n저한테는 그것도 부족했고.. 왜 주변 살면서 데이트를 시간 정해서 해야하나 싶었어요 ㅋㅋㅋㅋㅋ\n잠깐이라도 보고 싶을 때 보자고 하고 싶은데 자기 시간 방해받는거 싫어하니까 그냥 안 건들이고 친구들이랑 놀면서\n이 사람이 날 사랑하는게 맞는건가하는 생각을 내내 했어요\n주 2회 나한테 시간 내주는 것 자체가 그 사람한테는 사랑이었는데 저랑 안 맞는거죠 뭐\n잘 안 맞아요 잇팁이랑 엔프피 ㅋㅋㅋㅋㅋㅋㅋ', '박수쳐줄순 있는데 자주 안만난다고 서운해하는건 감당안될거같네요...\n연락도 연애하면서 많이 고쳐서 여친한테 카톡오면 칼답하고 늦게 답장해야하는 상황엔 미리 상황 말하고\n돌아온다고 하긴하는데...매일보다시피하는 연애는 생각만해도 피곤하네요', '저는 전남친 만나면서 연락패턴은 ㅋㅋㅋ 어디가면 간다고만 말하고, 아침에 일어나서랑 자기전에만 연락하면 서로 신경 안쓸정도로 엄청 프리했어요. 출근해서도 퇴근 전까지 연락 안할때 많아서 하루에 3번정도 카톡 하고 말았는데.. 엔프피 할 일 많아서 자기 집중하고 있을 때는 잠수에요. 연락 안본다고 뭐라 할 일이 더 적을 듯.\n\n그리고 바빠서 남자친구 매일 못봐요~~ 이제 소개받은 마당에 사귈지 안사귈지도 모르지만 사귀게 되면 잘 조정해서 만나세요. 사랑에 빠진 엔프피는 웬만한걸 다 남자친구한테 맞춘답니다. 대신 말만 예쁘게하시면 돼요. 그게 제일 어려우시겠지만 ㅎㅎ..\n\n""매일 보는건 너무 피곤해서 안되겠어""X >> ""나도 매일 너 보고 싶은데 내가 체력적으로 피곤해서 집중을 잘 못하는 것 같으니까 평일엔 쉬고 주말동안 재밌고 알찬 시간 보내는게 더 좋다고 생각해. 널 사랑해서 만나는 시간동안 온전히 정신을 쏟고싶어. 00이가 하고싶은게 많고 친구들도 많으니까 너의 삶을 챙길 시간을 보장해주고 싶어"" 등등\n진짜 말만 예쁘게하면 하자는거 다 합니다. 자주 서운해하긴 해요. 뭘 바라고 서운해하는건 아니고 그냥 감정기복임. 감당 안되면 안 만나시는게 서로에게 이로운..^^ 아직 소개도 안 받으셨는데 직접 만나보고 생각하세요.', '엄청 장문으로 써주셔서 저도 장문으로 안 쓰면 서운해 하실 거 같은데\n저희는 인터넷 인연이니까 제 스타일대로 할게요!\n\n댓글 감사합니다 :)', '답글 안 달아도 안 서운한데요,, 머쓱하군뇨\n전 제가 할말만 하면 되는 사람이랔ㅋㅋㅋㅋㅋㅋㅋㅋ\n그치만 답글 감사해요. 좋은 분이고 잘 맞는 분이시길 응원합니다~', '와 진짜 피핑님 말하는거 넘나 공감돼요ㅠㅠㅠㅠㅋㅋㅋ', '엥뿌 생각 다 똑같당!!! 히히 감사해요~!', '저는 연락 빼고는 다 공감! 저는 연락 엄청 자주하고 중요시하는 것 같아요 ..ㅋㅋ 직무도 폰 하면서 해도 되는 거라 하루종일 폰 붙들고 사는듕ㅋㅋㅋ', '전남친한테 맞춘거에요 저도 ㅋㅋㅋ ㅠ 처음에 연락문제로 좀 싸웠는데 저도 안 하고 사니까 편하더라구요. 어차피 전남친은 맨날 집에 있으니까 걱정할 것도 없고(?) 저는 친구들 만날때 연락 부담도 없고 편하길래 그 뒤로도 비슷하게 살아요 ㅋㅋㅋㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋ저도 현재 인팁남이랑 썸타는데 ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋㅋ\n진짜 잘 안나가요.. 자기계발/친구들 가끔만나 고기 먹는거 아니면 뭐 나가질 않으니 걱정 없고 ㅋㅋㅋㅋㅋㅋ', '마쟈요 ㅋㅋㅋ 저도 남친 인프피인데 집에 놔두고 저는 맨날 나가있음 ㅋㅋㅋㅋㅋ 내향형 남친 좋아요 히히', '근데 데이트할때도 나가는거 힘들어하지 않나여?ㅋㅋㅋ 전 공방 같은데도 가고 체험 경험 하는 데이트 하고싶은데... 말만해도 피곤해하던뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '실내 데이트가 짱이에요...\n영화도보고 배달음식도 먹고 에어컨도 짱짱하고 스킨십도 맘대로 할수있고!', '마자요 ㅋㅋㅋㅋ 구남친은 그랬어요. 거의 모텔이나 집데이트 한듯..? 근데 현남친은 집데이트 좋아하는데 나가자하면 그것도 잘 나가고 재밌어해요! 사바사같아요😂 저는 실내 실외 다 좋은데 하나만 하면 질려하는 편이라 이번주 집에서 놀면 다음주 나가야하는 성격', '정말 항상 실내에서 스킨십 배달음식 에어컨 넷플만 즐기다 옴요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '잇팁인데 엔프피 진짜 안 맞…큼', '감당되요? 벌써부터 기빨림 ㅋㅋ', '근데 왜 주1 보는거 힘들어용?궁금스 2주에한번봐요?', '전여친이랑은 장기연애 했는데\n2주 1회 금토일 쭉 같이 있었어요\n그게 좋더라구요 한 주말은 제 취미 생활하고\n그 다음 주말은 통째로 여친이랑 같이 있으면\n평일에는 퇴근하면 녹초라 사람 만날 힘이 없어요', '몇년 전 짧게 사귀었던 남자친구가 있는데 그 때는 mbti가 유행하지 않아서 몰랐지만\n지금 추측해보면 ISTP가 아니었을까 싶어요\n\n다정한 남자가 좋지만.. 그 땐 나쁜남자 스타일에 끌렸어요 (진짜로 나쁜남자 말고 쿨한 느낌이 드는 사람)\nT계열 사람들이 그런 분위기를 가지고 있다고 생각해요\n뭔가 물어봐도 자기 얘기를 잘 안 해주는데 가끔은 챙겨주는게\n비밀스러워보여서 호기심을 자극했고 츤데레 고양이같아서 좋았어요 그리고 가끔 박력이 있어서 설렜어요\n\n그 애는 절 보고 하루 종일 쫑알쫑알 얘기를 하는 게 꼭 참새같다고 했어요\n귀엽다는건지 시끄럽다는건지.. ㅋㅋ\n엔프피는 밖도 좋아하지만 사실 P성향이 강해 집순이라 집도 좋아해요.\n그 애가 자주 만나는 건 피곤해해서 2주에 한 번씩 제가 보러갔어요.\n\n그 애한테 아쉬웠던 점은 무슨 말을 해도 반응이 시큰둥하거나 단답을 자주 쓰고 짜증이라는 단어를 종종 썼고\n답장도 느린 편에 2시간 정도 거리였는데 늘 저만 찾아갔던 게 아쉬웠던 것 같아요.\n그러면서 놀이공원은 가자고 하고... 그냥 전 악세사리용 여친이었던 걸지도 몰라요 ㅋㅋ\n\n너무 비밀스럽고, 연인인데 모텔에 있을 때 빼곤 늘 떨어져서 걷고, 여러모로 힘들어서 연애를 그만뒀는데\n이런 생각이 들지 않도록 잇팁이 잘해줬다면 그래도 설레는 연애 아니었을까 싶네요 (잇팁은 어케 생각했는진 모르겠네요. 그냥 호기심이었던 것 같아요)', '반대라 끌리긴 엄청 끌리고 설레고 너무 재밌는데 시간이 흐르고 서로가 편해졌을 때 서운함을 표현하고 갈등상황에서는 지옥이라 생각하심됩니당 끌림을 참고 결 비슷한 사람 만나야 연애할때도 좋은 듯 !', '잇팁 친구로는 그냥 쿨하게 잘 지낼수 있는데 연인으로서는 맞지 않는것 같아요 ㅠ_ㅠ']"
ESTP랑 사귀고 있는데요..,"['ENFP (남자)', 'ESTP (여자)', '', '커플인데요.', '', 'ESTP 여친이 자꾸 저(ENFP)와 대화를 하면 편안하지 않고 답답하답니다.', '', '예를들면 ESTP(여친)가 저(ENFP)에게 어떤 주제를 말하거나 질문을 했을때, 본인이 생각했던 예상 답변 바운더리가 아닌 답변을 해서 당황스럽다고 하네요.', '', '예를 들면,', 'ESTP : 이거 샀는데 예쁘지??(빨간색 옷 사진을 보내면서)', 'ENFP : 와 진짜 예쁘네. 빨간 색감이 진짜 너무 예뻐 너한테 잘어울리겠어!', '', 'ESTP가 생각하는 답변 바운더리 ㅡ> ""오오 옷 얼마 줬어? 어디서 샀어? 좀 커보이는데 스몰사이즈야? 소매가 좀 짧아보이는데 어떄?""', '', '그냥 이런 거 라네요..', '', '제가 했던 답변에 대해서는 여친(ESTP)이 이어갈 말이나 할말이 없대요..', '', '받아들이는 사고 방식의 차이에서 나오는 문제들인가요?', '', '저는 그냥 진짜 사진을 보고 드는 생각은', '1. 옷의 빨간 색감이 진짜 예쁘게 보임.', '2. 여자친구한테 잘어울리겠다.', '3. 다음 데이트때 입고 왔으면 좋겠다.', '', '입니다.', '', '사실 옷이 얼만지 사이즈가 얼만지 그런 건 관심이 없어요.', '내가 사랑하는 여자친구한테 잘어울리고 예쁜 게 관심사지ㅠㅠ', '', '이런 성향적 문제 빼고는 사이가 좋아요. 진짜 잘지내고 싶은데 방법이 없을까요?', '', 'ST랑 잘지내고 싶습니다 ㅠㅠ', '', '조언 좀 해주세요']",다림,"['님의 표현방식이 잘못됬다기보다 뭔가톡을 할말없게하시는거 아닐까요?\n예:)나오늘맛집갔다왔어하고 엣팁여친이 사진을보냄\n님: 오 맛있어보인다!!마니먹구와\n\n이런상황이반복되면 할말이없을것같아요:) 저기오디야? 나랑도가자 등등 이런티키타카를 바라시는듯', '저두 일케 대답할 거 같음 ㅋㅋㅋㅋ', '2222저두', '3333 그냥 좀.. 애정이 떨어진듯느껴져요..', '44', '리액션이아니라 질문을 바라는걸까요', '예를 들어 예쁜숙소를 보여줬을때\n와 진짜 이쁘다 뷰가 장난아니다 가아니라\n여기는 얼마야? 이런곳은 어떻게 찾았어 뭐 이런..?', '질문을 원하는듯하네여', '질문해주는거좋아함\n와이거진짜 잘어울린다! 어디서샀어? 이런식으로\n본인생각 + 질문합치면될듯', '뻔하죠....\n저라면\n얼마에 샀냐 ??\n브랜드는 ??\n코디는 어떻게 하면 괜찮겠구먼 ??\n질문 2 리액션 1정도 짬뽕이면 무난하겠네🐉.😏']"
