title,contents,author,comments
인티제와 어느정도의 사이일까요?,"['서로 안지는 이제 6개월은 넘어가는거 같아요. (intj남, entp여-본인)', '인티제는 자기가 갖고있는 문제나 속마음을 잘 안 이야기한다고 들었는데', '저한테 종종 카톡으로 자신의 상황을 설명하고 생각이 많다는 이야기를 주고받을때가 있어요.', '저도 T라서 적절히 공감과 해결책(?)을 주기도 하고, 어느부분은 인간이 생각하기 어려운 것 너머의 고민일때가 있어서 해결책을 내기 어려운것들도 있고(지켜보자 정도만..)', '(사실상 미래에 대한 부분은 우리가 예비는 하되 결과는 장담할수 없는게 많아서. 더 많이 고민해봤자 괴로움만 쌓일떄가 있잖아요?)', '', '그런데 전체적으로 그사람의 능력과 그사람이 기어코 잘 해결할거 같은 믿음은 있어서', '제가 이해한 것에 대한 나눔과 그에 대한 신뢰를 보여주는 쪽으로 이야기가 끝나는데', '', '사실 고민상담이라는게 여기처럼 아무관계 없는 3자한테 더 솔직하게 털어놓을 수 있을때도 있고 하니까...', '', '저는 이성적인 호감으로 시작했는데... 이성적인 이야기는 거의 안하고 그냥 신앙이나 일적인 고민만 나누는 사이가 되어서.. 이젠 인간적인 사이로만 지내고자 마음 먹는 중이라서요 ㅋㅋ', '', '인티제남은 너무 속을 잘 몰라서... 일반 친구들과 달라서... 한번 여기다 아쉬운 마음을 담아 물어봐요.', '', '', '', '', '']",현현,"['적당히 편한 사이로 보이네요', '감사합니당', '그런 목적으로 대하는 사람1', '답변이 담백하고 명확해서 좋네요 ㅎㅎ', '거리두고 점차 하소연 받아주는 것 줄여나가고 선톡 줄이면 몇 달 뒤에 현실적인 문제 해결되고 먼저 연락 오더라고요 하지만 이후 관계 발전은 보장 못해요 그리고 내가 힘들 때 의지 안 됨\n정신건강을 위해 받아주지 않는 것부터 +', '저러다가 신뢰 쌓여서 연인관계로 발전하는 경우도 있어요']"
Xntj 분들 헤어지면 차단하지 않나요?,"['최근에 엔티제면서도 인티제 같은 사람이랑 헤어졌는데', '제가 알기로는 헤어지면 칼같은 사람이라 다 차단하는 걸로 아는데 차단을 안하고 카톡하면 답장을 하는 심리는', '뭔가요?', '']",밥뚜,"['미련요', '끔찍하네요…', '222', '진짜 좋았던 사람이면 차단하기가 좀 힘들더라구요,\n보통 차단하는 경우는 가치가 없어서 볼필요도 낭비할 필요도 없는 사람..이럴때에요!', '음….그렇군여 더 이해할수 없는 친구네여 ㅠ', '악감정이 없어서 굳이 할 이유도 없었다. 라고 하더라고요..;', '악감정이 없진 않을텐데.. 안좋은 소리를 듣고도 차단을 안하는 이유가 궁금하네요..!', '나쁘게 헤어진 케이스는 아닌가봐요. 차단까지 가는 경우는 대개 안좋게 헤어진 경우라서요', '그친구가 상황적으로 힘들다 해서 헤어지게 된건데 그 헤어짐의 이유가 여자인걸 알고 제가 그 뒤로 카톡으로 막 말했습니다 사귀면서 그동안 참았던걸 울분토하듯이여 ㅠ 나름 나쁘게 헤어진케이스 인데도 차단을 안하는게 궁금하네요', '오..그런분들도 있군요 사실 저흰 재결합 커플인데 저번 헤어짐에서는 카톡 차단, 전화 차단까지 다 당했거든요 그래서 이번 이별에서도 당연히 차단했을거라 생각했었는데 차단도 안하고 제가 보내는 말마다 다 반박을 하면서 답장을 해주는 심리가 궁금하더라구여😅', '엔티제 전남친 차단 안 하고 아주 가끔 안부도 물어보더라구요', '오 그렇군여 ! 저나 이친구는 서로 헤어지면 진짜 뒤도 안돌아보고 떠나는 스타일이라고 서로 말을 많이 나눴던 터라 이해할수가 없네요 ㅠ', 'i e 반반인 인티제 남자 입장에서 말씀드리면 헤어져도 차단은 안 합니다 차단 목록에 누가 있으면 차단했다는 의식이 드니까 차단하는 건 선호하지 않아요\n\n먼저 연락하는 게 아니라 전연인에게 연락오면 적당히 매너있게 대하는 것은 내가 사랑했던 사람에 대한 예의인거지 미련은 아니에요', '그렇군여! 앞전 연애에서는 다 차단 했다 했는데 저는 왜 차단을 안하는지 궁금했어요! 이미 저도 한번 차단을 당해봤던 사람이라 ㅠ 그리고 이친구가 누구에게 매너있게 하는 사람은 아니라서 ㅠ 불건강 엔티제라 할말은 다하는 친구였거든요 그래도 나름 예의를 지킨다니…어렵네요', '그런 사람이면 아마 미련일 거 같네요', '답변 감사합니다☺️', '오 그렇군여', '아하! 저도 사실 헤어지면 다 차단하는 성격이라 이런 부분이 맞다 생각했는데 차단도 안당하고 톡을 보낼때 마다 답변을 주니 뭐하자는거지 싶더라구요', '저는 굳이 하진 않아요. 악감정이 있으면 프로필 비공개를 위해 차단합니다.', '오….그렇군요 얜 자기 맘에 거슬리기만 해도 차단하는 앤데 이해하기가 어렵네요 🥲', 'entj인데 이별하면 이제 내 인생에서 사라질 사람이라 생각해서 무조건 다 차단해요 그게 다음에 만나는 사람에게도 예의라 생각하기도 해서요..', '엥..  저는 굳이안해요\n차단해서 내 카톡의 차단리스트에 남기는것 조차 특별대우이고 어떠한 감정이라고 생각해요.\n그리고 제 감정과 관계와는 별개로 뭐라고하는지는 궁금하거든요 어차피 그걸 보고 결론을 내리는건 제몫이니까요.', '차단 할 이유가 없어서요?', '차단안해요. 답장오면 어휴… 하고 말죠', '전 차단목록에 있는것도 싫어서 그냥 삭제해놔요', '전 칼 차단이요']"
INTJ분들 인간관계도 일처럼 하는 경향 있으신가요,"['여기서 인간관계는 친구, 가족처럼 사적인 관계를 말합니다.', '', ""이래저래 바쁜 일들에 정신없이 치여살다보면 감정을 느끼고, 표출하고, 돌아볼 여유가 없어지는 것 같아요. 그래서 친구도 가족도 감정에서 비롯된 태도로 임하는 게 아니라, 저도 모르게 합리성을 재가며 행동하게 되더라고요. 구체적으로 예를 들자면 이래요. 오랜만에 친구 블로그에 올라온 일기를 봤는데, 반가운 마음에 댓글을 다는 게 아니라, '오랜만이니까 댓글을 달아야 해.'라는 이성적인 판단에 댓글을 달게 돼요."", '어떤 댓글을 달아야 할까 고민할 때도 반가운 마음, 일기에 적힌 일화에 대한 내 감정에서 비롯되는 게 아니라, 어떤 댓글을 달아야 상대방이 좋아할까를 논리적으로 계산하면서 적게 돼요. 그 과정에서 제 감정은 거의 살펴보지 않아요. 예를 들어, 내가 정말 이 친구가 오랜만에 일기를 올렸다는 사실이 반가운지 안 반가운지는 돌아보지 않고, 어떻게 해야 반가워보이게 표현할 수 있을까를 고민하는 거죠. 심지어 반갑더라도 내가 반갑다는 감정이 들었다는 것을 알아차리지 못해요. 내 감정과는 상관없이 행동하게 되는 거죠.', '방금 딱 그랬어서 이질감을 느끼며 글을 쓰게 됐습니다.. 사실 제가 이런 거에 대해 크게 문제의식을 느끼진 않는데, 그냥 이러다가 어느날 사람이 너무 공허해지거나, 계산적이게 되거나 하진 않을까.. 막연히 우려되네요.', '', '다른 분들도 그러신지 궁금합니다.', '제가 아직 대학생이라 어리기 때문에 관계도 감정도 미숙해서 그런 것 같기도 한데.. 혹시 극복하신 분들은 어떤 계기로 극복하셨는지, 어떻게 했는지 궁금합니다.']",공부는 귀찮아 INTJ,"['그렇군요.\n순수하고 솔직하고 투명한 사람이 참 좋아보여요. 눈치 보지 않고, 이래저래 재지 않고, 그냥 있는 그대로를 드러내려고 하는 사람들..\n그치만 그런 엔프피를 본 적은 없는 것 같아요. 엔프피도 결국 삶과 현실에 치여서 순수함도 솔직함도 투명함도 잃는 것 같은데.. 너꾸꾸님은 본 적 있으신가요?', '엔팁인데도 좀그래요ㅋㅋㅋㅋ 진짜 제 바운더리안에 있는 극극극극 소수 빼고는 일처럼합니다', '그 극극극극 소수를 제외한 나머지 분들께는 좋은 감정이 있는데도 이성적으로만 행동하시나요?', '아뇨\n전 일처럼 의무적으로 해야만하는 관계를 남겨두는게 더 합리적이지 못하기에 진심으로 감정이 동하지 않으면 친구든 가족이든 그관계는 없는거에요\n\n대신 남겨둔 관계에선 생각이나 계산이 없는 감정으로 대해요 계산적으로 인간관계를 하는 사람을 극혐하기에 스스로도 그렇게 행동하지 않으려 하네요', '지인에게는 그런거 소모적이고 피상적인 관계에서 염증을 느끼기 때문에 아주 순수하게 대합니다.', '시간이 지나니 일처럼 느껴지게 했던 관계에서 지쳐가더군요. 그래서 굳이 애쓰지 않아도 편안한 사람들하고만 소통하고 인연을 유지하는 듯 합니다. 인간관계에서 견디는 건 업무적 관계만으로 충분하다고 생각했었습니다.', '아 저도 20대때는 친구관계 거리감각이 없어서 의무적으로라도 연락했던것 같은데 점차 정신력도 체력도 안받쳐줘서 거의 끊었어요ㅋㅋ\n회사다니기 시작하면 친구관계 신경쓸 여력이 없어요\n무리하실 필요 없습니다..']"
intj가 관심있는걸까요?,"['회사 동료입니다. 상대는 남자분이신데 얼마전에', '저만 자격증을 못따서 회사에서 공부를 하고있었어요 인티제분께서 제 화면을 보고 안타깝다고 사내메신저로 따로 정리한 파일을 주시더라구요. 그때는 그런가보다 했는데 커피 마시러갈때도 제가 다른분이랑 얘기 나누고 있는데 안가냐고 가자고 하면서 남들 다 갈때 저랑 같이 가주시기도 하고ㅎㅎ', '지난주에 동료들끼리 회식이 있었습니다.', '집갈때 인티제분 포함해서 셋이 지하철을 타게됐는데 제가 그분한테 안경쓴거 잘 어울린다고 했어요ㅎㅎ', '그리고 먼저 가셨는데 개인톡으로 연락이 왔어요', '제 번호 모르시는데 회사 내에 직원 연락처 적혀있는거 보고 연락하셨더라구요ㅎㅎ', '', '내용은', '', 'intj : 잘 들어가고계싶니까?', 'ㅇㅇ님 고생했어요 주말 잘보내셔요', '저 : 아항!ㅜㅜ 택시탔어영', 'intj님도 잘 들어가시나요?', 'intj : 네네 잘 들어왔네요', '택시면 다행이네여 주말 잘보내세요~', '저 : 네 intj님도 주말 잘 보내세요~', 'intj : 예압', '', '이렇게 왔어요.', '저도 마음이 좀 있는 상태라 궁금합니다.', '그래서 안경 잘 어울린다는 말도 드렸어요ㅜㅜ']",랄infp,"['오? 관심있는거 같은데요!!!', '정말요? 그 다음 단계로 넘어가려면 어떻게\n해야할까요 근데 제가 티내는걸 안 좋아해서ㅜㅜ', '저 정도면 관심있다고 생각합니다', '괸심 없으면 저런 행동을 하진 않으시죠?', '네네 인간적 호감으론 저 정도까진 안할 거 같아요', '제가 해야할\n행동이 있을까요? 어떻게해야할지 모르겠습니다', '관심있는거 같아요!!\n인티제의 선톡이라니!!', '근데 카톡 저렇게만 하고 더 이상 하지 않네요ㅜㅜ\n사내 메신저도 그렇구… 뭐 어떻게 해야할까요…', '인티제에게 연락을 그리 기대하심 안돼요!\n그래서 지금 연락만으로도 꽤나 관심이 있어보여서요.. 아집 인프피님이 먼저 연락해보셔두....!! 좋아할지도 몰라요', '아하…ㅜ 어쩐지.. 그냥 사내메신저로 모르는거 물어보는거 뿐이에요 뭘할지 모르겠어여ㅜㅜ', '번호 저장도 안되어있는데 회사 내 연락처 보고 굳이 잘 들어가고 있냐고 물어보다니 제기준 엄청 플러팅인딩...', '근데 저기서 더 이상 말 하진 않으시고 끝이에요ㅜㅜ', '랄님이 그다음 뭔가 반응을 보여주시면 될 거 같은데용..', '지난번에 제가 커피 사주기로 한거 오늘 커피 사달라고 하셔서 사드렸러용 그리고 제 자리도 놀러오셨는데 음… 제가 뭘 해야할지 모르겠어요ㅜㅜ', '그것도 상대방이 먼저 사달라고 한 거잖아요 님자리로 놀러간것도 상대방이잖아요 님이 먼저 한 게 없는데요?', '인티제님은 뭘 좋아하시나요?', '관심이죠! ☺️', '다음단계로 넘어가려면 어떻게 해야할까요?', '다음 단계는 작성자님이 시작하는 게 좋아보여요~', '보통 이런경우에 인티제님은 뭘 받는게 좋으신가요?']"
엔티제의 사랑이란게..,"['정말 너무 좋아하고 사랑하지만', '지금 처한 상황이 아무리 머리를 굴려봐도', '현실적으로 둘의 만남이 이루어 질 수 없는 상태라면..', '감정적인 마음은 유지한채 몇년이고 참았다가', '연애할 수 있는 여건이 되었을때', '다시 그 사람을 찾아갈 수 있을까요?', '그게 가능할수 있다고 생각되세요? 엔티제이님들!', '']",ISFJ J,"['잇프제임저는 안돼영', '그사람이 정말 좋았다면 그럴수도 있을 것 같긴한데, 만약에 현상황의 문제가 상대에게 있고\n그 상대때매 못만나게 된거라면 그 사이에 다른 사람을 만날 수도 있을 것 같아요.\n근데 좋은사람을 못만나게 되면 기다렸다가 그 사람 만나고 싶을수도 있을 것 같아요!']"
엔티제 남자 질문!,"['호감 가는 남자가 엔티제 인데 저한테 관심이 있는지 궁금해요!', '상대방이 저의 연애 여부를 묻고 연애를 안하고 있다 하니 저의 이상형에 대해 물어본 뒤 이상형을 얘기 해주니 한개 빼고 다 난데? 라는 말도 했었고 상대방이 지방 출장이 잦아 바쁘니 바쁜게 지나면 얼굴 보자는 얘기도 먼저 했습니다! 엔티제 분들이 봤을땐 어떤가요~? 호감 인가요 아님 제 착각 일까요?😥 엔티제 남자 분들은 호감 있는 사람에게 어떻게 호감 표시 하는지도 궁금합니다!ㅠㅠ']",isfp 홍시언니,"['질문이 많긴해요~ 근데 워낙 초면인 사람한테도 다른 유형보다 잘 대하주는 성향이라 선톡이나 연락, 스케줄 보고 만남등 먼저 하면 호감 맞아요! 엔티제는 헷갈리지 않더라구요', '정답']"
인티제님의 칼답,"['인티제님들은 관심없어도 칼답 잘하시나요?', '', '인티제님은 일단 같은 회사에 대리님이에요', '제가 관심있기도 하구요 그래서 자꾸 사사로운거에', '의미부여를 하게되네요ㅠ', '', '회사 메신저로 공적인거나 사적인거나 이야기하면', '거의 바로 확인하세요', '회사 메신저니까 또 원래 성격이 연락 쌓여있는걸 못보는 성격같긴한데...', '제가 휴가일때도 대리님이 한번 연락온적이 있었는데 거의 1분만에 답장오고 그랬거든요', '대리님이 휴가일때도 일적인 걸로 저한테 부탁할게 있어서 연락이 온적이 있었는데 그 이후에 사담도 거의 바로 확인하고 답장이 와요', '근데 마지막은 거의 읽씹이에요...요즘은 종종 마무리 대답해주시긴하는데 이야기가 끝날때가 아닌데 그냥 읽씹하고 말더라구요 이건 뒤에 할얘기가 없어서 그런거같긴해요 ㅋㅋ', '', '무튼 이렇게 칼답 하는 사람 오랜만에 봐서 신기하기도 하구요 ㅋㅋㅋ', '인티제님이 전에 회사 사람들이랑 술먹으면서', '자기 바운더리안에 있는 사람들한텐 진짜 잘해준다 말한적도 있었고 저보고는 자기 친여동생이랑 정말 닮았다 얘기도 하고 해서 인간적 호감은 있어보이긴하는데', '뭔가 동생 닮았다는 이야기 이후로는 저한테 이성적 호감은 없어보이기도 하고 그러네요..', '', '그래도 회사에 있으면 저한테 먹을거도 종종 챙겨주고', '회식갈때 자기 차 타고 가라그러기도 하구', '커피도 가끔 사주시고 옛날엔 꼬빡꼬빡 저한테 존댓말 하셨는데 요즘은 반존대하시네요 ㅋㅋㅋ', '', '확실히 제가 편해진건 맞는거같은데', '이성적호감으로는 보긴 어렵겠죠..?', '', '', '']",생각이너무많아 INFJ,"['어.. 보통 마음이 없을수록 칼답하긴합니다', '아악 슬프군요...🥲', '인간적인 호감과 유대는 분명 있으신듯한데\n마음이 없을수록 칼답이라는 건 조금 거리가 먼듯해요\n(대화의 내용이나 흐름으로 판단 가능하겠죠)', '성격이 급해서 칼답할때가 있고요 단답할 내용이면 또 칼답하고요\n근데 반응속도말고 대답의 내용을 보셔야죠\n글이 좀 길고 챙겨주는 말투, 감정이 들어간 말투면 호감 유\n그냥 건조하게 대답만 하는거는 관심없음이고요\n\n약간은 챙겨주는 분위기긴 한데 깊은건 아니에요 아직은.\n좀더 말랑한 반응내용을 가져오십시오 ㅋ\n뚝딱인다거나', '슬프지만 말랑한 반응내용은 없네요🥲🥲 회사사람이라 제가 더 표현을 못하겠는게 아쉽네요... ㅋㅋㅋㅋㅋ', ""'퀘스트 느낌표는 못참지' 입니다(RPG게임 이야기)"", '아ㅋㅋㅋㅋㅋ 어떤 느낌인지 알거같아요', '마자요 ㅋㅋ 다 해치워야 속편함', '카톡에서 이성적 호감 유무는 칼답이 아니라 대화를 이어나가려는 의지를 보셔야하는데 거의 읽씹으로 끝난다 하셨으니 이성적 호감은 없어보이네요\n\n인간적 호감은 있으니 아래와 같이 친절하고 편하게 대하시는 거 같습니다', '인간적호감이라도 있으니 다행이라고 생각해야겠어요 ㅋㅋㅋ🥲', '읽씹은 원래 그래요..', '회사는 솔직히 판단하기 힘들다 생각해요 ㅋㅋ', '그렇겠죠??역시 따로 만나서 이야기를 해보는 기회를 가져보는걸로....', '카톡창을 빨리 클리어해야 마음이 편해서 되도록 칼답입니다ㅋㅋㅋ 해야할게 쌓여있는거 못봄', '왠지 그런 느낌 맞는거같아요 할말 우다다다ㅏ 빨리 답해주고 사라지기...😅']"
인티제랑 헤어졌어요,"['안녕하세요', '', '인티제랑 1년 4개월 정도 만났고 오늘 헤어졌습니다', '', '평소 투닥투닥 하는 건 있었는데 크게 싸우는 편은 아니었고 싸우더라도 하루 내에 다 풀렸었어요', '그러고 요근래 2개월 간 많이 다퉜어요', '인티제는 막 직장 생활 시작했고 저는 수험생활로 최근 있었던 시험 때문데 둘 다 신경이 곤두 서 있었거든요', '', '그리고 이틀 전에 세게 다퉜다가 인티제가 혼자 있을 시간이 필요하다고 해서 이틀 간 연락 안 하다가 오늘 헤어지자고 하더라고요..', '', '저는 아직까지 인티제를 많이 사랑하고 있고 인티제는 저를 아직 사랑하지만 싸우는 그 상황들이 너무 힘들고 상처라고 헤어지는 게 맞는 것 같다고 하더라고요', '', '서로가 알고 있어요 서로가 서로에게 너무 힘이 되어주었고 사랑해주었다는 걸', '', '인티제가 최근 저와의 잦은 다툼 때문에 많이 지친 것 같아요', '혼자만의 시간이 필요하고 앞으로 저와 자기자신을 위해 지금 헤어지는 게 가장 맞는 것 같다고 그러더라고요', '', '인티제가 다시 연락 올까요?', '너무 절망스러워요..']",엔뿌피야안녕,"['딱 서로 힘든 상황에서 이별을 맞이한거 같아요 ㅠㅠ\n엔프피님 시험은 잘 해결되셨나요??\n인티제에게 혼자만의 시간을 주고, 엔프피님의 상황이 좀 안정적으로 되셨을때 먼저 연락해보셔도 좋을거 같아요', '내년 시험 준비하게 되었어요..\n시험 결과가 좋았다면 살황이 이렇게까지 악화되진 않았으리라 생각 들기도 해요..ㅠㅠㅠ\n인티제가 지금 많이 힘들고 지치다고 하니 한 동안 연락은 못 할 것 같아요..\n댓글 감사합니다 !', '과거의 사람으로 자연스럽게 정리된다는 말이 너무 슬픈데요..ㅠㅠ\n인티제가 헤어지자고 할 때 딱 그렇게 말을 했어요\n지금 우리 계속 다투고 있고 만나더라도 똑같은 이유로 다투게 될 거니 더 상처 받기 전에 그만하자고요..\n댓글 감사합니다..!', '네! ㅠㅠ 일단 저에게 집중하면서 공부 열심히 해보도록 할게요..!! \n조언 너무 감사합니다 .. ㅠㅠㅠ', '남의 이야기 같지 않아 제가 다 슬프네요.... 상황이 연애에서 정말 중요한거 같아요. 잘 이겨내시길 바랄게요', '위로해주셔서 감사해요 .. ㅠㅠ\n인티제가 옆에 있을 때 제가 더 배려를 해줬어야 했었나봐요..\n지각쟁이님은 예쁜 연애 하시길 바랄게요 ㅎㅎ\n댓글 감사합니다..!', '아니에요 충분히 배려하신거 같아요...! 인연이라면 다시 닿을거에요 잘 추스르시길요', '네!! 감사합니다ㅠㅠ', '댓글을 이제 확인하네요ㅠㅠ\n서로 힘든 상황에서 둘 다 신경이 곤두서 있으니 둘 다 다기가 더 배려받고 싶다는 생각을 했던 것 같아요..\n더 이해해주지 못하고 더 뱌려해주지 못해서 미안할 따름이에요..ㅠㅠ\n답변 감사합니다 !!']"
INTJ님들 새로운 거나 흥미있어 보이는 거 도전 잘 하시나요?,"['만약 하신다면 본인의 도전정신의 정도는 몇 % 정도 된다고 생각하세요?', '', '저는 새롭고 특이해 보이는 경험이나 감각적 자극적이어 보이는 경험도 되도록 도전 해보려고 하는 편인 거 같아요.', '%로 말한다면 75% 정도?', '', '다른 INTJ분들은 어떠신지 궁금해요.']",AuroraDust INTj,"['네 완전히요. 삶의 전 과정이 도전이라 여겨요. 꿈 많고 배우고 싶은 거 도전하고 싶은 거 버킷리스트 이런 거 많아요. 실제로도 과감하게 선택한 결정들이 많고.. 85-90은 될 거 같아요.', '전 흥미로만 도전하진 않고 필요한건지\n성공할 수 있는건지 어느정도 투자를 해야하는지 재보는거 같아요\n투자대비 효율이나 적성안맞는다 싶으면 포기합니다', '22 저도 그렇습니다.', '전 철저하게 재미있어보이는 걸 재미있는 만큼만 해요', '가벼운 취미생활은 바로 도전\n꾸준히 해야하는 거면 어느 정도 완벽하게 준비?하고 계획 짠 뒤 도전', '저도 7-80퍼 정도용', '90~95% 정도요.', '호기심이 원동력이라 도전 합니다', '도전의 가치를 정말 높게 평가하는데요. 하지만 시간과 자원은 한정적이기에 가치있고 필요한 도전만 하고, 유리 멘탈인지라 감당 가능한 선에서만 도전합니다.\n조건이 이래저래 복잡해서 %로 나누긴 어려울 것 같아요']"
친구도 연인도 손절하는 과정..,"['내 바운더리 안에 들어온 친구나 연인한테는 많은 기회를 줌. 특히 연인한테는 훨씬 많이 관용을 베푸는데 마지막까지 개선이 안되거나 달라지는게 없으면 아예 포기하게 됨.', '', '근래 장거리 연인과 많이 다퉈서.. 다툼이 있을 때마다 개선점을 찾고, 해결하고 싶은 마음에 ""대화""를 하려고 혼자 노력해보니 참 많이 지쳐버림.', '혼자 끙끙 앓다가 객관적인 의견을 묻고 싶어서 친구한테 대략 보여줬는데, 그 친구 하는 말이 화 한 번 안 내고 넌 너무 차분하고 연인은 너무 격분한다고 대화 내용만 봐선 둘 성향이 너무 다르다고 여태 어떻게 만났냐 함.', '뭘 어떻게 만나.. 나만 존중하고 나만 배려하고 나만 희생하니 상대는 아주 편하게 만났다 생각함.', '기회 줄만큼 줬으니 이제 악순환을 끊어내려고요.', '', '내가 꽂히는 사람, 특별히 이상형을 정해 놓지않고 만났는데 이번 연애를 통해서 배운건 많아요.', '사람 보는 판단능력이 아주 날카롭게 날이 서서 잘 걸러낼 수 있을거 같아요. 덕분에 이상형도 생겼고..그냥 딱 나같은 사람이 이상형이네요.', '']",INTJ뒤A타입5WX,"['똑같네요 나만 희생하고 나만 배려하고 나만 기다리고.. 저는 그걸 2년을 했네요\nㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ포기 정도가 아니라 이제 꼴도 보기 싫어요', '일단 싫어하는 스타일을 걸러내고 난 다음에 찾는 것이 맞는 듯 합니다.']"
