title,contents,author,comments
Isfp 남자친구와 헤어졌어요(조언부탁드려요),"['일단 일년만났고 10개월만에 다시 연락왔어요', '몸도 마음도 너무 지친상태고 힘드니까 생각나더라 너가 나한테 제일 잘해줬던사람이였지않냐 어디든 떠나싶다 해서 바로 만나서 재회했고 한달만에 헤어졌어요', '', '조금만 싸울때마다 동굴에 들어가서 연락두절되고', '지혼자 또 풀면와요 저는 그 기다리는 고통이 너무 힘들고 .. 그래서 제발 그것만 좀 고쳐달라는데 자기도 화가나면 아무것도 안보이고 그렇데요', '그리고 저 힘든거는 바로 이야기하면 또 스트레스받을까봐 그러면 또 싸우고 또 동굴갈까봐 참다가 한번에 이야기해요ㅠ ㅠ ,,', '자기가 스트레스받아서 시간달랬는데 제가 또 나쁜생각하면 어쩌냐고 나 너무 힘들다고 같이 지내면서 터치안할게 절대 그때가도늦지않냐 하고 잡아서 알겠다했는데 제가 그 일주일을 못기다리고 이틀만에 또 서운한거 이야기했거든요 … 그러고 제가 본가간사이 장문의카톡을 남겨두고 짐 다 싸들고 갔구요', '저때 제가 잡을때 원래 바로가고 이야기도 안하는데 저한테 너무 고마웠던것들이 많아서 마지막 지가 할수있는 배려라고 했어요', '', '일년만나면서도 헤어지고 붙고 많이했는데', '정말 다시는 안붙을거같은 더 심하게 싸워도', '잘타이르면 또 넘어왔는데 근데 항상 헤어지면 무조건 전부 다 차단하는애인데 이번엔 하나도 차단안하고', '장문의 카톡도 처음받아봐요 정말고마워서 그런건지 아니면 시간이 필요한건지', '', '항상 걔가그랬어요 헤어지고 다시 이야기할때 자기는 화나면 진짜 앞도안보이고 너무화나서 막말 많이하는데 진심이아니고 욱해서하는거니까 그렇게 꼭 알아달라 사실 그러면서도 한편으로는 내가 진짜 그만한다고하면 어쩌지 못기다리면어쩌지 걱정많이했데요', '그리고 헤어진 일년동안 늘 제생각하고 많이울고 발라드도 안듣는데 저때문에 진짜 많이 들었다했구요ㅠ', '', '일단 장문카톡 보여드릴게요', '', '나 사실 방금 집에 왔어....미안해', '생각 많이 해봤는데....이게 맞는거같아서', '너무 힘들고 스트레스도받고', '물론 서로 똑같겟지만 원망 안해 줬으면 좋겠어 서로사랑해도 한쪽이 너무 과한거같아 나도 어느정도는 괜찮은데..진짜 내가 잡혀 있다는 생각이 너무 많이드는거 같고 앞으로도 그렇게 지낼거같아서 그냥 집에 왔어', '힘들고 할거알지만 나도 그만큼 똑같고 힘들어 너무고맙고 너무 미안한데 그 서로 사랑이 너무 심해지면 더 힘들어 질거같다..', '표현이고 믿음이고 나는 충분하다 생각햇는데 너무모자라다고 하니까 뭘 더 어떻게.해야할지 모르겟어 같이있을때는 좋고하다가도 싸우기만하면 사랑 못받앗다하고 하루라도 편안한적이 없엇다하고 그러니까 나도 모르겟어 뭘 더 어떻게 해야 할지를 나는 행복했고 서로 그렇다고 생각했는데 싸우면 그게 아니엿다고하니까...나도 힘들어 같이 웃고 떠들고 했을때는 나도진짜 행복했고 좋앗는데 나중에 들어보면 나만 행복햇고 너는 그렇게 생각을 안했다고 하니까 내가 왜 그래야하지 하는생각도 들고 난좋앗던순간이 너는 나한테 가식을 부린게 되는거잖아 그래서 앞으로도 집에서든 뭐든 같이 웃고 해봐야 다 가식일테고 나중에 싸우면 또 행복한적이 없었다고 할꺼고 그럴빠에 그냥 이대로 끝내는게 맞다고 생각해 원래 집에 올 생각 없었는데 집에서 생각해 보니까 쫌 그렇더라....', '진심으로 너한테 이렇게.말하는거야 내생각을 내가 나도 나를 모르겟다 햇잖아 그게 지금 말한거야 나도 뭐가 맞는지.진짜 진심으로 모르겟어 잘지내고해도 나중에는 매일.불안했다하고 사랑받은느낌이없다하고', '나는 그래도 그건 아니라고 생각했는데 너무 다르더라 너가 화내고 할거 아는데 미안해', '돈이랑 영수증 보내줘 다줄게 일하면 조금씩이라도 줄테니까 너가 왜 너한테 왔냐고 물어봣제 진짜힘들때 내한테 질해준 사람이 니였고 그래서 나도 진짜 다시 잘.해볼라고 연락했고 그랫다 근데 한달도 아이고 싸우고 나니까 너입으로 너가 바꼇다하지만 아니더라 내생각은그래 일 하는거말고는.똑같은거같아 너 입장은 다를수도 잇는데 내가 느끼기엔 그래 그게 너무 힘들어 앞으로 더 만날 자신도 없고 미안해 더이상 너 눈앞에 안보일테니까 잘지내 나도 너무 힘들어진짜', '지금까지.너무 고마웟어', '', '이러고 차단도안하고 근데 일요일날 아침에 헤어졌는데 제가 그러고 카톡 보내놨는데 아직 읽지도않았는데 또 스토리는 보더라구요 (스토리를 지가 보고싶은것만 클릭해서 보는상황)', '', '제가 저거보고 처음에 눈돌아서 너무 감정적으로 카톡몇개보내고 정신차리고 이전 카톡은 너무 감정적인거같다하고 이성적으로 카톡 보내놓고 그이후로 저도 연락 한통도 안하고있는 상황입니다 이대로 계속 기다릴지 늘 하던방식으로 계속 타일러볼지 어떻게 해야되나요', '', '굳이 마음이뜨고 진짜 끝낼거면 저렇게까지 장문을 보낼까싶기도하고 궁금합니다']",삐약삐약기,"[""글보니까\n잇프피가 싸운거에 대해 '부정적인' 상황이 트리거가 되어서 기억이 부정적인 걸로 덮어진거 같아요.\n\n헤어졌을땐 기억미화로 그사람이 진짜\n잘해주고\n행복만 했었지 해서 연락해서 사겼는데 사귄지 얼마 안됐는데\n또 싸우네?! 이렇게 되버린거죠..\n아 이사람이랑은 진짜 안되겠다 이런 생각일꺼에요\n\n장문카톡 보니까 그래보입니다.\n\n저의 잇프피도 싸움이 '반복' 되면\n행복했었던 기억이 안좋았던 기억으로\n덮어진다고 하더라구요.\n\n싸움을 가장 싫어하는 평화주의자\n잇프피인데\n헤어짐의 '원인'이 되버린거죠"", '다시 재회할수있을까요 ? 저한테 마음이 뜬걸까요', '그리고 긴글 읽어주시고 댓글 남겨주셔서 너무 감사합니다', '마음이 뜬건지는 모르겠어요.\n정이 많고 마음이 은근 약하기도 해서\n좋아하는 감정이 남아있다면\n잡으면 잡히는 잇프피이긴 한데\n쓰니님이 안그런다 했는데 또 그러면?\n못믿겠다 이런 생각일꺼에요.', '정말 딱맞아요 정이많고 마음은근약한거 …저는 잡으면 늘 잡히긴 했거든요 근데 지금 카톡을 읽지도 않는상황이라 또 카톡하면 아예 차단박힐까봐 겁나고 그렇다고 가만히 있자니 딴사람만날까보ㅓ 겁나고 그렇네요..', '좋아하는 마음이 조금이라도\n남아있다면 쓰니님을\n받아주실꺼고\n남아있지 않다면 또는 남아있는 마음보다 앞으로 생각했을때 안되겠다 싶으면 거절할꺼에요.\n일단 얼굴보고 진심을 말하면 마음약한 잇프피가 풀어질텐데\n\n잇프피 엠헬글 쭉보니까 냉정하게 거절하는 경우도 봐와서 뭐라고 답을 드려야할지 모르겠습니다.ㅠ']"
첫사랑 잇프피,"['그냥 이런저런 생각하다가 문득 제 첫사랑이 생각나서 글 올려봐요. 혹시나 잇프피 짝사랑 중이신 분들이 계시면 저는 그냥 적극적으로 다가가시라고 말씀드리고 싶네요..!', '', '제 첫사랑이 잇프피였는데 뭔가 mbti를 너무 맹신(?)했었던게 독이었던 것 같기도하고... 지금 생각해보면 다가가고 싶어도 ISFP는 부담스러운거 싫어한다고 천천히 다가가야 한단 말에 타이밍 재다가 흐지부지 지레 상처받고 끝났네요..', '눈치보지 말고 하고싶은대로 해볼걸... 자존심 부리지 말걸..', '', '그리고 이제서야 감정에 휘둘리지 않고 제3자의 시선으로 객관적으로 보건데, 어쩌면 잘될 수 있었던 관계를 제가 스스로 상상하고 겁먹고 의미부여하고... 여러모로 아팠던 날들이었네요', '', '20대 중반에 찾아온 첫사랑이 참 어안이 벙벙했어요', '잇프피를 좋아하기 전까지는 사랑이라는 감정을 이해하기가 어려웟거든요. 친구들의 연애상담, 이별하고 나서의 모습들을 보며 왜저런 일로 눈물을 흘릴까 싶었는데...', '막상 제가 겪어보니 사랑이란게 행복하기만 한게 아니더라구요 ㅎㅎ', '', '개인적으로 잇프피는 어려운 사람이라고 생각하면 한도끝도 없이 속을 모르겠는 유형 같아요. 오히려 단순하게 생각할수록. 있는 그대로만 봐주면 그렇게 솔직하고 다정한 사람 그 자체인데.. n의 망상력은 쓸데없이 사람을 꼬아서 봐가지고...', '', '아무튼 잇프피 짝사랑 중이시라면 MBTI는 큰 틀에서는 비슷할지 모르겠으나 개인마다 당연히 고유한 특색이 있어서 잇프피라고 다 똑같지 않으니 관계에 진전이 없거나, 너무 가까워 지고 싶으시다면 진짜 친구한테 다가가듯 편하게 힘빼고 다가가시라고 말씀드리고 싶네요 ㅎㅎ', '', '그냥 새벽감성에 여러분의 짝사랑을 응원하고 싶었습니다!', '다들 좋아하는 분들이랑 잘되길 ..!!']",도람쥐,"['와.. 완전 공감합니다.\n어려운사람이라고 생각하면 한도끝도 없이 속을 모르겠는 유형..!!\n제가 잇프피를 가장 속을 모르겠다고\n생각하거든요ㅋㅋㅋㅋ\n화법도 돌려말하기도 하니까\n의도파악이 안되는 문제가 발생ㅠㅋㅋ\n속을 더 알기가 어렵더라구요.\n직설적일땐 드물지만 있긴 한데..\n\n단순한데도 어렵는..?ㅠㅎ\n\n저의 잇프피는 아직도 본인을 잘 모르냐 하는데..ㅋㅋㅋ n년차인데도 잘 모르겠어요🤣😂\n\n솔직할땐 솔직하고, 다정한 잇프피 맞습니다!\n\n단순하게만 생각해보도록 해볼께요!\n공감합니다!']"
isfp분들은 연인에게 서운함을 어떨 때 느끼나요?,"['제 남친이 isfp인데 하도 본인 감정을 티를 안내다보니', '.. 남친은 일하는데 저 혼자 놀러가는데 저같으면 약간 서운할거같은데 남친은 아무생각도 없어보이고 질투도 해줬으면 좋겠는데 그런 표현을 하나도 안해요..', '왜그러는걸까요?', '그리구 평소에 애인한테 어떨 때 서운함을 느끼나요?']",isfjo,"['진짜 너무 존똑인데 속으로 삭히는 듯해여 서운한감정들을 티는 절대안냄요', '제 남친도 잇프피인데 제가 삐졌는데 그걸 캐치 못해요...ㅋㅋ 이게 mbti랑 관련있는지는 모르겠지만 암튼 그래요;', '제생각엔 아무생각이 없어서 그론고같애요.. 생각하는게 완전 1차원적이에요 ㅜ', ""나는 애정표현 해주는데 남친은 안해줄 때!! 나도 좀 받고싶은데 '-` ..."", '2222 근데 막상 서운하다 말은 못해요.. 그런 말 꺼내는거 자체가 갈등을 빚는 시발점이 되는 거 같아서....ㅠㅠㅠ그냥 속으로 서운하고 속으로 삭혀요....', '저도 원래 그러는 편인데 주변 사람들한테 물어보니 불만인 건 말하는게 좋다고 해서 심장 쪼들리며 말했더니 그 뒤로는 잘 해주더라구요ㅋㅋㅋ 자기가 무심했다고']"
ISFP 여성분들,"['안녕하세요', '알아가는 단계의 isfp 연하 여성분이 같이 술한잔 하는 날마다 먼저 계산 하려고 하고,,', '다음날 혹시 술에 너무 취해서 실수하지는 않았냐 물어보는 정도면 이성적으로 호감이 있는건가요?', '만나서는 호감이 상당히 많이 느껴지는데 카톡으로는 전혀표현에 대해서는 느껴지지가 않아서요', '일상 정도는 물어봐주십니다! 리액션도 좋으시고']",기리보이1,"['상대방에 대한 배려가 넘쳐 흐르는 잇프피에요,,, 특히 상대방에게 피해나 부담을 느끼게 하는 행동은 거의 안 하는 편인 거 같아요!!\n제가 보기엔 호감이 있는거 같아요!!', '답변 감사합니다!!']"
Esfp남자분들 질문입니당!!,"['번따로 알게된 사람인데, 토요일에 만나기로 했다가 그 esfp남자분께서 일 끝마치는 시간이 늦어지다가 00시까지 가버리길래 그냥 피곤해서 못보겠다고 미안하다고 했거든요ㅠ 그래서 엣프제남이 자기도 일이 이렇개 늦춰질줄 몰랐다고 미안하다면서 나중에 밥먹고싶을때 말하라고 하더라고용! 그리고 다음날 스몰톡 조금 하다가 제가 먼저 오늘 하루 잘 보내라고하고 이번주에 봤으면 좋겠다고 말하고 끝났어요!', '', '그후 이제 언제 만날지 좀 정하려고 먼저 연락했는데, 답장이 너무 느려서 갑자기 좀 헷갈리고 그냥 나중에 밥먹고 싶으면 말하라고 했던게 아무 의미없는 말이었는데 내가 혼자 착각했나 싶어요 ㅋㅋㅋㅋ ㅠ', '', '무슨 경우인가여….!!', '연락 내용은 점심시간에 밥 먹었냐고 물어보고, 우리 목금이나 주말에 보자고 먼저 보냈었고요. 한참뒤에 6시간쯤 지나서 자기 낮잠잤다고, 주말에 보자고 답이 왔어요! 그래서 제가 그럼 토요일애 보자고했고 못먹거나 좋아하는 음식 있냐고 물어본 상태인뎈ㅋㅋㅋㅋ답이…지금도 안와용 ㄹㄹ']",도키워홀,"['최근 카페에서 자신의 유형에 투표하는 글을 보면 조회수가 400에 육박하는 현재까지 엣프피는 0표예요ㅠㅋ 거기다가 남자 엣프피로 한정하면 카페에는 정말 드물 거예요. 개인적인 생각으로는 나름 MBTI에 대해 잘 아시는 분들이 있으니 답변 요청을 엣프피로 한정해 물어 보실 필요는 없을 것 같아요!', '헉 조언 감사합니다 ㅋㅋㅋㅋ!그럼 제목을 바꾸는게 나을까용?', '네 저라면 그렇게 한 다음 글도 끌어올리거나 아예 다시 올리겠어요ㅎ', '앟ㅎ 감사합니당~']"
엣프피친구에게 왜 너는 나랑 내친구는 안봐? 했는데 우리 진짜 많이 보지않았어? 하는데 거절의 의미죠..,"['너는 왜 나랑 내 친구는 안봐? 했는데 우리 진짜 많이 보지 않았녜요...', '보고싶지않다 이 말이죠..? 저는 나랑이 아니라..나랑 다른친구 말하는거였는데..']",ㄷ이이잉,"['그 친구분이\n다른 사람은 잘 만나면서 그런거에요?\n그냥 안땡기면 안봐요\n옆집 살아도 안봐요\n멀어도 땡기면 봐요\n서운하져…내맘 같지 않고…\n그런데 얘기해도 달라지진 않아요\n전 예전엔 얘기하고 개선되고자\n말했던건데 살다보니\n말해도 달라지지 않는거\n굳이 말해봐야….소용이 없네로 바꼈어요', '음.. 자기 친구들이랑은 자주 보는거같아요! 거의 매주 보던데요?\n근데 저랑도 9월달까지 봤다가 그 뒤로 안 봐요! 보자고도 안하구요..왜 우리는 안봐? 이 말이였는데\n우리 진짜 많이 보지않았어? 하는데.. 와 .. 너무 서운하고 그러네요 ㅎㅎ...\n매일 연락하는데 무슨 이게 카톡친구도 아니고 ㅋㅋㅎㅎ...', '서운하죠 저도 저런 경험 있엇어요\n그 친구왈, 꼭 연락을 자주하고 만나고 해야 친한거라 생각 안한다데…자주 보는 친구가 따로 보이니까 전 서운 했거든요 제가 요즘 느끼는게\n오랜 친구고 소중하면 자주 안보는게, 매일 연락 안하고 거리두는게 좋은거 같더라구요 얼마전 피드 양희은 피드 보는데 공감했어요\n전 매일 연락하고 자주 보는 이들이랑 트러블이 잘 나서 빠그러진 경험을 하다보니까….양희은님도 친하고 소중한 사람은 생각나면 한번보고 매일 보고 자주 연락 일부러 안하려한대요\n그냥 두세요 내 사람이면 그냥 둬도 이어가게 되고 아니면 멀어지더라구요 보고싶음 그냥 보자고 하세요\n저는 성향이 또 먼저 보자고는 안하는 성향이라 그 친구분은 어쩐지 몰라도 나오라고 하면 나가는 스탈이면 그쪽에서 불러서 자주 만나는거로 보일수도 있구요', '음 전에는 이 친구가 먼저 보자 만나자 하는 편이고 저는 한 두세번? 먼저 보자고 했구요,, 원래 보자고 하면 귀찮아도 나오는 스타일인데 이번에는 진짜 많이 보지않았냐고 하더라구요..사실 제가 이 친구에게 잘못한게 너무 많아서 저를 보고싶지도 않을수도 있어요..ㅎㅎ.. 제 뇌피셜이지만요!', '저런식으로 말하니까 저도 굳이 만나자고 하고 연락도 굳이 할 필요가 있을까라는 생각마저 들어요..자기 친한 친구들만 보고싶고 연락하는 친구라면 저도 만나고싶지않네요..', '사실..저한테 너랑나랑 예전만큼 친하게지내기는 어려울꺼다 쉽게 관계가 개선될꺼같지는 않다라고 하긴했어요..저렇게 말한뒤로 보자고도 안하고 장난도 안 치고 전화도 안하고 그냥 카톡만하는편이예요….', '제가 이 친구한테 잘못한게 너무 많아서 손절과 차단위기까지 갔다가.. 친구가 저렇게 말한거였어요..그뒤로는 자기가 다 내려놓고 체념해서 제가 뭘 말해도 화도 안나고 스트레스도 안 받는다고 하더라구요..', '이 친구가 남사친인데 제가 좋아하는 남자애이야기 제발 하지말라고 사정사정하고 화도 내고 좋게 말도 했는데 제가 자주 했거든요.. 듣기싫다고도 했는데..ㅠㅠ', '그뒤로는 보자고해도 시간안된다 바쁘다..\n전화도 안하고 장난도 안 쳐요..저는 변하지않을꺼라면서..그래서 그러는건가싶기도 하구요..', '제가 놓으면 끊길 관계라고 다들 이 친구를 놓아주는게 베스트라고 하더라구요', '뭐가 왜 그러세요? 라는 말씀이신지..ㅎㅎ..하하 네 알겠습니다..!']"
엣프피랑 썸이 끝나고,"['이틀까진 제가 스토리 안올려서 저랑 맞팔인걸 까먹었던건지 맞팔 상태였는데(저번에 썸붕 났을땐 언팔)', '이번엔 제가 스토리 올리자마자 차단 당했는데 아예 정이 떨어져버려서 차단을 한건가요?', '보통 엣프피는 언제 인스타 차단 카톡 차단 하나요?']",Infp걸,"['저는 엣프제랑 사귀고 헤어질때 당일날에 차단당했어요\n근데 일주일 지나니까 차단 풀려있던데요..? 흠\n갑자기 홧김에 차단하긴하더라구요 그리고 진짜 인연이 끝났다싶을때도 하고.. 상대방의 마음은 모르겠네요 ㅠ', '그 뒤로 연락하셨었나요?? 아님 연락이 오셨었나요??']"
엣프피랑 친해지기 성공 오예,"['ㅋㅋ 호감남인데', '오늘 둘이 카페가고 드라이브하고 산책하고 커피먹고 저녁먹고', '', '그 분이 저한테 이성적 관심있나는 아직 모르겠는데', '오늘 많이 친해진 것 같아요 ㅋㅋ', '', '처음에 낯 가리던데', '오늘 말도 많이하규 웃기도 많이 웃더라구오', '', '저는 덕분에 햄복했습니닼ㅋㅋㅋㅋㅋ', '', '엣프피 넘 다정해❤️']",하이루미,['응원합니다~🤗']
ESFP 남자 이별할때,"['ESFP 남친이 저와의 이별을 생각하는 것 같은데', '만나서 이야기해보자고 하면 만나줄지 모르겠네요..', '', '붙잡을려고 하는거 아니라고', '부담없이 얼굴보고 이야기하자고 하면 나와줄까요?']",욜룰룰ENTP,"['회피형이면 읽씹이나 안하면 다행이죠..', '읽씹은 안하는데요ㅜㅜ엉엉']"
ESFP 이별 방법 보통 어떻게 할까요?,"['카톡? 만나서? 전화?', '이별 어떻게 하나요 보통?', '']",욜룰룰ENTP,"['만나서요', '그전에 티 내나용?', '식으면 티나요….', '본능적으로 이 사람이랑은 안 맞는다고 주기적으로 느껴온 사람인데\n만나면 너무 좋았던 사람이라 마음이 약해질거라 생각하면\n대면 이별은 안 하려나요?', '아녀 맘 확실히 먹엇음 해요']"
