title,contents,author,comments
잇프제 연인으로 어떤것같나요?!,"['istj estj분들!!', 'isfj여자 여자친구로 어떤가요?', '이유도 말씀해주세요']",레몬 isfj,"['저는 잇프제 남이랑 사귀고 있지만 대신 답변할게요. 사귀면서 사랑받는다 라는 느낌을 많이 받게 해줬고 지금 내 감정이 어떤지 계속 확인하면서 많이 챙겨주고 배려해준다는 느낌을 받았습니다. 제가 엣티제라 애정표현에 어색하고 서툰면이 있는데도 많이 표현해준 남자였습니다. 아직 저도 사귄지 얼마 안 됐지만 배울점 많고 존경할 점이 많은 엠비티아이로 남친 덕분에 남아있네요. 혹시 저도 잇프제 눈에는 엣티제가 어떻게 비춰지는지 여쭤봐도 될까요 ?', '글쓴이는 아니지만 궁금해서 답글 남겨요 ㅠ 애정표현에 서툴다고 하신게 표현을 잘 안하신건가영,,? ㅠㅠ 서툴러서 못하는거랑 마음이 없어서 안하는거랑은 구분이 안되겟죠,,?', '마음이 없어서 안 하는거는 이미 말투나 표정부터 구분이 확실이 갈겁니다 ! 사랑한다 보고싶다 라는 애정표현이 부끄러움이 많고 어색하다보니깐 그런거에 주저하고 말을 잘 못하는거지 안하려고 참지는 않았습니다 !', '표정에도 큰 차이가 없는거 같운뎁,,,진짜 웃길때 말곤 늘 디폴트 표정인거 같애요', '그러면 관심이 없는게 아닐까요 ?', '일단 저는 화나면 말을 제대로못하는데, 엣티제분들은 자신의 주장을 논리적으로 따박따박말하는게 멋지더라구요ㅎㅎ 그리고 저는 타인이 주도하면 서폿해주는게 좋은데, 엣티제분들이 리더십도있고 잘 이끌어주는게 저에게 매력적으로 다가옵니다!!ㅎㅎ 신중한 모습도 좋아요. 혹시 댓작성자님께서는 잇프제 어떤 부분에 반해서 사귀게 되셨나요? 제가 엣티제 짝사랑중인데ㅜㅠ 저의 어떤점을 어필할 수 있나해서요', '우선 다정함과 따뜻함 그리고 비전이 보이는 사람을 좋아했어요 ! 다정함과 따뜻함은 기본 베이스여서 패스하고 목표가 뚜렷하고 열심히 사는 모습을 보여주는 사람을 좋아했어요. 엣티제는 살짝 썸이나 짝사랑 기간이 늘어나면 관계를 의심하고 마음 접는 일도 일어나니깐 기간에 대해서도 참고하셨으면 좋겠어요 ! 그렇다고 너무 빨리 마음을 잡아놔라 그 말도 아니에요 !']"
잇티제는 너무 사랑하면 돈을 쓰나요?,"['잇티제가 이직하고 나서 연봉이 올랐는데 요즘따라 돈을 많이 써서요... 저는 부담스러워서 덜 쓰게 하려고 일부러 싼거 먹고 하는데 잇티제는 본인이 쓰는거에 별로 신경을 크게 안쓰는거 같아요(한없이 다정...)', '', '데이트비용 얼마 쓸지 이미 모든걸 다 계획해두고 안전하게 쓴다는것도 알고 그외 여윳돈 있는것도 아는데 사랑하면 많이 써도 다 괜찮은가 싶어서요.', '', '잇티제가 저는 많이 못쓰게 해요...', '제가 먼저 계산서 스틸하면 무섭게 ""내놔"" 해요ㅋㅋㅋ', '', '아껴쓰자고 하면 기분 안나쁠까요?', '아니면 그냥 받아들이는걸 좋아할까요?']",삐뚤어진 잇프제,"['돈 쓰는게 부담되는걸 알지만 직접적으로 말하기 보다는 나를 위해 사용해주는 것은 너무 고밉지만 우리 미래를 위해 조금만 아껴서 쓰고 싶다고 해보셔요 그러면 기분도 좋고 아끼기까지 할 것 같습니다 잇티제들이 원래 사랑하는만큼 아낌이 없다고 하도라고요', '미래를 위해 조금만 아끼자고 하면 괜찮을거 같네용! 어떻게 말해야할지 몰라서 난 왜 못쓰게 하냐고 째려봤었거든요ㅠㅠ감사합니다', '맞아요 약속 진짜 잘지켜요! 물질적인것도 제가 뭐 구경하면 사줘? 해요 전 그것도 부담스러워서 매번 안받지만용...물질적인걸 주는게 표현이구나..', '저는 제가 아껴쓰자고 말하는 입장인데여 ㅋㅋㅋ ㅎㅎ\n아무래도 제가 여자라 그런지... 남친이 저한테 돈을 너무 많이 쓰는 입장!(엣팁이 좋아하면 돈 1도 안아낀다드라구여)\n그래서 제가 늘 아껴쓰자고 말하는 입장이여', '오호! 그럼 아껴쓰자고 하면 기분 안나쁘겠죠?! 본인이 정해둔 선에서 쓰는거라 괜찮다고 할거 같아서요', '기분 나쁠게 전혀 없어보이는데여 ㅋㅋㅋㅋㅎㅎ 저는 걍 제가 대놓고 선을 정해놔요 ㅋㅋㅋㅋ 이정돈 안돼~ 너무 투머치야~ 거긴 너무 비싸니까 열로 가자 여기가 더 난거 같아~ 하면서 제가 리드해여 ㅋㅋㅋ 남친 입장에서도 가격도 더 합리적인데 장소도 더 나은데 여친까지 더 만족하면 1석 몇조여~~!\n\n아 이건 제 남친이 잘 따라주는 p라 가능한건가 ㅋㅋㅋ\n잇티제인 제 입장에선 기분 나쁠게 1도 없음!', '아뉘 제가 요렇게 고민하는 이유가 맨날 저보고 괜찮다고 화내여!ㅠㅠ잔소리도 엄청 하고ㅋㅋㅋ저도 고냥 넉살부리면서 에헤이! 비싸비싸! 딴거! 해야겠네여', '제 잇티제두 “너한테 쓰는건 하나두 안 아까워 !!” 하면서 펑펑 쓰고 사고싶은거 그냥 사구하길래 제가 “오빠 나가서 힘들게 번 돈인데 막 쓰고싶지 않아” 했더니 오히려 감동받더라구요 🤭 그뒤로 저흰 제가 조절가능한 선에서 ’소고기 2주에 1번만 먹기‘ 이런식으로 줄였어요 !', '오! 힘들게 번돈 막쓰고싶지 않다! 메모장에 끄적끄적...되게 감동적이네용!ㅠㅠ 저는 소고기까지는 사달라구 못하겠어용ㅋㅋㅋ', '애인한정 돈 아깝단 생각안하고 쓰는편이긴합니다..', '저도 돈 많이 써요… 사귀면 제가 남자처럼 돈 쓰려하고 리드해요ㅋㅋ..']"
회피형 잇티제 ...,"['', '항상 다투거나이러면 잠수타고', '제가오히려 다시연락해서 푸는편이였어요', '', '저도 저중에 잘한건없고', '""그만연락했으면좋겠다""', '라고몇번 내뱉었고 나중에 알고보니', '잇티제친구가 저말에 상처를받았고', '', '최근에 싸울때도', '""이야기를 그만하고싶다""', '또 회피하길래 지금까지 너랑이야기해보려고', '기다린 나는 뭐냐 회피만이 답이아니다', '나와 더이상 연락하고싶지않으면', '차단하겠다해서 차단했고', '그친구도 저를차단했는데', '', '4일이지난 지금 보니 차단이풀어져있네요', '이럴경우', '다시이야기해보시나요 물론재회를바라는건', '아니에요 저도 못한말도있고 오해도있어서 그걸풀고싶은거일뿐입니다.']",구름ISFP,"['왜해요 안해요\n전 회피하는 찌질이 스탈 싫어해서요; ㅋㅋ', '앗 잇티제님 잘지내셧어요?\n정말 회피에 피말라는죽는줄알았어요ㅜ\n물론저도잘한건없지만..^^; 못한말이 너무많다보니 울컥울컥하네요ㅎㅎㅎ', '어차피 회피형들은 들을 준비도 안되어있을걸요 ㅋㅋ', '헉 그런가요??근데왜차단을왜푼걸까요\n회피형남자를 처음만나봐서 어질어질하네요', '차단 푼거는 차단목록에서조차 지우기용일 수 있죠 ㅋㅋㅋ 차단은 풀고 연락은 안온거면 뭐... 그냥 정리한 거 같은데요', '그러겠죠? 저도 정리는 다했는데 못한말이많아 ㅜㅜ 억울합니다ㅜㅠ큐유...ㅜㅜ답글 감사드려요! 좋은하루보내세용😀', '하지마세용ㅇ 차단 풀고 후회한거면 먼저 연락 올거예여 상대가 대화 피해놓고 또 먼저 말 걸길 바라는 심보는 너무 못됐잖아요!', '감사드려요! 헤헤 회피형을 처음만나봐서 어질어질하네요@,@', '연애든 결혼이든 싸우지않는것보다 싸우고 어떻게 푸느냐가 가장 중요하다고 생각하는데 회피하는 방식은 제일 좋지못하다고 생각해요\n크게 다퉈서 타협점을 찾든 조근조근 대화를 하든 접점이 있어야하는데 자기 힘들다고 연락끊는것만큼 무례한건 없다고 생각되요 만나도 힘드실것같고 관계발전이 없을것같아서 안하시는게 좋을것같아요..ㅠ', '맞아요 저도 님이랑 같은 생각이에요 지지고볶고싸우든 풀던안풀던 중간이있어야한다고봐요 자꾸회피하길래 몇번이나 회피하는 성향은 별로좋지않다했었구요\n저도물론관계에서잘한건 없지요\n헤어짐을반복했으니 일단 좋은댓글감사합니다😀', '으악 ㅜ 진짜 회피 넘 짱나용,, 저는 연락했어요 제가 답답해서 할말은 다 해야겠더라구요', '헉....잘푸셩나요ㅜㅜ?', '넹 얘기는 잘 했어요!']"
Estj,"['estj와 이별한 사람입니다', '얼굴 보고 이야기 하고 싶었는데 그정도까진 그 상대방에게 제가 중요한 사람은 아니였나봐요. 본인은', '마음정리를 다 했다고 하더라고요..', '그래서 저도 그사람이 더 좋은 사람 만나서 행복하게 지내길 바라고 있네요', '다시 만나는 건 어렵겠지만', '그래도 그땐 행복했으니까요. estj와 연애 하시는 분들 힘들어 하지말고 좋은 시간 많이 보내셨으면 해요.']",엘버,"['엘버님의 따뜻한 마음이 느껴집니다.\n연애 상대였던 ESTJ분은 어떤 분이셨나요?\n제가 겪었던 ESTJ는 차갑고 정 없고 성격이 모난 분이었는데', '엄청 다정했고 배려심이 많았던 사람이였어요.\n뭐랄까 뚝딱뚝딱 했지만 그래도 표현력은 대단했죠', '다정하게 먼저 해주니 본인도 같이 다정한 사람이 되었죠? 근데 제가 말귀를 못 알아 먹는 게 좀 커서 상대방이 많이 힘들어했었어요\n일 때문에 바빠서 많이 만나지도 못했고.. 그게 아쉬움이 젤 크네요', '제가 만났던 ESTJ분도 차갑긴 했어도 책임감과 속정은 매우 깊으신 분이었습니다. 똑똑하고 재주도 많으셨죠.\n그분과 지내면서 힘든 순간도 많았지만 그래도 그분과 만나서 다행이었다고 생각해요.', '말귀를 못 알아 들어서 화를 내거나 하진 않았었나요? 제가 만난 ESTJ분은 화와 짜증을 많이 내셨었어요 ㅎ;', '짜증은 내지는 않았고\n여러번 설명을 해줬어요!', '맞죠 맞죠 저도 엄청 다행이라고 생각해요', '좋은 추억이었다고 생각하시고 다음에 만날 다른 만남을 기대하셨으면 합니다. 분명 더 좋은 만남이 있을겁니다!', '네네. 근데 아직은 그분에 대한 감정이 어느정도는 있어서 다 없어질때까진 마음이 열진 않을 거 같아요. ㅋㅋ 감사합니다!', '허허 무슨일 있으셨어요?', '헐 저랑 비슷했네여', '그러면 물어보세요..', '솔직하게 말해줄겁니다', '에헤이 아닙니다', 'estj 와 이별을 고민하고 있는 1인입니다 ㅠㅠ', '헐.. 왜여..', '와..이렇게 정신적으로 성숙하고 멋진 분이라니!!!! 저도 엘버님같은 마인드를 갖고 싶네요 ^^', '허호 아닙니다.. 전 어린앤데요', '저보다도 한참 어리신데 이런 성숙한 마인드를 가지셔서 부러워서 그래요 ^^', '예? 저 20대후반입니다..']"
estj 남친,"['estj너무 조아요,,', '처음에는 저랑 mbti가 다 반대라 무섭기도 하고 첫만남 자리가 친구 남자친구의 친구여서 술 자리였는데 엄청 과격하도 쎈 느낌이라 안 맞는다 생각했는데', '그 후에 연락할 때는 세상 다정하고 말 없는 저한테 계속 말 걸고 정성스런 카톡에 바로 다음날 약속잡는 추진력까지!', '일주일 매일 만나면서 썸타고 바로 사귀었네요 ㅎㅎ', '서운하다하면 바로 피드백해서 고치고', '찡찡대지않고 기승전결 딱 지켜서 말하니까 자기가 잘못했다고 인정잘하고 사과 못한다 그랬는데 사과도 잘하고', '자기만의 일상패턴이 확실해서 걱정도 안돼요', '', '처음보다 말로하는 표현은 줄어서 가끔 서운하지만', '일주일에 1번 데이트 하는데 그 시간이 너무 재밌고 행복해요 둘 다 하루종일 웃다가 끝나는 거 같아요', '저를 웃게하는게 좋은건지 만나면 멍뭉이처럼 애교도 부리구 성대모사도 하면서 막 웃겨주고', '제 반응이 재밌는지 장난치구 놀리고 가끔은 한 대 콩 쥐어박고 싶은데 그런거에 아기처럼 신나서 웃는 남자친구가 너무 귀여워요,,ㅎㅎ', '', '처음에는 볼이 딱딱했는데 제가 너무 많이 만져서 그런지', '지금은 말랑카우가 됐네요 ㅋㅋㅋㅋㅋㅋㅋ', '', '생각보다 진국에 로맨틱하기도 하더라구요!', '약속시간보다 일찍 도착해서 근처에 뭐 구경할 거 있나', '돌아봤다고 만나자마자 보여줄 거 있다고해서 따라갔더니 남자친구 닮은 마시멜로우 인형 팝업스토어?에서 인형도 사주고', '어제 급으로 만났는데 집애서 쪼물쪼물 샤인머스켓 챙겨서 나와서 먹으라고 주고', '귀여운 캐릭터 보면 챙겼다가 줄 거 있다고 싱글벌글', '웃으면서 주고 ㅎㅎ 너무 애기같고 귀여워서 미치겠어요', '', '남자친구: 밥 먹구올게요옹!!ㅎㅎ', '저: 맛나게 먹오 바부야 ㅎㅎ', '남자친구: 다 먹었당! 근데 내가 왜 바보야........', '저: 난 귀여우면 바보라그래 바부야 ㅎㅎ', '남자친구: 그럼 00이는 왕바보네?!?!?!?!', '', '이런 말들이 애정표현같기두 해서 가끔 설레고 너무 좋아요 ㅎㅎ', '', '4살 오빤데 우쭈쭈 해주는 거 좋아하구 챙겨주는 거 좋아하구 진짜 애기같아요', '가끔 덤벙거리구 바보같기두 하구 ㅎㅎ', '', '중간에 한 번 헤어졌었지만 바로 다음날 연락와서 다시', '만나고 그 후는 전보다 더 알콩달콩하게 어느새 250일이', '넘었네요 ㅎㅎ', '', '가끔은 이게 사랑이 맞나? 라는 생각도 들지만 만났을 때 너무 재밌어서 재밌고 행복하면 됐지 하는 마음으로 이쁘게 만나구 있어요', '건강한 estj에게 배우면서 하루하루 성장해나가는 인잇프피였습니당']",쿼카 insfp,"['ㅠㅠ보기만해도 예쁜 커플이네요!!\n오래오래 행복하게 만나시길 바래요 :)', '남편되면 더좋습니다\n13년차 한결같은 아니 연애때보다 더 잘해줘요', '잇엣티제와 썸 중인데 부디 저도ㅜㅜㅜㅜ', '저도 estj 남친이랑 만나고 있는데 말씀하시는 내용에 공감하면서 봤어요 ㅎㅎ 그런데 중간에 한 번 헤어지신 이유가 궁금한데 알 수 있을까요??']"
estj남친,"['estj는 연인에게 서운한게 없나요?!', '저는 애인이 평소보다 답장 느리고 그러면 뭐하는지 궁금하구 언제 카톡오나 기다리는데', '남친은 제가 어차피 집에 있는 걸 아니까 답장 늦어도 그냥 쉬고싶을 수도 있고 귀찮을 수도 있으니 안 서운하다고 하는데', '뭔가 그래요,,', '', '보통 사귈 때는 어떻게 애정표현을 하나요?ㅜㅜ', '지금까자는 애정표현 엄청 많이 하는 사람들만 만났었는데 이렇게 애정표현 없는 사람은 처음이라 헷갈려요,,']",쿼카 insfp,"['표현직진은 엣티제가 최고에요\n꽂히면앞뒤안가리고 그냥저지름\n그리고 금사식되거나 자기일하러갑니다\n상대가 F면 T한테 상처많이받게되요~', '맞아요ㅜㅜ 썸탈 때는 맨날 보고싶다 하고 귀엽다 하고 완전 직진 불도저 였는데 지금은 안정기? 가 돼서 그런가 차분해진 느낌!\n말로 하는 표햔이 딱히 없어요ㅜㅜ 보고싶다 귀엽다 라는 말도 이젠 안 하구\n그래더 카톡 답장 일할 때 빼고는 15분 이내로 다정하게 오고 가끔 선물도 주고 꼭 제가 먹고싶어하는 거 먹고 저범에 샤인머스켓 먹고싶다했는데 오늘 집에서 챙겨나왔더라구요 말로는 표현안 해도 이런게 다 표현인가요..?\n만나면 애교도 부리구 엄청 장난치구 그러는데 장난치는게 친구같기도 하네요,,', '제 엣티제는 오히려 처음에 무뚝뚝하다가 지금은 애교랑 애정표현 엄청나요..! 제가 하다보니까 느는 것 같아요 쿼카님도 더 표현하다보면 배우시지 않을까요 ㅎㅎ\n서운한 건 공감하는 게 본인이 싫어하는 부분 (남사친, 술자리 문제) 아니면 타유형 남자들보다 진짜 안 서운해하는듯 .. 신기해요', '그쵸ㅠㅠㅠㅠ 무뚝뚝하지는 않은데 썸탈때보다 말로하는 표현이 줄어서,,ㅎㅎ확실히 안정기가 되니까 만났을 때 애교가 엄청 많구 다정하구 여러모로 조아요 재미두있구 ㅎㅎ', '연인에게 서운한거 있죠!\n내맘 몰라줄때 근데 f라면 알아줘서 서운한게 없을수도 있어요\n글고 말로는 표현을 진짜 안해요..\n말보단 행동으로 하는편이라\n애정쵸현도 행동으로 한다고 보면되요\n잘해주고 챙겨주고 도와주고 그런행동이요!', '오옹 다 그렇군용...만났을 때는 진짜 애정표현 많기는 해요!\n근데 저는 덤벙?거리는 타입임데 이런 거 싫어한다그래서ㅜㅠ\n가끔 딸 키우는 거 같다고 하면서 이리저리 다 챙겨주는데 그런거에 정 떨어질까봐 걱정되네요', '장난치는것도 애정표현인가요..? 놀리고 괴롭?히는거..', '덤벙거리면 좀 답답한면ㅇㅣ 잇지만 그런건 관찮아요ㅋㅋㅋ챙겨주면 되니까\n근데 ""아 이건좀 아니잖아..이거까진 못맞쳐줘 이건 너가고쳐"" 싶은걸 안고치면 정떨...이죠\n누구나 다하는 기본적인 것들! 그런거요ㅋㅋㅋ\n장난치는건 한번해봤는데 반응이 귀엽다던지 재밋어서 계속하는것일걸요', '오오 다행히 아직은 고치라고 하는 건 없내요 ㅎㅎ', 'ㅠㅠ 그게 다 애정표현인가봐요 ㅎㅎ']"
[직장인에게 질문] STJ 호감표현? 이성적호감 or 인간적호감,"['가장 확실한 호감 표현은 물질적인 지원 & 선물 공세라고 들었는데,', '물론 기브&테이크 개념이나 비지니스적으로 챙기는 경우도 많지만', '뭔가 평소에 줬다면', '인간적인 호감은 생성', '된거겠죠?', '', '그럼,', 'A.', '이성적 호감', '인지', 'B.', '인간적 호감', '인지,,어쨌든 좋은 사람으로 여기고 있을 가능성이 높다고 생각은 되는데', '어떻게 구별할까요?', '', '최근에 STJ 이성으로부터 선물을 받았는데,', '정말 대가를 바라고 준 선물은 아니라는 느낌이었거든요....', '평소에 저를 관찰하고 취저선물을 주기는 했는데,', '정말 궁금해져서 말이죠.', '', 'A OR B', '??????', '바운더리에 들어간건지????', '궁금합니다', '']",tutti,"['선물 준 걸로만 판단하긴 힘들 거 같아요! 지금 남친이 estj인데 썸탈 때 선물도 선물이지만 계속 둘이 만나려고 하고 맛있는 거 사주고 보고싶다하고 음 자기의 생활패턴을 깨고 보더라구요!', '루틴을 바꾼다, 이건 백퍼인데요?', '저것만으로는 모르겠는데여\n저는 이성적 호감은 질문과 연락이라 ㅎㅎ\n선물만으론 모르겠고 어떤 상황에 왜 준건지도 중요할 것 같고...', '일단 다른 사람들의 시선을 신경쓸 수 밖에 없는 직장에서이고, 같은 팀인데\n제가 일찍 출근하는 거 알고 비슷한 시간에 미리 와서 취저 향수 선물을 주고 갔.....어요', '그럼 호감 아닌가엿?!?', '호감은 맞는 것 같은데, A.인지 B인지 구분이 애매하다면 확실한 포인트가 있을까요?', '음.. 근데 인간적 호감으로 굳이 취저 향수 줄 이유가 있나..... 확실한 포인트는 아무래도 위에 말한 것처럼 질문도 많이 하고, 데이트 약속 잡는거요 ㅎㅎ', '챙겨준거 말고 뭐 없다면 인간적 호감이라고 생각하셔야 할듯요', '??향수를 왜...ㅋㅋㅋㅋㅋㅋㅋㅋ향수무엇...??', '그냥......은 아닌 듯 해요. 품목이 향수라 취향에 맞는 것으로 선물하는 것도 센스가 좀 필요한건데, 일단은 좋은 의미로 두고 잘 써줬으면 좋겠다해서 잘 받았어요\n평소에 미리 정보가 오고 가기는 했는데, 은연 중에 말했던 것을 기억해둔것 같은데 말이죠', '근데 STJ들은 목적과 달성이 명확한 사람들 아님니까? ㅋㅋㅋ\n선물이란 자고로 상대방의 행복을 위한 것,,,,,,,><', '저도 이성적 호감은 질문과 연락이고 연인이 된후에는 주고싶은걸 다 줘요. 다만 선은 있음. 어제는 집앞에 있는 꽃 몇개 꺾어서 꽃집가서 꽃다발 만들어서 줬어요. 기념일이라 준거 아니고 그냥 그 분홍색 꽃을 봤는데, 주고싶어서 그랬죠. 마음가는대로 행동하거든요.\n\n그리고 연인 사이 아닌데 준거면 그냥 물어보세요. 물어보면 답해주거든요 ㅋㅋㅋㅋㅋ', '집 앞에 이렇게 아름다운 꽃이 있어요? 그런데 정말 로맨틱하십니다 여자친구가 정말 감동하셨을 것 같네요. 우아.....', '생각 = 행동, 주로 STJ들은 감각적이고 클리어하고 복잡하지 않은 편이어서 그냥 그자리에서 솔직하게 물어보았으면 좋았을 것 같다는 생각이 드는데 다른 이들도 곧 출근시간이라 그럴 틈 없이 말도 짧고 간결하게 전해주고 갔거든요,\n저도 고마워서 부담되지 않게 작은 보답을 했는데, 이성적 호감이면 또 기회가 생기겠죠?', '그렇긴한데, 너무 오래 끌진 말아주세요. 혼자 잘못된 상상으로 체념하는 경우도 종종 있어서요. 확신을 주셔야되요. 그러니까 가장 좋은 방법은 돌직구로 물어보는 방법이죠.', '전 인간적 호감일때도 선물 주는데요! 워낙 관찰을 잘하는 타입이다보니 그사람 취향선물을 줄때도 많구요! 감사함만큼 가격대 있는거 드리구요\n저는 오히려 진짜 좋아할때는 작고 소듕한 선물을 줄 때가 많아용 초콜렛이라던가 부담가질까봐 더 조심하는거 같아요']"
엣티제 썸녀 호감 표시를 어떻게 하나요?,"['처음에 제가 번호 따서 연락중인데', '저도 엣티제라 전 예쁘다,보고싶다,같이 뭐하자 이런식으로 호감표시는 하고 대놓고 좋아해! 까진 아직 못하겠더라고요…', '', '근데 썸녀 호감표시는 아직 모르겠어요 그게 호감표시인지 아님 저의 과대해석인지', '만나서 밥 먹게 되면 항상 여자분이 결제하시거든요… 제가 저번에도 얻어 먹어서 산다해도 자기가 사주고 싶다고 하고 처음엔 그냥 끝낼려고 사주는건가? 싶었는데 계속 사주니까 호감인가 싶기도 하고', '썸녀가 카톡이 좀 느린편인데 먼저 얘기하면서 양해도 구하더라구요.. 원래 그런 습관이 있어서 미안하다고', '', '뭔가 고백하고 싶은데 그냥 친구사이에서도 있을 수 있는 일 일까 싶기도하고 고백했다가 차마 실패하면 더 못 만날수도 있을거 같아서 망설여지네요..']",이순신,[]
T가 이렇게 하면 관심 있다는 뜻입니다,"['1. 말을 끊지 않고 끝까지 듣는다.', ""T 는 관심 있는 사람을 만나면, 24h 가동되는 '무논리 감지 센서'를 잠시 멈춥니다."", '이후엔 상대의 말이 논리가 있는 없든 상관하지 않게 되며, 끝까지 말을 경청하게 됩니다.', '', '2. 연속 질문을 던진다.', 'T는 관심 있는 사람을 만나면, 사소한 것 포함하여 모든 것이 궁금하게 됩니다.', '알고 싶은 마음이 너무나 커, 상대의 마음은 살피지 않고, 왜? 어떤 것 때문에 그렇게 된 거야? 등', '연속 질문을 쏟아 냅니다.', '', '3. 선/ 공감, 후/해결책 을 제시한다.', 'T는 관심 있는 사람이 고민을 이야기하면, 먼저 최대한 상대의 마음을 헤아리며 공감을 해줍니다.', ""작동을 잠시 멈춰놓았던, '자동 뇌해결 시스템'의 스위치를 켜고, 지금 당장 가능한"", ""'현실적이며 효과적이며 효율적인 해결책'을 제시합니다."", '', '', '출처: 엔티제는 왜그럴까', '', 'T분들 공감하실까요?', '나의 스타일은 어떤지 댓글로 공유부탁드립니다.']",tutti,"['관심이 있든 없든 무논리는 못참아요', '2 무논리가 계속 되면 관심이 식지만 그래도 듣는 척은 해 줘요... 어어 그렇구나 까지가 한계', '어어 그렇구나 근데 이건 이렇지 아늠?', '역시 T는 T끼리 군요', 'ㄹㅇ ㅋㅋ 동감이요', '맞아요. 관심상대라도 무논리는 못참아요 ㅋ\n정말 무논리 지속되면 관심 식음.. 그렇게 되면 무논리로 떠들거나 말거나 노관심..(안듣기)', '짜게 식어갈 수 있음 주의....포인트', '1. 동의\n2. 부분 동의 (상대 편한게 우선시)\n3. 동의\n\n그리고 좋아하면 무논리도 무논리로 같이 놀아줍니당', '전반적 공감이시네요 리스닝 후 스피킹 어바웃 솔루션 ㅋㅋㅋㅋ', '엔티제가 썼다 생각했는데 역시! 너무 존똑이에요 저는 t지만 잘 안물어보는데 ㅋㅋ 논리도 없구여', '엔티제분이 격공하셨으니 신뢰할만한 포인트인데요?', '무논리는 정이 떨어지는 포인트입니다. 입을 닫고 듣기만 한다는건 안좋은 증세네요. 저에게는 상종을 안하고 싶다는 의미입니다.', '정떨어지는 포인트...메모.', '질문이 많다? 무조건입니다\n관심없으면 왜 질문해요', '자기 주관이 강할 것 같지만, 은근 다 들어주고 은근 다 받아준다고 느끼는 중입니다', '진짜 신기할 정도로 카톡을 나눠서 보내는데 다 물음표가 있어서 머부터 말해야할지 대답 못해줄때도 있었어여 ㅋㅋ 그것도 계획이에요?,질문도?? 답장 오게끔?', '계획을 짜기 위한 정보수집이라고 생각하시면 되요 ㅋㅋㅋㅋ', '3번 진짜 동의요', '상대가 논리있게 논쟁하는거에서 반했는데\n논리 없으면 곤란하죠', '사실 이것은 F도 마찬가지라고,,,보는 F입니다', '헉 저도 엔티제 인데 다 맞아욬ㅋㅋ', '좀비바이러스가 세상을 지배하는 스토리를 끝까지 들어주고 있는걸 보면...', '글씨 형광처리 때매 안보이는거 저만 그러나요..? 1,2 는 읽엇는데 3은 머라쓴거에요ㅜㅜ?', '연속질문 공감입니다 ㅎㅎㅎ 그 사람에 대해 더 알고 싶어서 계속 물어보게 됩니다', '다 공감되는데 1. 싸울땐 무논리 버티기가 힘들더라구요 그래도 버티는거 보면 사랑이겠죠 ㅠ', '무논리면 있던 관심도 떨....', '그냥 시덥지 않은 무논리면 가볍게 음 그래?하고 살짝 이해안간다고 하고 넘기는데, 다툼 상황에서 무논리로 나오면 진짜 이해불가', '미치겠다ㅋㅋㅋㅋㅋ처음부터 끝까지 싹 다 저네요']"
남자 잇티제분들 여사친 변화에 대한 질문이용,"['잇티제분들께 질문드려요..!!', '만약 본인이랑 평소에 일상적&약간의 장난식의 연락을 몇마디씩 나누는 여사친이 있다는걸 가정하에..', '(부랄친구는 아니고 그냥 친구?여사친?느낌 잘 안만남)', '', '(이 여사친이 평소 인스타 스토리에 자기 얼굴 올리는편)', '근데 갑자기 몇주뒤에 여사친 스타일이 확 바뀐 채로 인스스가 올라옴 그게 잇티제분들 스타일?이상형?에 가깝게 바뀌었다고 치면요', '', '이 바뀐 여사친이 만약에 잇티제분들께', '연락 더 자주하고 적극적으로 대시하면 어떨거 같나요?', '마음이 조금이라도 쏠리게 될거 같은지 궁금해요..', '', '', '']",은enfj,[]
