comments,comments_writer
자유주의자인듯요,볼프
이건 좀..ㅋㅋ 도둑질 해도 자유주의라 하겐네요...ㅋㅋㅋㅋ,뭔가 엔팁
도둑질은 형법상 범죄고 자유연애주의는 범죄는 아니라서요,볼프
"유부남과 연애를 해서 피해보는 사람이 있다면 윤리적 범죄죠. 법에서 피해갈 수 있다면 괜찮다는 주의는 굉장히 .. 정상적으로 보이진 않네요.

자유와 방임을 혼돈하지 말아야죠.
자유는 법적 뿐만 아니라 기본적으로 도덕적 범주 내에 있는걸 말합니다.",뭔가 엔팁
"남자 와이프분 입장에서는 불륜인데, 그것도 자유주의라고 생각하세요 혹시?
가정을 망쳤잖아요.",웬프줴
"괜찮다고 한적 없음니다
그리고 도덕적으로 계속 더 자유범주가 확대되고 있어서요",볼프
"이미 비범죄화 됐고 자유연애의 일종이라고 생각해요
저는 현대 자유연애주의가 가정을 망치고 있다고 보여서 비판적인 입장임니다",볼프
"자유라는 표현 자체가 틀렸어요. 그래서 거슬리는겁니다.

자유는 도덕안에 있고
도덕은 기본적으로 공존을 목적으로 만든거니 남에게 피해를 주는 행위 자체가 허용 되지 않는게 베이스인데 아무리 확대되도 기본 뿌리는 안바껴요.

자유범주가 아무리 확대된다 도덕 안에 있고. 피해자가 존재하는 한 그 행위는 더 이상 자유가 아니죠.
요즘 확대되는건 그동안 너무 불필요하게 보수적이었던게 하나씩 풀리는겁니다.

자유라는 표현을 너무 남용 오용 하시는듯요.",뭔가 엔팁
"자유간음, 자유낙태는 어떻게 생각하세요?",볼프
거기까지 생각하시기 전에 왜 뭐든 앞에 자꾸 다 자유를 붙이는지는 모르겠지만 자유병에서 얼른 쾌유되시길 바랍니다.,뭔가 엔팁
"카페회원에게 병 운운하는 자유로운 댓글 외 할말은 없으신거죠
자유라면 그저 좋은줄아는 새럼들이 많아서 한번더 생각해보라고 자주 붙여 쓰곤한담니다
그럼 이만😊",볼프
네 님에겐 그 외엔 붙일 수식어가 없네요.. 회원도 회원 나름이라.. 그럼 🙂,뭔가 엔팁
"전 볼프님 말에 동의하는데. 자유 맞죠. 다만 자유에는 책임이 따른다고, 그 자유에 따라 도덕적 책임이 같이 따라올뿐. 자유라는 표현이 틀린건 아닌거같아요. 다만 그 자유를 추구한다면 사회적 질타를 받을 뿐 . 자유라는 단어가 크게 문제되지는 않을 것 같습니다. 노숙자도 자유고, 말씀하신 낙태를 하던말던 그것도 개인의 자유죠. 다만 사회적으로 책임이 따라오는 부분이라, 자유가 도덕적 범주 안에 있다는건 처음들어보는 정의네요. 자유가 도덕적 범주안에 있는게 아니라, 도덕적 범주안에서 자유롭게 살아야 하는 것 아닐까요? 일례로 바람을 피우는것도 개인의 자유입니다. 다만 그 자유가 정당화될수는 없죠. 볼프님은 저 자유가 합당하다고 한 적 없습니다. 규범적 시선에 의하면 당연히 질타의 대상이지만, 그것이 법치주의에서 정한 불법이 아닌 이상은 개인의 자유라고도 표현할 수 있죠",어쩔까
