title,contents,author,comments
고졸 학점은행제 활용 학위 취득,"['학점은행제를 활용하여', '고졸이 학위를 취득하는 방법', '', '안녕하세요!', '저는, 이번에 4년제 학위를 취득했어요.', '대학교를 진학하진 않았지만', '4년제 졸업자와 동등한 학력을 보유했습니다.', '', '고등학교 졸업 후 대입에', '원하는 곳에 진학하지 못하였기에', '성적에 맞춰 진학을 할까 고민하다', '학점은행제를 통해서 학사학위를 취득하고', '편입을 하기로 결정을 하고 최종적으로', '학위취득과 이제 마지막 시험일정을 남겨두고 있어요.', '', '그래서 오늘은', '고졸 학점은행제를 어떻게 활용하고', '시간을 단축했는지 이야기 해드릴게요.', '', '', '', '고졸 학점은행제를 알아볼 때', '많은 분들이 오랜 시간동안 해야하는 과정이기에', '학습 플랜에 대해서 꼼꼼하게', '체크하고 학위취득까지 지원을 해주는', '곳에서 하라는 조언들이 많았습니다.', '', '', '', '', '그래서 찾아보니 너무나 많은', '교육기관이 있었고 제가 어떤 곳이 좋은지', '안심이 되는 곳인지를 몰라서', '전 확실하게 아 여기서는 괜찮겠구나 하는', '남서울대학교 부설 원격평생교육원에서 시작했어요.', '', '', '대학교 부설이기에', '안심하고 시작할 수 있었고 교육과정에 있어', '모든 과정들이 다 개설이 되어있고', '1:1 멘토를 통해서 최종 학위 취득까지', '다양한 도움을 받고 취득을 할 수 있었는데요.', '', '', '', '최종 학위 취득에 있어서', '돌발 변수들이 많았지만 멘토님 덕분에', '쉽게 해결해나갈 수가 있었습니다ㅏ.', '', '전, 경영학을 선택을 했고', '경영학은 기간을 단축는 방법들이', '꽤 다양하고 산업기사 및 기사 자격증을', '취득하는데 있어 해당되는 부분이 많았기에', '자격증 취득에 있어서도 도움이 되었어요.', '', '', '', '고졸 학점은행제를 통해서', '최소 2년~ 4년 정도의 시간이 걸릴 거라고', '주변에서 말을 했지만', '보통 3년에서 4년사이가 된다고 하시더라고요.', '', '근데 전 2년 6개월만에', '학위를 취득하였습니다.', '', '독학사 활용하고', '학점 인정이 되는 자격증들을 취득하면서', '기간을 단축할 수 있었는데요.', '', '', '이 과정에서', '남서울대학교 부설 원격 평생교육원의', '멘토님의 많은 도움이 있었어요.', '', '공부하는 과정에 있어', '어떻게 해야하는지 학습지원을 해주셨고', '행정처리는 물론이고', '시험에 대하여 다양한 도움이 있었기에', '제가 계획대로 공부를 이어나갈 수 있었어요.', '', '', '무엇보다,', '온랑니으로 학습이 진행이 되기에', '편입학원에 다니면서 같이 할 수 있었다는거', '이 부분이 매우 좋은 것 같아요.', '', '편입을 준비하는 분들을 포함하여', '직장인분들도 학사학위를 취득하기 위해서', '많이 시작을 하고 있는데', '간혹 불법교육원을 통해 피해를 받거나', '모든 과정이 개설이 되어있진 않아서 불편함을', '호소하는 분들이 있다고 합니다.', '', '', '그래서 전공에 대한 과정이', '전부 개설이 되어있어야 하고', '교육부 인가 교육원을 통해서 시작을', '하는 것이 매우 중요해요!', '그런 부분에 있어', '남서울대학교 부설 원격평생교육원은', '전혀! 걱정할 필요가 없고', '총장명의 학위가 발급이 되기 때문에', '솔직히 편입을 하지 않고', '이 학위를 통해서 취업을 준비할 수도 있어요.', '', '', '', '고졸 학점은행제로 학위를 취득하기', '위해서는 4년제는 140학점, 2년제는 80학점을', '취득해야하기에 정말 꼼꼼하게', '설계를 받는 것이 중요하고 기간이 최소 1년이상이기에', '안전한 교육원에서 하는 것이 중요하다는거', '한번 더 말씀드리면서', '관련 전공에 대해서 궁금한 점은 아래 정보를', '확인하신 후 자세히 알아보시기 바랍니다.', '', '', '']",엠헬제휴업체20,[]
"노후직업, 사회복지사자격증 알아보기","['', '안녕하세요.', '최근 노후대비를 어느정도 하고 있는지,', '노후 대비가 어떻게 이뤄져야 하는지에', '대한 뉴스들을 많이 볼 수가 있는데요.', '', '노후 대비를 저축만으로는 힘든 것이 사실이죠.', '그래서 노후를 대비할 수 있는 직업들이', '주목을 받고 있는데 그 중에서도', '사회복지사자격증은 단연 인기가 높습니다.', '', '', '오늘은 높은 인기를 보이고 있는', '사회복지사자격증에 대해서 이야기 해드릴게요.', '', '사회복지사자격증은 1급과 2급으로', '구분이 되어 자격증을 취득할 수가 있는데요.', '', '1급 자격증의 경우', '4년제 사회복지학과 졸업 및 국가고시를', '통과해야지만 취득할 수 있어', '상당히 난이도도 높은 편이고', '취득하는데 오랜 시간이 걸린답니다.', '', '', '', '2급 사회복지사자격증은', '사회복지학 관련 전공만 이수하면', '취득이 가능한데요.', '', '총 17과목을 이수하면 국가고시 없이', '자격증을 취득할 수 있기 때문에', '1급에 비해서 상당히 빠르게 취득하고', '쉽게 취득을 할 수가 있습니다.', '', '', '많은 분들이 사회복지사자격증을', '알아보시는데 2급과정을 알아보시기에 오늘', '2급 취득방법에 대해 알려드릴게요.', '', '', '', '사회복지사자격증 2급은', '일정과목만 이수하면 자격증을 취득할 수 있죠.', '', '하지만, 고졸이라면 전문대학교 학력이', '필요하기 때문에 학위 취득 준비도', '동시에 시작을 하셔야 하기에 전문대를 졸업하거나', '대학을 졸업한 분들보다는 조금 더 걸릴 수 있어요.', '', '', '', '대학을 졸업한 분들은', '1년 정도의 시간이 소요가 되고', '고등학교를 졸업한 분들은', '1년에서 1년 6개월 정도의 시간이', '소요가 되는데요.', '', '', '', '이 과정에서 사회복지사자격증', '취득 기간을 단축할 수 있는 방법은', '학점으로 인정이 되는', '자격증을 취득하거나 독학사 프로그램을', '활용하여 학점을 취득하여', '최종 취득하는 학점 수를 줄이는 방법이예요.', '', '', '사회복지사자격증을 취득하기 위해', '대학을 진학하지 않고', '학점은행제를 활용할 수 있기 때문에', '직장인, 주부, 중년층, 군인 등등', '누구나 언제든지 온라인으로 편하게 취득할 수 있고', '마지막 실습 과정만 마무리 한다면', '최종적으로 과정 수료 후 취득이 가능합니다.', '', '', '', '', '사회복지사자격증을 취득하기', '위해서 알아봐야할 조건 중 하나는', '바로 교육부 인가 교육원이라는 점과', '모든 과목이 개설되어 있는 교육원인지를', '꼼꼼하게 살펴보시는 것이 좋습니다.', '', '과목의 개설이 안되어있거나', '교육부에서 인가하지 않은 불법 교육원이라면', '다시 시작해야하는 불상사가', '발생할 수 있기 때문에 안전한 곳에서 믿을 수 있는', '평생교육원에서 하는 것이 좋아요.', '', '', '남서울대학교 부설 원격평생교육원은', '대학교 부설 교육기관으로', '남서울대학교 총장명의 학위증과 함께', '사회복지사자격증을 취득할 수 있고', '무엇보다 오랜 경력이 있는 멘토가 함께 하기에', '처음부터 끝까지 관리받으면서', '빠른 시간에 취득할 수 있습니다.', '', '', '안전하고 빠르게', '사회복지사자격증을 취득하는 방법,', '남서울대학교 부설 원격 평생교육원과 함께', '자세히 알아보세요.', '', '', '', '']",엠헬제휴업체20,[]
썸붕 후 카톡,"['썸붕 후 삼일만에 연락했는데 카톡하다 삼분도 안되서보냈는데 안읽씹이네요..후', '만나서 서로 호감표시하다가 제가 술먹고 뭐얘기하다 화내고 집온뒤 연락하다 저도 어색해서 주말잘뷰내라하고 상대가 안읽씹으로 끝났는데 지금도 안읽씹이내오ㅠㅠ', '']",바보바버,"['무엇이 문제죵?', '썸붕하고 삼일만에 제가 모해라고 보내고 이어간카톡인데…마지막도 저렇게 안읽씹으로 끝나서ㅠㅠ', '한시간정도 지나긴했는데 이따가 다시오지않을까요? 상대방이 썸붕 확정을 지은건가요?', '썸붕이었다 삼일만에 제가 모하냐고 연락한건데… 썸붕날때도 저렇게 안읽씹으로 끝나거ㅠㅠ', '움 ..\n동기분들이랑 있어서\n톡 바로 이어나가기 힘든 게 아닐까용 ?\n나중에 다시 연락 주실 거 같은데 ..', '썸붕이었다 삼일만에 제가 모하냐고 연락한건데… 썸붕날때도 저렇게 안읽씹으로 끝나서ㅠㅠ', '미련 없어보인다 상대쪽 ㅜㅜ', '그쵸ㅠㅠ이대로 안읽씹할구같아오']"
엔팁이랑 연락 끊을 지 고민됩니다,['왕복 4시간 이상 걸리는 장거리고 둘 다 대학생입니다. 서로 중간고사 기간이고 저도 실습 기간이라 바쁜 거 이해해서 연락 안 되는 건 그런가보다 했어요. 그런데 연락 텀이 인간적으로 너무 길고 연락 내용도 맨날 ~~하는중인데 너무 힘들당 이런 것 밖에 없어서 들어주는 제가 다 지쳐요(저는 인프피라 감정적 동요가 너무 쉽게 돼서ㅠ) 그리고 하루 종일 연락 안 되다가 오늘 하루종일 ~~했어 이렇게 통보식의 연락을 엔팁이 매일 하는데 엊그제 당일에는 공부했다고 했는데 어제 지도 실수했는지 친구 만난다규 말 하고 제가 술마시냐고 물으니까 어제 마셔서 안마신다고.. 진작에 지금 저는 신뢰를 잃었는데 연락 끊는게 맞겠죠?'],뿌삐뿌삐잉,"['저도 비슷하게 연락텀이 9~10시간 돼서요\n슬슬 정내미떨어지기 시작했고 뭔가 제 스스로 피폐해지는것 같아 헤어졌어요\n잘했다고 생각하고 매우 하늘을 나는 자유로운 내 자신이된거같아요\n뭐가아쉬워서 내가 붙잡고있나..\n얼굴이 차은우도 아니고 ㅋ 무슨\n무튼 한번 얘기는 해보시되 고쳐질 기미 안보이면 가차없이 내리치세요 고생하지 마시구 좋은사람많아요', '연락 될 때나 만났을 때 행동 등 보면 저를 좋아하는게 맞는데 진짜 연락이 잘 안되니까 가뜩이나 장거리에 신뢰가 하나도 없고 너무 스트레스네요.. 땅땅 사귄다 하면 뭐라고 할 텐데 제가 그 친구 여자친구도 아니고 뭐라 하기도 그렇고 진짜 이런 걸로 스트레스 받는 제가 싫다가도 얼마나 그러면 내가 이러겠나 싶어서 그 친구가 짜증나고 하 ……..', '전 그 사람 만나고 난 후로 엔팁보면 경끼합니다 ,,,\n일단 먼저 얘기해보세요.. 연락문제에 대해,,', 'ㅋㅋㅋㅋㅋㅋㅋㅋ제대로 다치셨군요.. ㅠㅠㅠㅠ그냥 사람이 제가 느낄 땐 진중한 부분이 없는 것 같아요.. 저희 둘 다 대학생이라 그런 모습 바라는 건 너무한가 싶긴 한데 그냥 타인에 비해서도 조금.. ㅜㅜ', '맨날 제가 뭐 진지하게 말 해도 에궁 글쿠나 해놓고 암튼 이러면서 딴 소릴 하지 않나 ,,,,,,곱씹어보니 열받네요', '저도 똑같이 분노의 감정을 여러번 느꼈어요 여기 까페에서도 엔팁 연락 비슷한 글들 많아요 ㅜㅜ', '글쿤요.. 연락 초기엔 하루 내내 안읽씹이고 이래서 엄청 스트레스 받고 나 혼자만 시그널 느꼈나 싶었는데 이젠 행동으로 확인 받았는데도 똑같이 연락으로 스트레스 받는 저를 보니.. 조만간 마음 접지 싶어요,,']"
헤어지고나서 전연인과의 연락.. 다른 인팁님들도 혹시 동의하시나요?,"['매우 칼같이 끊어내는 편인데', '', '이 부분에 있어서 저는 융통성이 매우 없는 것 같아요.', '', '아예 모든 감정적인 과정을 다 거치고.. 감정이 0이 될 때 비로소 헤어지기 때문에', '', '전연인은 칼차단하고 아예 없는 존재가 되어버립니다.', '', '(제 잘못으로 헤어진 경우는 예외일듯요. 근데 이런 경우는 없었어서..)', '', '연락 와도 정에 의해서 한번 연락 받아준다든가 그런거 1도 없는 유형이 솔직히 저라고 생각하는데', '', '후폭풍? 그런것도 전.....혀 없어요.', '', '다른 분들도 그러신지 궁금합니다.']",sayou intp,"['저도 엔팁인데 그래용\n제가 새로운 사람이 생기는 순간\n전썸남 전남친 모두 오징어되어버리고\n이성적 관심1도 안생기더라구용\n\n근데 새로운 이성이 안생기면\n정떨어질 행동이 아닌이상 다시 잘 될 기회는 있는거 같아요,\n\n좋아함이라는 감정자체가 잘 안생기기땜에\n한번 누군가에게 마음줬다는거는 오래 갈 가능성이 높아서용', '오징어 ㅋㅋㅋ\n저는 상대방이 정떨어질만한 행동을 했기 때문에... 참고 참다 헤어지는 것 같아요.\n한번 사귀면 저도 마음이 오래 가긴 합니다. 기본 그래서 3-4년씩은 사귀어요.']"
게을러지고 미루는 습관 어떻게 다잡고 계신지요..?,"['저는 챌린저스나 스터디 같은 거 만들어서 뭐랄까..', '할 수 밖에 없는 환경을 만드려고 노력하는데!', '본성이랑 안맞아서 좀 힘드네요 ㅋㅋㅋㅋㅋ', '', '지금은 취준생이라 몇 시까지 독서실 가기, 영양제 먹기, 일주일에 몇 시간 공부하기 요런 거나! 약간 충동적으로 중독적인 것도 많이하는 편이라 인스타, 유튜브 30분 이하 보기 이런 것도 하고 있네요,, 하루 계획짜서 실천하는 앱도 써봤는데 지속하는 게 쉽지 않아요~~', '', '그럼에도 불구하고 생활 자체가 늘어지는 느낌.. 무기력함..은 심한 느낌이에요! 특히 할 일 미루기.. 방 대청소 지금 마음만 먹고 6개월 이상 안하는 중 ㅋㅋㅋ', '', '이런 습관 어떻게 보완하는지 궁금해요, 특히 동족인 INTP 분!']",나옹 INTP 1w9,[]
인팁들은 연락할 때,"['인팁들은 필요없는 연락 안 하나요? 좋아하면 계속 연락을 어떻게든 이어가려고 하나요? 또는 짝사랑을 할 때 마음이 식으면 연락은 바로 끊나요? 질문이 줄어든다거나..', '', '궁금한게 너무 많네요ㅠㅠ']",엔티제ㅔ,"['저는... 그냥 하고싶을 때 해용 ㅎㅎㅎㅎ', '일단 관심없는 사람에겐 연락 온지 조차 모를 정도로 관심을 두지않아요. 질문해도 사적인 질문 잘 안하구요.호감있는 분에게는 사소한것도 잘 질문하게 되더라고요 . 정말 관심없는 상대에게는 밥 먹었냐는 말도 잘 안합니다 그 뒤에 이어질 말이 귀찮아서.. 구지랄까', '오타가 있네요. 굳이 입니다', '필요없는 연락 안 하고 / 좋아하는 상대랑 연락하는 거면 어떻게든 말을 하면서 이어나가려고 하고 / 식으면 아예 안읽씹을 하거나 점점 빈도수를 줄여 나가요 핑계 대면서 연락을 안 하려고도 하죠']"
다들 고민을 떠벌떠벌하나요?,"['이게 E 특징인지, 제 특징인지..', '', '엔팁 특징이 말이 많다잖아요', '', '제가 말을 많이 못해서 이렇게 웹에 글을 많이 쓰는데요', '', '제가 최근 A, B, C 에게 저의 진로에 관한 구체적 로드맵을 그리며 고민상담을 했어요.', '', 'A는 가족이에요. B,C는 절친이고요. 제 진로 이야기를 하면서 느낀 건 제가 제일 잘 안다는 거에요. 제 전공이 매우 특이 특수하고, 현재 근무처도 매우 전문적인 분야에요. 어느날 이런 생각이 드는 거죠. 여기에 대해 가장 잘 아는 건 나고, 내가 어떤 선택을 해도 그 미래를 잘 아는 사람은 저 뿐이라는 거요.', '', '“제 진로 상담을 해주는 B,C에게는 오히려 제가 정보를 제공하고 있다는 느낌을 강하게 받았어요.” (전공이 비슷해서 고민상담을 하는데 언제든 경쟁자가 될 수 있는거죠)', '', '가족인 A가 저보고 그만 좀 징징징하라고.', '보통 위의 이유로 다른 사람은 혼자 생각하고 혼자 결정하지 저처럼 고민상담 안한다고요.', '', '', '이건 엔팁 특징일까요? 브레인 스토밍하고 소크라테스식 논증법으로 결론 도출하는거요.', '', '아님 저 자신의 문제일까요.', '', '']",겨울이오기전,"['꼭 엔팁이라서 그런 거는 아닌데 혼자만 묵혀둘 고민인지 아니면 남들한테 얘기해도 되는 고민인지는 이성적으로 판단해보면 바로 딱 나오긴 하죠. 남들앞에 털어놓는 고민은 전체고민 중에서도 거르고 걸러서 밝힌 겁니다. 아직 엔팁의 머릿속에는 말 못할 고민들이 무수히 있는', '헉 말못할 고민 있는 거 어찌 아셨나요.', '그래도 제가 떠벌이 같아요. 남들은 야무지게 혼자 고민하고 혼자 해결하는 느낌. 특히 S들이요.', '간혹 필요이상으로 털어놓았다고 생각해서 급후회 할 때도 있지만 어차피 상대가 기억력이 그리 좋은 편이 아니란 걸 알아서 애써 태연하게...', '혼자 결정하는 건 맞는데, 결정을 내리기까지 다양한 정보를 수집하고 합리성을 얻기 위해 남들의 의견을 구할 수 있죠. \nMbti 유형과 성격 기질 다 떠나서 저렇게 조언을 구하는 게 저는 오히려 좋은 것 같은데요? \n직업이면 진지하게 고민해볼 문제가 맞아서 딱히 징징거리는 걸로도 안 느껴지고요. \n그냥 글쓴님이 직업 문제라 신중해지고 고민을 진지하게 하는구나 정도만 생각이 들 것 같아요.', '제 주변 엔팁들은 고민 잘 안 말해요 저는 더 말 안하고요 사바사인듯요', '저는 무조건 가족이랑 연인한테만 얘기해요 친구한테도 아무리 친해도 그런 얘기 안꺼내는편...', '전 그냥 말해요\n이게 치부인가 솔직히 잘 모르겠어요\n진짜 핵폭탄급 아니면\n별생각 없어요', '고민을 말하기보다는 고민과정을 말하는 경우가 더 많은 듯?', '결정은 내가 하지만 그결정에 확신을 갖기 위해 고민을 얘기하신게 아니실까 하는 생각도 들어요..']"
인팁 잠수..? 우짤까용,"['동굴로 처들어간 인팁남이 삼일째네요', '금요일 밤에 바쁘면 폰 안본다고 미안하다고 연락 한통 보내놓고 여태 읽씹후 연락이 없어요 ㅋㅋㅋ', '', '뭔가 정리할일이 많은가싶어 그냥 기다릴까싶다가도', '한번쯤 꺼내줘야되나싶어 저녁이나 먹자고 연락할까싶은데 그냥 냅둘까요?', '', '관계는', '6번 정도 만났고 인팁남이 호감표현 많이 했어요', '선연락 선약속잡고 주1회이상 만나기 등', '스킨쉽이라던가 외모칭찬등 본인이 좋아하는 이상형이라고 하더라구요 대신 제가 너무 어렵대요 ㅠㅠ', '상황적인것도 그렇고 이래저래 고민은 많아보여요.', '사실 연애할맘 없어보이는건 둘다 같은데', '호감은 둘다 느끼는거같아요.']",야호느앙,[]
entp 이거 맞나요??,"['가끔 엔팁 글 보면', '관심 없는 애들 사이에선 막 인싸처럼 떠드는데', '호감 있는 사람 앞에서는 고장나서 조용해진다는 글들이 있더라구요', '근데 또 어떤 글에서는 좋아하는 사람한테 불도저 마냥 직진한다 그러기도 하고... 그냥 사바사인건지', '', '서로 긴 대화는 안하는데 (별로 친한편이 아니라) 가끔 제가 집중해서 뭔가 보고 있으면 옆에서 같이 보다가 왠지 모를 이해했다는 고개 끄덕임(?)을 하고 간다던가 오늘은 배고프다고 혼잣말하더니 젤리 같은거 꺼내서 하나 주더라고요', '이 정도면 괜찮은 사이인건지.. 저는 더 친해지고 싶어서 말을 걸어줬으면 좋겠는데 또 먼저 걸 용기는 없고', '가망이 없다면 빨리 접어버리고 싶은데 어떻게 하면 좋을까요? 조언해주세요 그리고 저도 내일 답례?로 젤리 하나 주려는데 어떤가요']",aeiou,"['좋아하는 사람 앞에서 돌 되는게 전데요 살짝이라도 여지를 보이면 바로 직진해요. 가망있는지 없는지 궁금하시면 한번 들이대보세요. 아니면 바로 벽칠거고 기면 잘될거예요.', '오오 제 눈에 엔팁은 완전 부끄러움이란 1도 모르는 핵인싸인데 좋아하는 사람 앞에서는 또 반전이 있네요 조언 감사합니다', '사바사이긴 한데 대체로 좋아하는 사람앞에 서면 고장나요. 근데 상대가 i다 이러면 미쳐요.\n잘 안 됐을 때 곤란해지는 사이(같은 직장 동료)가 아니라면 용기내보세요.', '오 그렇군요 기회보다가 한번 용기내볼게요 감사합니다', '엔팁은 복잡하지 않아서 한달안에 결정나요. 밀땅도 없고요. 만나고 데이트 하고 고백을 하거나 유도하거나 여튼, 바로 결론 나요.', '아 이런게 엔팁의 직진인가봐요,, 전 이미 그른거 같긴한데 그렇다고 관심없는 사람이 작은 간식 하나 주는거에 너무 부담을 느끼고 멀어지진 않겠죠? 깊은 사이까진 아니더라도 친해지고 싶네요 사람이 좋아서..', 'ㅋㅋㅋ좋아하는..사람앞에선.. 뭐라말해야할지 모르겠어요.. 머리가 고장나버리더라구요. 그나마 할수있는건 리액션 과하게 하기랑. 얘기 잘들어주기. 대화나눌때 눈 뚫어지게 쳐다보고, 그 분한테 먹을거 주기랑.. 잘웃어주기.. 만나고온날 프뮤바꾸기; i가 되버려서.. 신호주면 불도저로 다가갈겁니다ㅎ', '와 딱 i인 제가 하는 행동인데 너무 신기해요 그럼 먼저 말 거는것도 쑥쓰러워서 잘 못하나요?', 'ㅋㅋㅋ 네... 잘 못걸어요ㅎㅎ주변에 티날까봐요ㅋㅋ 대신 사적얘기는 중간중간 용기내고. 그 외에는 비지니스관련 말 많이 겁니다ㅎ(굳이 안물어도 되는것 같은거 물어봄)솔직히 플러팅 과하게해도 상관없는 자리면 최대한 용기내보겠는데. 사회라면.. 주변 시선들도 있고하니, i처럼 하게되는거같네요ㅎㅎ\n팀내에서 엔팁이 다른이성한테 어떻게 하는지 보면 정확한 답을 얻을수있으세요ㅋㅋ\nEx:) 나한텐 묻지도 따지지도 않고 먹을거 줌.\n다른 이성한테는 그 이성이 먼저 달라해야만 그때 줌.', '꿀팁 감사해요!ㅎㅎ 엔팁이 i 같아진다면 제가 한번 e가 되어보죠..(덜덜...)', '우선 전 여자인데도 제가 좋아하는 사람을 제가 꼬셔서 사겨야 하는 타입입니다. 내가 관심이 아예 없는 사람이 나 좋다고 해도 내 스타일이 아니면 전혀 눈길도 관심 1도 안가고 부담스러워서 상대 안하는 타입이고요. 제가 꼬시면서도 좋아하는 사람앞은 부끄러워서 로봇이 되기도 하지만 일단 직진이에요. 좋아하는 마음 안숨겨요. 먼저 만나자고도 하고 연락도 잘하고요. 아무리 늦어도 2주안에 결판 냅니다ㅎ ㅎ 사귀면 완전 로봇에 애교도 많아지고 친구같이 장난도 잘쳐요. 관심없는 사람에겐 스스럼없이 행동 잘해요 ㅎ 하지만 따로 만나거나 톡을 주고받지않죠 ㅋㅋ 사람햇갈리게 잘 하지않는 타입. 내 애정은 내가 좋아하는 사람에게만~']"
