,mbti,comments
56617,ENFP,자꾸 만나자구 하던데요 잇팁들 동일한 특징 그리고 먹을꺼 계속 사줘요 돈안쓰게함
81392,INTP,말하고싶을때 눈에 들어온 사람이자 부정적 편견이 없고 무해한 사람이라는 생각이들때
25319,INTP,잇프피인프피없어여한명도못봄 제주위는 왜 죄다 엔팁엣팁엔프피엔프제들뿐
81909,INFJ,mbti가 바뀌셨군요 축하드립니
4619,INFJ,감사합니다
77897,INTP,겪어본 엔팁들은 일단 다 말이 많았어요
35930,ESTP,아이고 썸인데 잠자리를
12528,INFJ,질문이 생겨서 하나만 여쭤봐도 될까요모임안에서 새로 들어온 여자애가 있는데얼굴은 성형으로 싹 엎은 거 같고제 눈에는 이쁜거 모르겠음오밤에 화장하고 핑크핑크하게 30대후반꾸미고 나오더라구요 운동모임인데거의 술벙에 나옴 저랑 동갑내기 여자에요산책할때 연하만 사겨봣다고 했는데 복장이랑 이런거만 봤을때 어떠신가요 엣프제들 복장만 봐도 어떤사람이닞 알수있나요 호감 있는 여자가 있는데새로운 여자가 꼬셔서 넘어갈수 있는건지뭐 질투일수도 있겠지만 제가 말걸떄마다 표정이 너무 안좋아서 거리감 느껴지네요 이런적 없었는데누구한테 질투느껴본적이 없었는데
62178,INFP,네 히 하셔요 무엇을 선택하고 행동하시던 차후에 후회만 안 하시면 될 듯합니다
20597,ISFJ,잇프제분하고 관계가 발전하고 싶으시면 히 스며드는게 정말 좋구요 전 e분들을 좋아해서 저에게 조금씩 다가와주는 분들은 관심을 조금씩 가지려고 노력해요
11375,ENTP,하고 존경스럽다 나의 지적호기심을 잘 채워줘서 매력이 높을수밖에 없는것같아오
1318,ENFJ,사람마다 다를 수 있겠지만 잇프제의 사랑이란 안정감이라고 하더라고요 enfj입장에서는 그런 isfj의 가치관을 참 좋다 여기며 반길 여지가 많다고 생각해요 더불어 성숙한 사람끼리 만나 좋은 관계로 발전한다면 서로의 안정감을 서로가 만들어주고 싶다 하는 그림이 나올 것 같아요 그리고 enfj가 생각보다 빈틈이 많거든요 그런데 isfj분들은 하고 하고 똑부러지는 게 있잖아요 그러니 상호보완적인 것도 좋으실 거예요 좋으신 분 만나시기를 화이팅이에요
39264,ESTP,바쁘면 그럴지도요 여자분이면 모르겠는데 남자면 아예 불가능은 아닙니다 단둘이만나는약속을잡으려하는지 재밌게해주는지가중요
51769,INFJ,저랑 사귈 때는 결혼 얘기 한번도 안 꺼내더니 이별할 때 무기로 들어 꺼내는 게 조금 괘씸하긴 하지만 진심으로 응원해주셔서 감사합니다
7171,ENTP,특별히 용기를 낸적은 없는 것 같아요 보통 어가능하겠는데 아니면 어뭐지열받는데 판단 되면 바로 급발진 버튼 눌림이죵
56401,ESTP,단호박이요
5555,INFJ,1 내키지 않으면 빈말로라도 날 잡아보세요는 안 할 것 같아요 2 조금 생각하시면서 글쓴이님의 마음을 지켜보고 가늠 내지 시험하고 계시지 않은가 생각해 봅니다 인프제들 왜 이러는지 배려 의심 자기자신 포함 선 지키는 거 사이에서 우왕자왕을 많이 합니다
63372,INFP,본인등판 선물주면 돌려보낼껀데 이미 선물받았어요그만 주라고해요 당장
74544,INTJ,바로 노선정하고 직진하더라구요
64565,INFP,언니 남친차요 최근에 바꾸고 동네 한 바퀴 태워주고 갔어요
16385,ISTP,어떤 사람 좋아하시나요 일단 외적으로 반해야 하나요 이상형 아닌 사람이 계속 대시해도 소용없는지 궁금합니당
16592,ISFJ,그걸 재밌을꺼라고 하고 싸해진 분위기가 웃겨요 풉 이러면서 웃어요 귀여워요
56791,ESTP,의존적이고 이들
71766,ENTJ,확실히 제가 통제 못하는 상황일 때 극도의 스트레스를 받는데 j성향때문이 맞군용 저도 지각쟁이
