comments,comments_writer
저는 3이요! :) 고마울 거 같아요ㅎㅎ,나눈잉푸제
의견 감사해요!,엔티제비스무리
"그 남자동생 엔팁에 한 표 ......

커트해주는거 고맙긴 한데 그조차 아주 부담없는 방법일 때만. 고마워져요 ...... 오히려 더. 부담스럽게 되는 경우가 많으므로 ......🫣🫠",lemonmint
"다음에 기회되면 한 번 물어볼게요 ㅋㅋㅋㅋ
너무 티나지 않게 선을 과도하게 넘었을때맘 해볼게요 의견 감사해요!",엔티제비스무리
3,캐스퍼 INFJ 6w5
"전 인프피지만 이건 P/J 영역이 상관없는거 같아서 ,, 3번이용~!! 제가 말 못하는걸 남이 대신해줘도 (제가 말 전한거 같아보이거나 그런 오해 받고 싶지 않아) 불편하겠지만, 3번은 어쨋든 타인이 저를 위해서 본인의 능력안에서 저도 배려하는 방법으로 도와주고, 무리하게 다가오시는 분에게도 감정상하게 하는 행동은 아니라서 고마울 것 같아요 :)",댓글달려고가입
역시 그래야겠죠?… 댓 달아주셔서 감사합니다!,잇팁냠
그래야겠어요ㅠㅠ감사합니다!,잇팁냠
"저는 엔프제/ 엔프피 왔다갔다하는데 엔프제는 당일 약속 취소, 특히 기다린약속 취소 정말 싫어합니다. 그리고 상처도 잘 받고 남을 배려해주는 것만큼 자기도 배려받고 싶어해서 정말정말 신중이 미사여구와 많은 배려를 곁드린 말을 가득가득 하시는게 좋을것같아요.. 화를 내시든 아니든 그거는 크게 중요할 것 같진 않은데요..",enfp 엥쁘삐
헉…..엥쁘삐분 말 참고해서 신중하게 말을 전해야겠어요! 알려주셔서 감사해요… 🥹,잇팁냠
"윗분들이 잘 설명해주신 것 같아요!
솔직하게 현재 상황을 전하되, 엔프제의 시간과 약속을 당연하게 여겼던 것은 아니라는 느낌이면 좋을 것 같아요🥹",ENFJ 3w2 쏘쏘
네 솔직한게최고 그리고 예의바르고 미안한느낌 잘 전달하는게 최고죠,IJ
"솔직하게 말하는게 좋아요..
나중에 알게되면 오히려 더 상처받아요ㅠㅠ",ENFJ Music
그래서 밥 드셨나요??,애오옹
,잇팁냠
냅두면 안올거같기두해요.. 왜냐면 월요일에 제가 이번주도 쉬고싶냐구 보고싶다하니까 니 인생 살라고.. 언제부터 나한테 신경썼냐고 가식떨지말라고 했거든요...아마 제가 신뢰를 깨트려서 저런말 하는거같아요.. 그래서 저렇게 선긋는거보니까 제가 안하면 안올거같은 생각에 불안하네요 ㅠㅠ,estj듀듀
마자여 자주 다퉜어요.. 저보고 그냥 제발 가만히 있어달라고하더라구요 자기 좀 쉬고싶다고.. 그냥 냅두고 제 할일 해야겠네요 ㅠㅠ,estj듀듀
마자여 성격 급한 저로썬 답답한데.. infj 특징 보니까 정말 지쳤을때 히키코모리가 된다고하더라구요.. 그냥 말대로 해야겠어요 ㅠㅠ,estj듀듀
기한이 없으니..........답답해 미쳐버립니다.. 저도 뭔가 해결을 하고싶은데 제가 잘못한거라 이래라저래라 할수도없어서..ㅠㅠ 너무 어려운 유형같아여 심리를 모르겠어요,estj듀듀
"신뢰를 깨트리고 자꾸 그 신뢰깬거에 대해 미안하다고하면서 변명을 자꾸 해서 거기에 질려버린거같아요..
해명을 한건데 남친입장에선 결국 넌 날 속인건데 왜 자꾸 변명하는지 모르겠다하더라구요.. 넌 내가 얼마나 힘든지 모른다고 참는게 안느껴지냐고... 끝이 보이는 관계인데 못놓고있는거같기도해요..",estj듀듀
약간 맘이 뜬거 같은데.. 계속해서 싸움이 되면 그럴거 같아요 갈등을 대화로 하는건 몇시간이고 할수 있는데 먼가 싸움의 느낌이 계속 되고 이게 반복적이면 관계에 대해 좀 고민스러울거 같아요 ㅠㅠ 싸움 많이 하셨다고 쓰셔서…,infj 수세미
맞아요.. 이번에 느끼긴했어요.. 맘이 뜬거같아요 그래도 답장을 해줘서 일말의 희망이라도 잡았는데 점점 저도 체념하게되더라구요 ㅠㅠ,estj듀듀
"근데 이건 엠비티아이로 볼 게 아니고
듀듀님이 거짓말과 잘못을 하셨다면서요ㅜㅜ
마음 정리하는 중인 듯",인팁3
마자여 제가 잘못한거죠 ㅠㅠ 마음정리하는거라해도 할말이 없네요 제 잘못이라 붙잡고 싶은데 그것도 자격없는거같은데 얼굴도 볼 수 없으니 답답하네여,estj듀듀
"mbti를 떠나서 거짓말하는 걸 좋아하는 사람은 없겠지만 인프제에게 거짓말은 최악인 것 같아요
신뢰와 믿음이 무너지면 더이상 관계를 지속할 수 없어요 혼자 생각하는 시간을 갖고싶은 것 같은데 좀 내버려두세요 너무 재촉하고 안달내면 더 마음이 떠나요",인프제6
"마자여 자기는 신뢰가 가장 중요하다하긴했었어요.. 저도 생각해보니 제 자신한테도 분노가 일으켜지는데 남친은 오죽할지..
신뢰를 깨트렸음에도 만날때 제가 잘했어야했는데.. 전 정말 쓰레기같네요 ㅠㅠ네 그냥 냅둬야겠어요",estj듀듀
"22222
신뢰가무너지면 이건 거의돌이키기 힘든수준임ㅜㅜ
제가 상대보는1순위도 솔직함이거든요..
돌이키려면 많은 정성과 시간이 필요해보이네요ㅜ",그래내가infj
"ㅠㅠㅠ..마자요.. 밥먹었냐고 물어보면 신경쓰지말라해서 그런사소한것도 안묻고있는데.. 그냥 가만히 있는게 나을까요?
아니면 관심을 줘야하나요.. 문득문득 제가 언제까지 버틸수있나 테스트한다는 생각도 들기 시작했어요 ㅠㅠ
늘 얘기한게 넌 안바뀔거라했거든요 잘하다가도 좀만 풀어주면 또 성격 나온다고..",estj듀듀
"감정적으로 안달내거나 재촉하는 말은 절대 삼가하고 안부정도만 간간히 물어보세요
아래 파워인프제님 말처럼 완전 냅두면 그대로 끝이라고 보면 되구요
담백한 연락만 취하는 것이 좋을 것 같아요 반응에 따라서 연락을 더하고 덜하고는 본인이 판단해야죠",인프제6
"그렇군요.. 제 성격도 넘 불같아서 순간순간 급발진할까봐.. 걱정되네요..잘못은 제가 했는데..
그냥 답장주는것만으로도 지금은 고맙고한데 연락텀이나 말투봐선 정리한거같아서 조바심이 나는건 어쩔 수가 없네요 ㅠㅠ",estj듀듀
냅두지마세요.냅두면 절대 죽어도 먼저 안합니다.....남친을 제일 잘 아는 엣티제님이 더 잘 아실거에요.거짓말을 제일 싫어하는 인프제라 바로 풀리긴 힘들지만 무조건 먼저 연락해서 신뢰를 다시 주는 노력하면 도어슬램한 인프제도 한번쯤은 다시 돌아와요!,파워INFJ
"지금 같이 연락하는거봐선 그럴거같아요.. 카톡 제가 보내놓으면 뭐 거의 끊는식으로 하다보니깐요..
기간이 엄청 오래걸리겠죠? 17일부터 안봤으니... 거의 2주가 다되어가는데 다음주도 보자는 말 못꺼낼거같아요.. 지금 상태로는 ㅜㅠㅜㅠㅠ 17일에 제 언행으로 한번 터졌다가 겨우 붙잡고있는 멘탈 일욜에 터지고 이번주 월욜에 연타로 터진 이후로 단답과 시간차가 엄청난 카톡이 되어버렸네요..ㅠㅠ",estj듀듀
상대방이 자기 잘못을 충분히 인지하고 진심으로 사과하면 충분히 다시 돌아갈 수 있어요!물론 그 정도의 정성을 보여야하겠지만요🥹카톡안하는 것도 엄청 상처받았다는 뜻일텐데 여기서 그냥 냅뒀다가는 인프제는 더더더 상처받고 그 상처의 골이 더 깊어질거에요.먼저 잘못한 사람이 손내미는 거에 또 약합니다 인프제덜..멀어지면 다가가는 것도 서로가 쌍방일때 얘기지 상대로 인해 상처받으면 인프제들은 왠만해선 다시 돌아가지않아요.인프제 아닌 유형 말 믿고 진짜 그냥 놔두지마시고 멘탈 잘 붙잡고 계속 연락해보시길..!,파워INFJ
제가 계속 미안하다고 얘기할때마다 조금씩 풀어지는게 보이긴했었거든요.. 근데 이젠 정말 맘의 문이 닫힌거같다고 느낀부분이 니 인생 살라고 나 신경쓰지말라고하는것과 니가 다른남자를 자던말던 신경안쓴다라고 말하고 자꾸 카톡을 끊으려하는느낌때문에 ㅠㅠ 전 제가 멘탈 쎈편이라고 생각했는데 와 너무 힘든 유형같아요 그냥 지금처럼 저 뭐하는지 보내주고 연락 계속 하는게 낫겠죠? 엄청 긴 시간이 필요할거같아여...이번엔.. 아예 안돌아올수도있구요 ㅠㅠ,estj듀듀
"윗댓적었다가 대댓글보고 남겨요ㅠ
넌 안바뀐다는 그말...제가 남친과 헤어진 이유중하나가 이런비슷한 이유였는데요ㅠ
상대가 거짓말은 안했지만 결국은 본인하고싶은데로 자기멋대로 할 걸 알기에 나를 존중해준다는 느낌이 없다 라는게 강하게 들었고
그게 쌓이고 쌓여서 대화를해도 해소되는 느낌이 아니었어요
어차피 얘는 내가 대화를해도 그때뿐이잖아..
라는느낌에 관계를 '포기'하게 되더라구요ㅠㅠ
잡고싶으시다면 나를 죽여가며 이 만남을 유지하셔야 하는데 그건 엣티제님한테도 독이될것같아요
서로간의 타협점을 찾고 가장 문제되는 요소를 한번 두분이서 짚어보세요
그 부분을 어떻게든 관계회복을 위해 노력하겠다 어필하시면서 서로가 편한연애가 되셨으면 좋겠습니다",그래내가infj
"그리고 당장 연락이 하고싶으시다면
'공감'위주로 달래주세요
너 많이 힘들었겠다, 그럴수있겠다란 생각이든다, 힘들면 당장은 연락안해줘도 된다 등등
일단은 달래고 상대의 힘든부분을 어루만져줘야 그담에 상대분도 생각을 염두해 둘듯요",그래내가infj
"맞아요.. 그때뿐이라고 강하게 인식이 박혀있어서 사람 절대 안바뀐다더라구요 ㅠㅠ
근데 정말 모르겠어요 infj입장에서 쉬고싶다 연락좀자제해달라는건 정말 그렇게 연락을 하지말아야하는지...
근데 안하면 남친 절대 안할거같긴해요..너무 많이 지쳐서
관심을 너무 또 많이 주면 넌 또 내가 하는말 듣지도 않는다고 그럴거같기두하네요..
정말 그대로 받아들이면 되나요? 저 같은 경우는 저 말 그대로 곧이곧대로 받아서 아예연락안할생각으로
그래 나도 알아서 밥먹고 쉴게 하니까 ㅋㅋㅋ그래 알아서해 이러더라구요...근데 그 느낌이 뭔가 그러면 안될거같아서 일단 최소한의 카톡만 하고있긴해요..",estj듀듀
"인프제를 통틀어 대변할수는 없지만
그래도 이들은 의지가 된다라는 생각이 들면 내가 기댈수있고 믿을수있는 든든한사람 이라면 돌아와요
그게 바로 신뢰랑 연결이 되구요
같이 틱틱대거나 화를내시면 이상황에서는 역효과 날것같으니 정말 한없이 인자한 모드로 가셔야할것같습니다ㅠ
대화나 관계에있어 '양보'를 한다 생각하시면 좀더 여유가 생기실거에요",그래내가infj
"그래 나도 알아서 밥먹고 쉴게
라기보다는 약간다른사람 빙의돼서 '오늘은 뭘 맛있는거 먹으려나?^^맛있는거 먹고 기분좋아졌으면 좋겠다~'라는식으로 기분의 화제를? 돌려야해요인프제 존중은 해주시되 기분따라가지마세요!",그래내가infj
