comments,comments_writer
좋아한다기보단 말그대로 관심있오서 그런겁니당,시소 ISFJ
"그럼 그 연락이 썸 관계로 연락을 하는건가요?
부담스럽냐고 연락이 왔는데
저는 좀 천천히 친해지고싶다했는데
그게 그냥 오빠동생사이는 아니고 썸 사이로 연락하는건지 궁금해요",ㅇㅌㅈ
아 부담스럽냐고까지 물어본거면 좋아해도되냐고물어본거같긴하네용 썸사이로,시소 ISFJ
그럼 여기서 그냥 오빠동생사이로는 못친해지는거죠..?ㅠ,ㅇㅌㅈ
그사이에 그분이 다른사람한테 눈돌리지않는이상 그럴걸요..?,시소 ISFJ
전 3은 진짜 별로...,ISFJ 남자 6w5
여자분 공략법이랄까요 ㅎㅎ,이너얌istp
얼쭈 맞네요ㅎㅎ,잇프제a
ㅎㅎ 다행입니다.,이너얌istp
맞아요. 처음엔 느렸는데 지금은 엄청 빨라졋어요 ㅎㅎㅎ,이너얌istp
저도 아재개그같은거 좋아해요 뭔가 그 드립자체가 재밌다기보다 싸해지는 반응에서 오는 웃긴순간이 재밌는거같아요,티모 베르너 ISFJ
222ㅋㅋㅋ그걸 재밌을꺼라고 하고 싸해진 분위기가 웃겨요 ㅋㅋ풉 이러면서 웃어요 ㅋ귀여워요,isfj 여
"다 맞네요 다정다감한거 세심함
그리고 존경할수 있는 사람이면 더 좋겠네요",isfj 여
잇프제이지만 다 맞습니다. 세상 제일 단순한게 잇프제인데 사람들이 잇프제를 왜그렇게 어려워할까요ㅠㅠ,하하하핫핫
그르게요~ 저도 그렇게 생각해요 ㅎㅎ,계속잇프제
"죄다 성향이 다르니..
저는 잇프제 좋아영",이너얌istp
"진짜 그런거 같아요
특히 신경써주는걸 좋아한다 이부분
뭔가를 도움 받았다고 생각하면
꼭 돌려주려고 하더라고요
신경써주는게 고맙다면서...
아재개그는 물론
싱거운 개그에도 잘 웃어요
거의 내장을 토해내듯이 푸하하~ 호쾌하게 웃음
잇프제 참 따뜻하고 재밌어요",자성ISFP
"맞아요
잇프제님
진국이신분...
더욱더 저는 조심스럽게
신경써주고 하면사 연애중입니다 ㅎㅎ
감사합니당",이너얌istp
