comments,comments_writer
수능 끝나면 군대 18개월도 기다리셔야…,쌈무 ISFP
...🫢,잇틔제
9월에 신검 받긴한데 뭔가 정신병때문에 공익 나올것같긴한데 모르겠네요 하ㅏ 기다리기 힘드렁요 벌써,잇팁만나는 엔프제
정공이라면 지원에 리스크가 있는게 복지시설 이런곳이나 민간인 많은 곳은 제한되어 있어서 지원하더라도 거의 최하위 순위권이라 떨어질 확률 80%는 됩니다 저는 허리디스크 공익이였지만 한번만에 지원되었었고 제 친구는 21살때 현역으로 갔다가 중간에 나와서 정공 판정 받고 6년 동안 존버 타다가 27살때 합격했어요ㅋㅋ 누구는 취업할때 누구는 늦게가서 인생 꼬여요,쌈무 ISFP
공익으로 판정 받는다면 데이트 같은건 평일이든 주말이든 쓰니님이 근무지에서 알바생으로 일하든 연애는 매우 자유롭겠지만 남친분 앞길을 위해서라면 현역으로 가셔서 빨리 갔다가 제대하는걸 권유드리옵니다 늦게가면 인생 꼬입니다,쌈무 ISFP
"근데 웬만하면 3개월남았을때는 진짜 변화를줄여야돼서.. 차더라도 이후에 해주셔야 상대한테 좋을거같고
최대한 내색안하구 있어주시는게 서로 제일 좋을거같아요..
고삼입장에서 저도 지금 썸남이랑 썸붕낼까 고민중인데 생각해보면 좀 그렇더라구요",estj20
"아이 당연하죠 ,, 그래도 저도 제시간이 확보되고 연락에 신경안써도 되가지고 오히려좋긴한데 그래도.. 서운하긴합니다",잇팁만나는 엔프제
수능끝나도 외로우실꺼에요 장담 ㅋ,잇팁과엣팁사이
ㅠㅠㅠ 태도가 지금이랑 같을까요..?ㅠㅠ,잇팁만나는 엔프제
네!! 백퍼~,잇팁과엣팁사이
머리론 알지만 외로운건 어쩔 수 없죠 ㅠ 학생이다보니 수능끝나고도 이후에 여러가지 변화들이 많을 시기라 잘 견뎌야겠네요.,율리istp
"맞아요!! 그렇다고 티내기도 그렇고 챙겨달라고 하기도 좀 그렇고ㅠㅜ 네 고마워요 ,, 지금 제가 할 수 있는건 기다리는것뿐이기에..",잇팁만나는 엔프제
순살,mbti싫어
순살,ISTP번아웃
엇..나만 뼈,알아서할게istp
윙봉이여!!! 순살보단 뼈가 더 맛있긴해서..,율리istp
편하게 먹고 싶을때는 순살 뼈 발라먹는 느낌을 느끼고 싶을떄는 뼈 그떄그때 달라요~ 보통은 뼈있는거 먹구 지코바같은 치킨먹을때는 순살,고래ISTP
남친과 저는 무조건 뼈… 제 잇팁 남친은 순살 별로 안좋아하더라구요..!!,istp의 연인enfj
제것으로만든다면 (!),cherryade ENTP
아마 지금 100%일지도 몰라요....,B해Pistp
어머낫,cherryade ENTP
잇팁이 좋아하는 사람 한정으로 좀 그럽니다ㅎㅎㅎㅎ,B해Pistp
저런 뜬금없는 귀여움때문에 못헤어나온다구여🥹,cherryade ENTP
귀여우면 끝입니다 . !!,ENTP 7w8
출구없는 잇팁이의 귀여움(!),cherryade ENTP
(제 남자친구 한정일 수 있는데) 왜케 카톡을 길게 안하고 짧게 여러개를 보내나요?ㅋㅋㅋㅋㅋㅋㅋㅋ싸울때만 길게 잘보내고.. 평소엔 짧게짧게 여러개를 보내요..카톡 개수만 많은..ㅎㅎ,잇프제이묘
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ길게 쓴다는건 진짜 생각 많이 해보고 진심이 담긴 글 일거에요
저도 보통 짧게 여러개 보냅니다",0ESTP
그때의 기분이나 다른 이유에 따라...,0ESTP
"ㅋㅋㅋㅋㅋㅋ가끔 카톡이 많이 쌓여서 보면 한줄로 보내도 될 걸..굳이..싶을떄가 있어서 궁금했어요!!
방금도 오전에 퇴근하고 잔다고 했는데 깼다길래 왜 깼어? 하니까
눈이/갑자기/떠졌엉 -> ㅋㅋㅋㅋ이걸 '눈이 갑자기 떠졌엉' 하면 안되나 싶은..ㅎㅎ감사합니다!",잇프제이묘
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭔 느낌인지 알겠네요 일단 하나 보내놓고 다음꺼 보내는거라,0ESTP
앜ㅋㅋ 생각해보니 저도 짧게 여러개 보내는것같아욬ㅋㅋㅋ,ESSSSSSTP
좋아하는데 차일거 같아서 고백 못한적 있으신가요?,어쩔잇티제
차인다기보다 얘가 나를 좋아하는지 잘모르겠어서 못한적은 많네요ㅋㅋㅋ,0ESTP
"애인이 있는 상태인데, 이상형인 사람이 나타나서 엣팁님을 좋아한다고 하면 어떻게 하실 건가요?",정많은 ENFJ
와우...일단 그 이상형인분한테 미안하다하고 만나고 있는 애인하고 더 잘지낼듯? 어짜피 지금 만나고 있는 애인도 내가 맘에들어서 만나고 있는거기 때문이죠,0ESTP
아무리 이상형이라해도 지금 애인이 있으면 걔만 보여요 ㅋㅋㅋ,ESSSSSSTP
"오호.. 다행이네요
흔들리면 mbti를 다 떠나서 인간성이 이상한거라고 생각해야겠어요ㅎㅎ",정많은 ENFJ
흔들리는기 이상한겁니데이 ㅋㅋㅋ,0ESTP
맞네요ㅋㅋㅋㅋㅋ감사합니다,정많은 ENFJ
엣팁분에게 ENFJ 이성은 어떤가요?,도애 EXFJ
전 여자친구가 엔프제...였는데 친구같이 잘 놀았읍니다 호호,0ESTP
어떤 데이트를 선호해요?,잇팁과엣팁사이
액티비티한것도 좋고 정적인것도 좋아용 여자친구따라서 달라지는덧?!,0ESTP
역시 내가 좋아하는연애라 그란가 봐여 ㅋㅋ,잇팁과엣팁사이
ㅋㅋㅋㅋㅋ헷 들켰다,0ESTP
"저 역시 그래서 👉👈 ㅋㅋ
뭐든 다 좋아여",잇팁과엣팁사이
"지금 estp(남)분이 저는isfj(여)입니다
여자친구가 있는 상황인데 저한테 호감을보이고 (예를들면 여자로 보인다,진지하게 생각해도되냐, 나와다른성격에 끌린다,돈도잘씀)있는데 저도 이러면 안되지만 직진인모습에 만났어요
그러다 그쪽여자친구한테 걸려서 1달동안 연락끊기다가 생일이라고 연락했더니 여자친구 몰래 저를 만날려고 하는게 보이더라구요?
가볍게 생각하고 싶은데 이 남자의 대한 의중이 궁금해요
아 이 남자는 지금 여자친구랑 결혼할 생각이라고 합니다
저도 그거 알고 만나는 거구요..",isfj구르미
"알고 만난다는거보면 구르미님도 엣팁분의 의중을 이해하신거 같고 이런 상태를 유지하는 것도 옳지 않다 라는것도 알고 계신거 같은데 어떤게 궁금하신건지...
현 여친과는 다른 스타일이라 그냥 즐길려고 만나는거 같은데 고민하는 것 자체가 전 잘못된 것 같아요? 이런관계에 힘드신건지 뭔진 모르겠지만 얼른 정리하는걸 추천 드려요~~~한번이 어렵지 두번은 쉬워요~",0ESTP
"끊어내야 하는데 같이있으면 즐겁고 그러니까 쉽게 못끊을것같고 그 남자분도 지금 여자친구한테 걸리면 끝날걸 알면서도 나를 굳이 만날려고 하는게 보여서 저는 상대방에게 미안함+고마움 이런게 있는것같아요

엣팁이 마음에 들면 직진이라고 하는데 그 모습에 그냥 빠져든것같아요.......
머리는 정리하라고 하는데 마음은 하........... 미치겠어요",isfj구르미
"갑자기 ""그사람은 그런 부분만 빼면 다 괜찮아"" ""단지 같이 있으면 즐거워"" 이게 제일 위험한거 같다는 생각이 듭니다
잘 못 된걸 알고 끊는다면 다행이지만 정리하기 힘들다,, 미안하다,, 이런 생각이 자꾸 드신다면 만나서 어떤 방법으로든 상처받는 엔딩은 각오하고 이 상태를 유지하심이... 구르미님의 빠른 정리가 제일 중요 할 것 같습니다",0ESTP
"저든 다른분들이든 더 조언을 구하는 것 보다 구르미님의 결정, 판단이 중요!!!!",0ESTP
네 감사합니다ㅠㅠㅠㅠㅠ!!!!!,isfj구르미
전 빨리 정리해서 구르미님이 괜찮은 (솔로인)사람 만났으면 합니다ㅎㅎ,0ESTP
"그제 여친몰래 1시간가량 잠깐만났는데 남자쪽 여친(estp)질투심하다고함) 이 의심을 했는지 어제 저한테 >>>잠시차단할게요<<<이렇게 연락이 왔어요
그이후로 저도 따로 연락은 안하고 있어요

혹시 연락이 올것같다고 생각이 드나요?
물론 그 애를 잡거나 다른번호로 연락할생각 1도없습니다....",isfj구르미
mbti를 떠나서 그냥 구르미님도 차단하고 신경 안쓰시는게 좋겠네용 연락이온다면 그사람도 제정신 박힌 사람은 아닌것 같아서요,0ESTP
ENFP랑 잘 맞는거같나용??,옵저버 ENFP
괜찮았던거같아요ㅋㅋㅋㅋ극e외향인이면 조용해지고,0ESTP
엣팁이랑 연락하다가 엣팁의 말 실수로 인해 정떨어져서 연락 그만하자고 했고 엣팁남이 마음바뀌면 연락달라길래 알겠다 하고 연락 안했는데 1년 후 다시 연락왔거든요 뭐해? 라고 왜 한걸까요,둥근해가떴습니다
뭐해? 뭐하고 살어? 그냥 찔러보는거같은데용,0ESTP
놀아줘용,Yellowintp
인팁조아~,estp 떡볶이
엣팁남자 주변에계신다면 어떤가요,eeeeestpppppppp
거울치료되는 거 같아서 킹받아욬ㅋㅋㅋㅋㅋㅋ 칭구로는 좋지만 애인으로는 별로입니다 ㅎㅎ,estp 떡볶이
저랑 똑같은생각이네요 ㅋㅋㅋㅋㅋ친구로 좋지만 애인으론 절레절레.....,eeeeestpppppppp
이성적으로 안느껴져서 그렇지 그래도 가치관은 비슷해서 인간 대 인간으로는 체애애애고 ^^,estp 떡볶이
공감합니다... 같은 엣팁 이성은 친구로만...,확신의estp여자
zzzㅋㅋㅋㅋㅋㅋㅋㅋ 다들 동족혐오하는 거 왤케 웃기죠 ㅋㅋㅋㅋㅋ,estp 떡볶이
ㅋㅋㅋㅋㅋㅋㅋ완전 웃기좈ㅋㅋㅋㅋㅋ 엣팁은 엣팁 단점도 잘 알아서 안끌리는것 같아여 서로 넘 잘알..,확신의estp여자
밸런스게임으로 상대방 곤란하게 하는 거 좋아합니다ㅎㅎ,estp 떡볶이
"남친이 떡볶이님한테
딱밤을 '1대'가 아닌 '2대'나 때렸다면 떡볶이님의 대응은 ?
+ (살살살 도망가는 것까지)
(악의 1도 없는 건 알겠다는 거 가정.) 😏
(생각, 의견이 아닌 '대사'로 말씀하시면 됩니다. 😏)",표몽 eSTP 7w8
ㅅㅂ뒤질래?,estp 떡볶이
무슨 떡볶이가 최애십미까!,지각쟁이 ISTJ
응떡이영 ㅎㅎ,estp 떡볶이
굳이요?,ESTP메로
굳이🐲?,표몽 eSTP 7w8
원래 약속을 옮기면서까지..? 저는 좋아하는 사람한테도 그런 귀찮은 짓 안해요ㅋㅋㅋ,estp 떡볶이
꼭...? 일주일에 한두 번을... 관심이 없는데... 왜 만나요...?,엣취엣치엣팁
"한두번은 그럴수있겠는데
매주 한두번?... 이해불가입니다.",eeeeestpppppppp
엥? 절대 안 그럴 듯요 ㅋㅋㅋ 삐빅- 호감입니다.,우주최강엔팁
대 호---감,0ESTP
안좋아하면 안만나요ㅋㅋ,빙그루
심심하면 한번쯤 만날수도 있는데 매주한두번은 아닙니다,최고의 ESTP
