title,contents,author,comments
잇엣프제 분들 의미부여 얼만큼 하시나요?,"['뭐 프로필 뮤직이든 프사 바꾸는거든 의미심장한 사진이든(과거 같이 갔던 장소나 했던 말들을 적은 사진들)', '전애인 기준으로 퍼센트로 알려주시면 감사하겠숩니다!', '', '그리고 새벽-남재 노래는 무슨 감정과 심리가 드시는지도 알려주시묜 감사하겠숩니더!!']",iestj로 살아남기,[]
isfj esfj 반반인 남자가,"['별로 안친한 오빠가 저보고 술먹고 따로 나와서', '너한테 관심있는데 연락해도되냐고했는데', '가벼운거 아니고 진짜 좋아해서 하는거 맞죠..?', '말을 해본적이 진짜 5번? 밖에 안되는데요', '']",ㅇㅌㅈ,"['좋아한다기보단 말그대로 관심있오서 그런겁니당', '그럼 그 연락이 썸 관계로 연락을 하는건가요?\n부담스럽냐고 연락이 왔는데\n저는 좀 천천히 친해지고싶다했는데\n그게 그냥 오빠동생사이는 아니고 썸 사이로 연락하는건지 궁금해요', '아 부담스럽냐고까지 물어본거면 좋아해도되냐고물어본거같긴하네용 썸사이로', '그럼 여기서 그냥 오빠동생사이로는 못친해지는거죠..?ㅠ', '그사이에 그분이 다른사람한테 눈돌리지않는이상 그럴걸요..?']"
엣프제분들 얼마나 공감하시나요?,['왼쪽은 최대 공감 기준 10입니다.'],노잼엣프제,[]
ISFJ 공략법...,"['ISFJ 공략법..', '-ISFJ는 고백하면 만나보면서 상대방을 알아가려고 하는거 같음.', '', '', '1.참을성이 있어야함..', '급발진하면안됨', '난 남자니까 남자답게 들이대야지? 하면안됨', 'ISFJ님께 잘해주면', ""'아.. 누구에게나 다 잘해주시는가 보다' 라고생각함."", '저는 한달 반정도 걸린거같습니다 ㅎ', '', '2.예의바른 사람좋아함.', '-뭐 이건 당연한건데 당연해야되는거 같습니다..', '어떤MBTI든 당연 예의바른사람이 좋지용', '', '3.아재개그좋아함', '-아재개그 싫어하는사람 많은데 ISFJ는 유독 아재개그 좋아해옄ㅋㅋ', '', '', '4.신경써주는거 매우좋아함', '-다른분도 좋아하겠지요.', '받는거보단 남에게 희생정신이 높은 ISFJ는 여러번 이런상황을 격어보면', '한번쯤은 나도 받아보고싶다고 생각하는 ISFJ분이 계심 ( 지금 제가 만나는분은 그렇슴돠)', '(저는 상대방에게 해주는걸 좋아해여(속닥속닥)', '', '', '5.사소한거 기억해주는거 좋아함', 'ISFJ가 저는 어떤음식은 별로였어요', '저는 뭐가 좋아요', '이런식의 이야기를 귀 기울여 들었다가 기억해주면', '""기억하고 계시네요?"" 라는 소리들을거임', '', '', '6.애정표현을 잘못하고 어려워함', '-애정표한은 정말 잘 못하는거 같으심', '그럼 제가 좀 하죠.. 적당히 ㅎㅎ', '그러면 좋아하는거 같습니다', 'ISFJ가 애정표현 못한다고 서운해 하지마세요', '', '', '7.ISFJ는 눈치가 빠른거 같음', '-저도 눈치가 빨라서 ㅎㅎㅎㅎㅎ', '', '8.카톡', '-ISFJ가 상대방에게 감정이 없을때는 카톡답이 빠르거나', '선톡 잘 안해여', '', '하지면 자기사람이다 자기바운다리에 들어온 사람이다 하면', '톡 잘해요', '전화도 통화하면 아무말대잔치가 시작되는데', '1시간넘을때가 많아여', '', '', '더 궁금한건 댓글 ㄱ']",이너얌istp,"['전 3은 진짜 별로...', '여자분 공략법이랄까요 ㅎㅎ', '얼쭈 맞네요ㅎㅎ', 'ㅎㅎ 다행입니다.', '맞아요. 처음엔 느렸는데 지금은 엄청 빨라졋어요 ㅎㅎㅎ', '저도 아재개그같은거 좋아해요 뭔가 그 드립자체가 재밌다기보다 싸해지는 반응에서 오는 웃긴순간이 재밌는거같아요', '222ㅋㅋㅋ그걸 재밌을꺼라고 하고 싸해진 분위기가 웃겨요 ㅋㅋ풉 이러면서 웃어요 ㅋ귀여워요', '다 맞네요 다정다감한거 세심함\n그리고 존경할수 있는 사람이면 더 좋겠네요', '잇프제이지만 다 맞습니다. 세상 제일 단순한게 잇프제인데 사람들이 잇프제를 왜그렇게 어려워할까요ㅠㅠ', '그르게요~ 저도 그렇게 생각해요 ㅎㅎ', '죄다 성향이 다르니..\n저는 잇프제 좋아영', '진짜 그런거 같아요\n특히 신경써주는걸 좋아한다 이부분\n뭔가를 도움 받았다고 생각하면\n꼭 돌려주려고 하더라고요\n신경써주는게 고맙다면서...\n아재개그는 물론\n싱거운 개그에도 잘 웃어요\n거의 내장을 토해내듯이 푸하하~ 호쾌하게 웃음\n잇프제 참 따뜻하고 재밌어요', '맞아요\n잇프제님\n진국이신분...\n더욱더 저는 조심스럽게\n신경써주고 하면사 연애중입니다 ㅎㅎ\n감사합니당', '이거 정답이네요!!', '저도3,6번은 아니네요 저 애정표현 잘해요 ㅋㅋㅋ', '8번 무슨말이에여? 카톡답 안빠르단건가용??', '관심없을땐 느리고\n감정있으면 빨라요', '감사해요!']"
esfj는 갈등상황을 싫어하는 줄 알았는데,"['저희 남편은 불합리하거나 따져야 하는 상황이 있으면 조금도 못참고 따지더라구요', '물론 따져야 할 상황에서만 따지긴 하는데 isfj인 저는 갈등이 싫어서 그냥 어느정도 참을 수 있으면 내가 참자~ 더러워서 피한다 마인드예요', '근데 남편은 조금도 못참고 화를 내니까 옆에서 보면 조마조마하구 막 무섭고 그래요 🥲', '나이 많고 사회화도 많이 돼서 기본 esfj 특징과 약간 다르긴 해요', '다른 esfj분들은 어떠신가요?']",푸린 ISFJ,"['esfj 본인이 억울하다고 생각하면\n엄청 따지는것 같아요ㅎㅎ\n그러곤 뒷끝은 없는데\n따지고들면 피곤하죠ㅠ', '아닌 건 말하게되더라구요..']"
잇프제 씀씀이가 적나요? 절약정신 강하나요?,"['중년의 잇프제입니다', '', '자기 안 쓰는 물건을 막 줘요', '안 쓰는 자전거랑 머리 보호대, 안 쓰는 장갑,', '안 쓰는 신발...등등', '', '고맙기는 한데 ...ㅎ', '', '', '']",늘봄날enFp,"['ㅋㅋㅋ저도 그런적 많아서\n근데 뭔가 친해야 막 줘요.\n친한사이라는 증거인데..\n앗.나 이거 있어~~!해보세요\n알아들을듯요ㅎㅎ', '챙겨주는걸 좋아하긴해요!\n근데 적당히가 중요한데..\n아끼는사람이면 필요해보이는거 해주고싶더라구요', '본인이 안쓰는 걸 왜 타인에게 자꾸주는건.. 좀 아니라고 생각해요 ㅠ 타인에게 버린다는 표현처럼 쓰일 수도 있으니깐요. isfj마다 다 다를 것 같은데 모르는 사람이나 친하지 않는 사이라면 그럴 수도 있겠지만 가까운 사람에겐 보통 제가 정말 아끼는 거나 새걸로 사줍니다. 제가 대충 쓰다 만거나 안쓰는 걸 막 주진 않습니다.', '챙겨주고 싶어서요 단지 그것도 친해야만 가능하답니다! 저도 친구보면 막 챙겨줘요', '1. 일상에선 씀씀이가 적은편이지만, 가끔씩 지름신 올때가 있는데 그땐 평소보다 크게 씀. (의미있는 날 한정.)\n2. 어떠한 목표치가 있다면 절약 정신이 더더욱 극대화됨.\n3. 원한있는 관계가 아니라면 챙겨주는걸 좋아함. (깊은 관계라면 씀씀이가 조금 커짐.)\n4. 내가 안쓰는 물건이 있을때 그냥 버리긴 아까우니 주위 사람들에게 쓸건지 먼저 물어봄.\n\n대략 이정도가 되겠습니다.', '따로 이야기가 없으면.. 그렇게 물질적으로 챙겨주진 않습니다.. 다만, 행정적인 부분이나, 경험했던 부분계열은 고민을 같이 해주죠.. 그리고 저는 물질적인 부분 (물건) 보다는 먹는데에 더 소비를 많이해서 ㅋ 흠...']"
잇프제인데 n성향 강한 잇프제...,"['잇프제들 대부분이 잇티제에 가깝고 n < s인데', '전 n =< s 에요.', '', '그래서 잇프제에 걸맞는 6w5라는 에니어그램을 가지고 있으면서도 가끔 검사하면 인프제도 나오는...', '', '엄마가 인프제여서 어느정도 환경의 영향(?)을 받았을까요?', '🤣', '']",ISFJ 남자 6w5,[]
"오지랖(?), 관심 갖기(esfj 추정)","['디폴트인가요?(exfx 는 확실함)', '추가로 저랑 대화한 말을 다른 사람에게 말을 안했으면', '좋겠는데 몰랐는데 했더라고요?', '상관은 없는데 답답함이 있어요', '왜저래 느낌']",벙커안에메딕,[]
엣프제였다가 엣티제이신 분들 있어요?,['학교 프로그램에서 Mbti 검사 한 번 해봤는데 엣티제 처음으로 나왔네요?? 원래 평소에 엣프제이거든요.'],바이러스엣프제,"['저요~ 지금까지 계속 엣프제로 살아왔는데 절친 엔팁과 자주 어울리면서 T성향이 강해진거 같아요 ㅋㅋㅋㅋ 검사 했는데 엣티제 나오더라고요 T/F 거의 반반 이긴 해요~', '저요 ㅋㅋㅋ 사회생활 하다보니 감정적으로 반응하면 제 자신에게 손해일 때가 많아져서 그냥 무덤덤해지고 있는 거 같아요 그러다보니 65:35에서 5:5 됐어요', '저도여 얼마전에 했는데 T 나왔어요 사회생활+남친 INTJ 영향이 있는거같아요!']"
잇프제 분들 바뻐서 썸붕,"['너무 바쁘면 호감 생겨도 접기도 하나요?', '어느정도 바쁜거냐면 흠 잠자는 시간 빼고는 거의 일하는 정도?..에요', '', '저는 아무리 바빠도 좋으면 일단 사귀는데', '잇프제분들은 책임감이 강해서 상대를 다 책임지지 못할 것 같으면 연애를 시작도 안하신다고 들어서요', '', '진짜인가요???', '쌍방 썸이라 생각했는데 바빠지면서 좀 갸우뚱 해서요 ㅎㅎ']",엥쀼삐잉,"['저랑 똑같네요 썸남은 esfj거든요 쌍방이라고 생각했는데 요즘 엣프제가 바빠지면서 관계에 진척이 없는 느낌이라..', '전 현타왔다가 이제 걍 그러려니 하고 제 할일 하고있어요 ㅋㅋㅋㅋㅋ 제가 뭐 어케 할 수 없는 일이니..', '당장 사귀지는 않아도 이렇게 바쁜 나를 이해해줄 정도의 사람이면 여지는 있을것 같아요', '그냥 저도 제 할일 하면서 별생각 없어지는거같아요 ㅋㅋㅋㅋㅋ 걍 주변에서 맴돌고있어야하나바요', '너무 바쁜데 그럼에도 불구하고 사귀어본 적은 있어요. 그런데 사귀는 내내 상대방이 괜찮다고 했는데도 제가 상대방에게 너무 미안하고 그게 계속되다보니 부채감이 되어서 결국 헤어졌네요 ㅜㅜ…이 일 이후로 아예 연애할 겨를이 없으면 연애 시작안하긴해요', '왠지 이분도 제게 맘이 있으시다면 이런 마음이실거같긴 해요 ㅋㅋㅋㅋ 아니면은 그냥 저를 덜 좋아하시는건가 싶긴 하지만요', '덜 좋아하면 저는 사실 그냥 연락도 슬슬 놔버려요 괜히 희망고문하는거같아서..연락이 그분이 하는 액션의 최선이라면, 맘은 똑같이 있는데 상황이 전혀 안돼서 그러는걸거에요 ㅠ 사실 여기서 그럴 여유가 없는데 상대쪽에서 더 적극적인 액션을 요구하면 저는 놔버립니다..아 이사람은 연애가 급하구나, 지금 나는 그걸 해줄수없는데..싶어서요 ㅠ 힘내세요', '그냥 틈틈히 답장하시긴 하는데 막 제 일상을 엄청 궁금해하시는 느낌은 아녜요 ㅋㅋㅋ 근데 워낙 말투가 쭉 이러셔서 이게 놔버리시는건지 아니면 걍 이분 성격이신지 잘 가늠은 안가는데.. 원래 이러신거같긴해요…ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ\n\n이주인가 전에 제가 속상한일 있는데 당신 목소리 들으면 기분 좋아질거같아소, 시간날때 전화해줄 수 잇냐니까 전화도 하시는거보면,, 이게 그분의 최선일까 싶기도 하네요 ㅋㅋㅋ', '와아 저도 상대 엣프제인디 똑같은 상황이네요 ㅋㅋㅋ\n\n대사도 비슷', '진짜 어려워요 잇엣프제 ㅎ', '엔티제라서 직구 날려드립니다\n바빠서 연락을 잘 못할 것 같다는 통보를 하거나 관계를 진전시킬 생각이 없다는 것은 핑계라고 봅니다 정말 좋아한다면 아무리 바빠도 1달에 1~2번이라도 보려고 노력하겠죠.', '그러게요 ㅎㅎ 아직 제게 맘이 그만큼 없으신가봐용 ㅋㅋㅋ', '진짜 조으면 바빠도 틈내서 연락하고\n바빠도 어떡해든 만날궁리합니다!', '틈내서 연락은 하시는거같은데 만나주질 않으시네요 우하하', '님이 쓰신 말씀이 맞아요.. 전 그래요..\n\n뭔가 마음의 여유가 있어야 대화도 하고 연락도 하고 그래야 관계도 진전이 되고 할텐데\n\n내가 너무 바쁘거나 마음의 여유가 없을땐 상대방에게 그정도 관심을 쏟아주지 못해서 서운하게 하는 일이 많아질 것이기 때문에 그런 미안한 일을 만들면 안 되니까ㅠ 그런 상황 자체를 만들지 않는 거죠... 그 사람이 좋지만서도ㅠㅠㅠㅠ', '처음에는 제입장에서 이해가 안가서 이사람 혹시 어장인가? 했는데.. 짝남은 성격상 어장을 하실 것 같진 않고 그냥 그런 상황을 안만드시는가봐요 ㅋㅋ 사실 좀 초반에 말씀하시긴 했어요 어느정도 자리잡고 연애하고싶다고..ㅎㅎ', '저랑 반대 상황이네요ㅜ', '어떤상황ㅇ새요?!!', '제가 남자고 상대가 여잔데\n친한 지인한테 들었는데 여유가 없어서 계속 연락하면 어장관리하는거 같아서 스스로 마음을 접었다네요... 저한텐 친한 오빠동생사이로 지내자해서 저는 마음이 있어서 안될거같다고 말하고 두번 더 잡았는데 안잡혀서 그대로 끝났어요..']"
엣프제는 사람 사귈 때,"['어떤 식으로 대인관계를 형성하나요?', '저는 그사람에 대한 관상을 보고 친해지고 싶다하면 친해지는 것 같아요.정말 좀 친해지고 싶으면 제가 적극적으로 다가가요.근데 간을 좀 보면서 아니다 싶으면 바로 거리두기 시작하는 것 같아요.그래서 엔프제처럼 사람 여러명을 대인관계 형성하는 것에 비선호하는 편인 것 같아요.']",바이러스엣프제,"['맞아요 좀 지켜보다 아닌사람은 그냥 인사친절히 사회적인 비즈니스적인 관계로써 대우하고 친하게 지내고싶은 사람한테 먼저 반갑게 인사하고 이것저것 챙겨주고 이것저것 물어보고 그러는 것 같아요', '적당히 두기도하고 저도 작성자분하고 비슷한 것 같아요']"
엣잇프제분들...!! 질문이용 !,"['일단 단도직입적으로 얘기하면 제가 교환학생에 붙어서 스토리에 올렸습니다', '근데 제 글 계속 봐오시던 분들은 아시겠지만 엣잇프제 반반인 전남친이 스토리 이모티콘 답장을 하더라구요?', '제가 인스타 게시물을 올려도 좋아요를 안누르던애가..? (언팔 차단은 안했습니다..)', '의미부여나 그런건 안하려고 그냥 축하해주는거겠지 라고 생각하고 있지만 그냥 심리가 궁금합니다!', '왜 누른걸까요..? 물론 본인만 알겠지만 알려주세용!', '제가 생각하는 잇프제 성격은 아주... 조심스러운걸로 아는데 미련있는걸까요?', '(원래 엣프제였는데 요즘은 아이 성향이 좀 강한듯해요 보여지기에는?)', '']",iestj로 살아남기,"['나쁘게 헤어지신게 아니라면 축하요!', '미련이 있다면 어떻게 티 내시나요?', '차단한게 아니라면 연락해봅니다!', '다 잊었다는 듯한 노래 가사인 노래 프뮤에 두고 그러진 않으시나요?', '잇프제마다 다르겠지만 저는 미련있다면 보겠지? 보라고 미련 있는 가사만 골라 놓는편입니다..']"
ISFJ님들!! J 특성에 대해 물어보고 싶어요!,"['제 남자친구가 mbti를 검사할 때마다 항상 isfj가 나오고 특징 설명 봐도 앵간 잘 맞아요!', '그런데 J치고는 계획성이 하나두 없거든요..', '', '장거리 연애라 타지역에서 만나가지구 저는 p임에도 불구하고 항상 데이트 계획을 어느정도 짰으면 좋겠는데 남자친구는 그냥 가서 하지뭐~ 이래요ㅜ', '그래서 맨날 제가 너 어디가서 j라 하지말라해요 ㅋㅋㅋ', '', '학업쪽도 계획 잘 안 세워서 하구.. 대체 어떻게 j가 나오는 건지 🤯 (근데 isfp 특징이랑은 잘 안 맞어요)', '', '자기가 생각했던대로 일이 안 돌아가면 기분 안 좋아하기는 하는데.. 원래 isfj가 j 성향이 약한가요?? 약간 과몰입 같지만 궁금해서요 ㅎㅎ']",순도 100 infp 대명사,"['저는 j인데 상대방이 p인 것 알면 오히려 나의 계획으로 상대방이 빡빡하다고 느낄까봐, 진짜 흘러가는대로 살자! 다짐하고 나갈 때 있긴해요. 약간 일탈 느낌처럼요. 그리고 좋아/애정하는 상대방일수록 무얼하든, 어딜가든 그 사람이랑 같이 있는 것에 의의를 둬서 더 계획 안짤 때도 있어요.\n\n그럼에도 여행이나 타지역 데이트 등계획이 필요할 땐 j처럼 행동할 것 같긴해요.', '사람이나 환경에 따라 유동적으로 선택하는 느낌인 것 같아요.', '제가 딱 그랬었어요 20대 초반이나 연애 안할때 완전 게으른? 둔한? j였어서 내가 완전 기대가 되거나 로망이였던 일은 계획을 짜고 그것이 틀어지면 기분이 안 좋은데, 그외에 일상적이거나 간단한 데이트는 상대에게 맡기거나 흐르는대로, 그냥~ 여기 가보고 닫았으면 다른데 가지 뭐~ 이렇게요..ㅎ', '와 제가아는애랑 똑같아요. 다만 그 j는 일적인것만..j고 여행은 절대 j가 아니더라구요..', '님 잇프제ㅠㅠ남친의 특징좀 알려쥬셍ㅅ유ㅠㅠㅠ', '전 잇프제 여자인데\n남푠 int J 도 연애때 데이트 계획은 안짜더라구요 ;;\n가족이 되면 여행코스 같은건 잘 짤거에요\n\n보통,\n데이트 주도권은 여자에게 양보해 주는거 아닐까요 ^^;;', '와 제 썸남도 잇프제인데 식당 데이트장소 영화뭐볼건지 다 저한테 맡겨서 뭐지? 나한테 관심없나 했거든요....!!', ""저도 약속있을 때 계획 안 짜요 ㅠ... 제가 짠 계획 상대방이 안 좋아할 수도 있단 생각..? 제가 찾아서 좋다고 갔는데 별로면 ㅜ 괜히 미안해지는 ㅜ\n그리고 미래 계획은 없어요. 그냥 현재 해야 할 일에 충실. 대신 하루 단위 계획이 있고, 모든 일에 마음 속으로 '이거 하고, 그 다음엔 이거' 생각하면서 행동해요 ㅎㅎ. 예를 들면 회사에서 '지금 탕비실 들렀다가 화장실 갔다 돌아오는 길에 ㅇㅇ님 자리 가서 물어보고 ㅇㅇ과 가서 요청하고 와야지!' 이런 식이에요. 저만 그런 걸 수도 ㅎㅎ"", '여행 코스 짜는건 어려워요 가만 있어도 고민 많고 생각도 많은데 짜야하면 윗분 말씀처럼 뭘 좋아할까?싫어하면 어떡하지? 이게 나으려나? 이게 맞나? 머리터진다할까요ㅎㅎ그래서 리드 당하는걸 조아하는편이예요 좋은말로하면 연인이 하고픈데로 거의 맞춰주죠 자기 의사는 중요치 않거든요..미래 같은 경우는 멀티가 안됩니다 ㅋㅋㅋㅋㅋㅋㅋ 한가지 시작했으면 끝나야하는데 미래까지 생각할 여유가 없다랄까요', 'Isfj가 배려가 강한성향이다보니까 계획다세우면 다 내가 하고싶은거고 님의 의견은 안들어간거니까 오히려 불편해요 차라리 즉흥적으로 하면서 님이 하고싶은걸 같이해주고 싶은 마음이 큰거같아여. 그리고 J하고 P를 구분할때 계획을 잘세우냐마냐보다 계획이 틀어졌을때 스트레스를 받으면 J. 계획이 틀어져도 타격없으면 P라네요', '계획은 기본적인 틀만 짜는거에여.. 세부사항 잡잖아여? 그거 다 틀어집니다 ㅋㅋㅋㅋㅋㅋ 계획을 세세하게 잡으면 안됩니다... 가볍게 가는거면, 굳이 계획까지 안가도... 되지 않을까 싶은...']"
버리지말라는 잇프제 남,"['', '', '', '사람마다 다르겠찌만', '', '잇프제남중에 저런얘기하는 사람있나요...???', '', '', '', '태어나 처음듣네요..']",enfp덥덥,"['홀,...... 왜 이러는걸까요. 본인도 제게 미안한게있따는걸 아는건가', '저 잇프제여인데 자주 하는 말이예요..', '자존감이 낮으신분 아니실까요?\n저는 안그래요', '버림받음에 대한 두려움이요', '사람한테 많이 데여서 그래요. 상처 받은게 있거나요 자기는 마음 오픈하고 만나곤 있지만 끝나버림 어쩔까하는 자기를 싫어하면 어쩌지 싶은 불안함이랄까요..', '어렸을 때 그런 걸로 상처를 많이 받았고, 그만큼 속 안에 상처가 많으신 분인 것 같네요', '제 남친도 그말했어요 잇프제임요']"
잇프제는 정말 후폭풍 안오나요..!,['사바사일까요 ㅠ'],estp마라탕,"['사바사 이긴 한데 진짜 끝이라고 생각하고 끝냈으면 저는 후폭풍 안오더라구용', '참다참다 이미 마음 정리 끝내고 얘기하는 경우가 많아서 후폭풍이 없나봐요 워낙 또 신중한 분들이 많다보니..', '정리 전까지가 진짜 힘들고, 입밖으로 꺼내고나서 며칠 바쁘게 지나면 그냥 미련 없어지는 것 같아요', '사바사에요 저는 연애마다 달랐어요..!', '어쩔수없이 헤어진 경우 아니면 후폭풍 없었어여', '사바사 아닐까요..\n저는 참다참다 서운한걸 이야기 하고.. 개선되지 않으면 서서히 놓는것 같아요\n그렇게 천천히 마음정리 하면서 지내다 이젠 정말 아니다 싶을때 헤어지자 얘기 하는것 같아요\n그때는 후폭풍이고 뭐고없어여~\n매달려도 안되는듯요', '저는 연애에 매번 최선을 다하기 때문에 헤어지면 후폭풍 거의 없는편', '지금까지 후폭풍이 안온적은 없었어요\n아무리 생각해도 이건 아닌다 싶은사람 딱 한명 그사람은 후폭풍 있어도 오기로 잊었던거 같아요\n나머지는 제가 먼저 연락 했었어요 혹시나 싶어 나중에 후회 하느니 먼저 손내밀어 보자는 생각으로요']"
