title,contents,author,comments
연애를 하는데 외로워요,"['잇팁 남친 반수하고있어서 수능 3개월 남았어요', '그래서 전 혼자있는 시간이 늘어나고 ..', '어쩔 수 없는거 알아서 묵묵히 기다리는게 맞는데', '그냥 외롭네요 ……………..', '저도 제 할 일 열심히 하고 바쁘게 사는데도', '외로운 감정은 숨길수가 없네요 ……….', '내색하기엔 애같아서 혼자 삼키는중인데', '외롭네요 ………..']",잇팁만나는 엔프제,"['수능 끝나면 군대 18개월도 기다리셔야…', '...🫢', '9월에 신검 받긴한데 뭔가 정신병때문에 공익 나올것같긴한데 모르겠네요 하ㅏ 기다리기 힘드렁요 벌써', '정공이라면 지원에 리스크가 있는게 복지시설 이런곳이나 민간인 많은 곳은 제한되어 있어서 지원하더라도 거의 최하위 순위권이라 떨어질 확률 80%는 됩니다 저는 허리디스크 공익이였지만 한번만에 지원되었었고 제 친구는 21살때 현역으로 갔다가 중간에 나와서 정공 판정 받고 6년 동안 존버 타다가 27살때 합격했어요ㅋㅋ 누구는 취업할때 누구는 늦게가서 인생 꼬여요', '공익으로 판정 받는다면 데이트 같은건 평일이든 주말이든 쓰니님이 근무지에서 알바생으로 일하든 연애는 매우 자유롭겠지만 남친분 앞길을 위해서라면 현역으로 가셔서 빨리 갔다가 제대하는걸 권유드리옵니다 늦게가면 인생 꼬입니다', '근데 웬만하면 3개월남았을때는 진짜 변화를줄여야돼서.. 차더라도 이후에 해주셔야 상대한테 좋을거같고\n최대한 내색안하구 있어주시는게 서로 제일 좋을거같아요..\n고삼입장에서 저도 지금 썸남이랑 썸붕낼까 고민중인데 생각해보면 좀 그렇더라구요', '아이 당연하죠 ,, 그래도 저도 제시간이 확보되고 연락에 신경안써도 되가지고 오히려좋긴한데 그래도.. 서운하긴합니다', '수능끝나도 외로우실꺼에요 장담 ㅋ', 'ㅠㅠㅠ 태도가 지금이랑 같을까요..?ㅠㅠ', '네!! 백퍼~', '머리론 알지만 외로운건 어쩔 수 없죠 ㅠ 학생이다보니 수능끝나고도 이후에 여러가지 변화들이 많을 시기라 잘 견뎌야겠네요.', '맞아요!! 그렇다고 티내기도 그렇고 챙겨달라고 하기도 좀 그렇고ㅠㅜ 네 고마워요 ,, 지금 제가 할 수 있는건 기다리는것뿐이기에..']"
잇팁분들,"['치킨시킬때 저처럼 순살시키나요 기차나서ㅋㅋ', '저는 순살시키거나 윙봉위주로시키는데..']",ISTP로즈양,"['순살', '순살', '엇..나만 뼈', '윙봉이여!!! 순살보단 뼈가 더 맛있긴해서..', '편하게 먹고 싶을때는 순살 뼈 발라먹는 느낌을 느끼고 싶을떄는 뼈 그떄그때 달라요~ 보통은 뼈있는거 먹구 지코바같은 치킨먹을때는 순살', '남친과 저는 무조건 뼈… 제 잇팁 남친은 순살 별로 안좋아하더라구요..!!']"
잇팁 오늘 귀여웠던것,"['제가 있는곳 비슷한일 하는 사람들끼리 가끔 커피타임 하는데', '오늘 웬일로 잇팁이도 가겠다고 연락이와서', '카페로 같이 출발하려 만났거든여 (3% 길들여진듯)', '', '잇팁이네 건물이랑 제가 있는 건물이 연결되어 있고', '제가있는쪽에 양쪽으로 열리는 문이 있고 긴 복도로 이어져있어염', '문옆에 버튼 누르면 자동으로 열리는 기능이 있어서', '멀리서 잇팁이 걸어오는거보고 눌러줬더니', '열려라 참깨! 외치면서 양팔 휘저음 ㅋㅋ ㅋㅋㅋ', '', '귀여웠네요 네', '(아마도 또 저한테만 귀여웠던걸루)', '', '여기 글 쓰는게 은근 중독되는거 같네요 대나무숲같은 느낌', '넘 자주 써서 이제 적당히 줄이려구여,,', '저를 버티느라 고생하셨어요 다들.. ♥️']",cherryade ENTP,"['제것으로만든다면 (!)', '아마 지금 100%일지도 몰라요....', '어머낫', '잇팁이 좋아하는 사람 한정으로 좀 그럽니다ㅎㅎㅎㅎ', '저런 뜬금없는 귀여움때문에 못헤어나온다구여🥹', '귀여우면 끝입니다 . !!', '출구없는 잇팁이의 귀여움(!)']"
엣팁 무물,"['잠오는 금요일 빨리 퇴근하고 싶으니까', '', '무물받아요']",0ESTP,"['(제 남자친구 한정일 수 있는데) 왜케 카톡을 길게 안하고 짧게 여러개를 보내나요?ㅋㅋㅋㅋㅋㅋㅋㅋ싸울때만 길게 잘보내고.. 평소엔 짧게짧게 여러개를 보내요..카톡 개수만 많은..ㅎㅎ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ길게 쓴다는건 진짜 생각 많이 해보고 진심이 담긴 글 일거에요\n저도 보통 짧게 여러개 보냅니다', '그때의 기분이나 다른 이유에 따라...', ""ㅋㅋㅋㅋㅋㅋ가끔 카톡이 많이 쌓여서 보면 한줄로 보내도 될 걸..굳이..싶을떄가 있어서 궁금했어요!!\n방금도 오전에 퇴근하고 잔다고 했는데 깼다길래 왜 깼어? 하니까\n눈이/갑자기/떠졌엉 -> ㅋㅋㅋㅋ이걸 '눈이 갑자기 떠졌엉' 하면 안되나 싶은..ㅎㅎ감사합니다!"", 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭔 느낌인지 알겠네요 일단 하나 보내놓고 다음꺼 보내는거라', '앜ㅋㅋ 생각해보니 저도 짧게 여러개 보내는것같아욬ㅋㅋㅋ', '좋아하는데 차일거 같아서 고백 못한적 있으신가요?', '차인다기보다 얘가 나를 좋아하는지 잘모르겠어서 못한적은 많네요ㅋㅋㅋ', '애인이 있는 상태인데, 이상형인 사람이 나타나서 엣팁님을 좋아한다고 하면 어떻게 하실 건가요?', '와우...일단 그 이상형인분한테 미안하다하고 만나고 있는 애인하고 더 잘지낼듯? 어짜피 지금 만나고 있는 애인도 내가 맘에들어서 만나고 있는거기 때문이죠', '아무리 이상형이라해도 지금 애인이 있으면 걔만 보여요 ㅋㅋㅋ', '오호.. 다행이네요\n흔들리면 mbti를 다 떠나서 인간성이 이상한거라고 생각해야겠어요ㅎㅎ', '흔들리는기 이상한겁니데이 ㅋㅋㅋ', '맞네요ㅋㅋㅋㅋㅋ감사합니다', '엣팁분에게 ENFJ 이성은 어떤가요?', '전 여자친구가 엔프제...였는데 친구같이 잘 놀았읍니다 호호', '어떤 데이트를 선호해요?', '액티비티한것도 좋고 정적인것도 좋아용 여자친구따라서 달라지는덧?!', '역시 내가 좋아하는연애라 그란가 봐여 ㅋㅋ', 'ㅋㅋㅋㅋㅋ헷 들켰다', '저 역시 그래서 👉👈 ㅋㅋ\n뭐든 다 좋아여', '지금 estp(남)분이 저는isfj(여)입니다\n여자친구가 있는 상황인데 저한테 호감을보이고 (예를들면 여자로 보인다,진지하게 생각해도되냐, 나와다른성격에 끌린다,돈도잘씀)있는데 저도 이러면 안되지만 직진인모습에 만났어요\n그러다 그쪽여자친구한테 걸려서 1달동안 연락끊기다가 생일이라고 연락했더니 여자친구 몰래 저를 만날려고 하는게 보이더라구요?\n가볍게 생각하고 싶은데 이 남자의 대한 의중이 궁금해요\n아 이 남자는 지금 여자친구랑 결혼할 생각이라고 합니다\n저도 그거 알고 만나는 거구요..', '알고 만난다는거보면 구르미님도 엣팁분의 의중을 이해하신거 같고 이런 상태를 유지하는 것도 옳지 않다 라는것도 알고 계신거 같은데 어떤게 궁금하신건지...\n현 여친과는 다른 스타일이라 그냥 즐길려고 만나는거 같은데 고민하는 것 자체가 전 잘못된 것 같아요? 이런관계에 힘드신건지 뭔진 모르겠지만 얼른 정리하는걸 추천 드려요~~~한번이 어렵지 두번은 쉬워요~', '끊어내야 하는데 같이있으면 즐겁고 그러니까 쉽게 못끊을것같고 그 남자분도 지금 여자친구한테 걸리면 끝날걸 알면서도 나를 굳이 만날려고 하는게 보여서 저는 상대방에게 미안함+고마움 이런게 있는것같아요\n\n엣팁이 마음에 들면 직진이라고 하는데 그 모습에 그냥 빠져든것같아요.......\n머리는 정리하라고 하는데 마음은 하........... 미치겠어요', '갑자기 ""그사람은 그런 부분만 빼면 다 괜찮아"" ""단지 같이 있으면 즐거워"" 이게 제일 위험한거 같다는 생각이 듭니다\n잘 못 된걸 알고 끊는다면 다행이지만 정리하기 힘들다,, 미안하다,, 이런 생각이 자꾸 드신다면 만나서 어떤 방법으로든 상처받는 엔딩은 각오하고 이 상태를 유지하심이... 구르미님의 빠른 정리가 제일 중요 할 것 같습니다', '저든 다른분들이든 더 조언을 구하는 것 보다 구르미님의 결정, 판단이 중요!!!!', '네 감사합니다ㅠㅠㅠㅠㅠ!!!!!', '전 빨리 정리해서 구르미님이 괜찮은 (솔로인)사람 만났으면 합니다ㅎㅎ', '그제 여친몰래 1시간가량 잠깐만났는데 남자쪽 여친(estp)질투심하다고함) 이 의심을 했는지 어제 저한테 >>>잠시차단할게요<<<이렇게 연락이 왔어요\n그이후로 저도 따로 연락은 안하고 있어요\n\n혹시 연락이 올것같다고 생각이 드나요?\n물론 그 애를 잡거나 다른번호로 연락할생각 1도없습니다....', 'mbti를 떠나서 그냥 구르미님도 차단하고 신경 안쓰시는게 좋겠네용 연락이온다면 그사람도 제정신 박힌 사람은 아닌것 같아서요', 'ENFP랑 잘 맞는거같나용??', '괜찮았던거같아요ㅋㅋㅋㅋ극e외향인이면 조용해지고', '엣팁이랑 연락하다가 엣팁의 말 실수로 인해 정떨어져서 연락 그만하자고 했고 엣팁남이 마음바뀌면 연락달라길래 알겠다 하고 연락 안했는데 1년 후 다시 연락왔거든요 뭐해? 라고 왜 한걸까요', '뭐해? 뭐하고 살어? 그냥 찔러보는거같은데용']"
엣팁 여자 무물,"['엣팁 여자 입니다.', '무물 받아요', '심심해요', '놀아줘요']",estp 떡볶이,"['놀아줘용', '인팁조아~', '엣팁남자 주변에계신다면 어떤가요', '거울치료되는 거 같아서 킹받아욬ㅋㅋㅋㅋㅋㅋ 칭구로는 좋지만 애인으로는 별로입니다 ㅎㅎ', '저랑 똑같은생각이네요 ㅋㅋㅋㅋㅋ친구로 좋지만 애인으론 절레절레.....', '이성적으로 안느껴져서 그렇지 그래도 가치관은 비슷해서 인간 대 인간으로는 체애애애고 ^^', '공감합니다... 같은 엣팁 이성은 친구로만...', 'zzzㅋㅋㅋㅋㅋㅋㅋㅋ 다들 동족혐오하는 거 왤케 웃기죠 ㅋㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋㅋㅋ완전 웃기좈ㅋㅋㅋㅋㅋ 엣팁은 엣팁 단점도 잘 알아서 안끌리는것 같아여 서로 넘 잘알..', '밸런스게임으로 상대방 곤란하게 하는 거 좋아합니다ㅎㅎ', ""남친이 떡볶이님한테\n딱밤을 '1대'가 아닌 '2대'나 때렸다면 떡볶이님의 대응은 ?\n+ (살살살 도망가는 것까지)\n(악의 1도 없는 건 알겠다는 거 가정.) 😏\n(생각, 의견이 아닌 '대사'로 말씀하시면 됩니다. 😏)"", 'ㅅㅂ뒤질래?', '무슨 떡볶이가 최애십미까!', '응떡이영 ㅎㅎ']"
estp는 안 좋아해도 단 둘이 만나나요??,"['estp는 안 좋아해도 단둘이 만나자고 하면 만나나용..?', '일주일에 한 두번씩은 꼭 만나는거 같은데 막 본인 원래 약속 옮기면서까지 제가 되는 시간에 맞춰주면서..?']",사람조아esfp,"['굳이요?', '굳이🐲?', '원래 약속을 옮기면서까지..? 저는 좋아하는 사람한테도 그런 귀찮은 짓 안해요ㅋㅋㅋ', '꼭...? 일주일에 한두 번을... 관심이 없는데... 왜 만나요...?', '한두번은 그럴수있겠는데\n매주 한두번?... 이해불가입니다.', '엥? 절대 안 그럴 듯요 ㅋㅋㅋ 삐빅- 호감입니다.', '대 호---감', '안좋아하면 안만나요ㅋㅋ', '심심하면 한번쯤 만날수도 있는데 매주한두번은 아닙니다', '안좋아해도 만나는데 존나심심하면 내시간을 조정하면서까지 만나지는 않아요', 'ㅋㅋㅋㅋㅋ 위에 댓글들이 저를 대변해주는 기분이네요... 굳이 ?를 생각하면서 들어왔는데 ㅋㅋㅋㅋ\n역시나 굳이 가 있네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']"
잇팁 왤케 인기 많나요,"['남자 잇팁 남자들한테 인기많은거같아요..', '(여자분들한테도 인기많겠지만 제가 봤을때 남자들이 좋아하는 스타일..?)', '', '본인말로는 해준 것도 없는데 사람들이 만나자고 하고 뭐 갖다주고 그러더라구요..? 챙겨주고..', '', '솔직해서 그런거같기도해요 빈말안하고.. 근데 마음 따뜻하고!!']",아롱초롱enfp,"[""포장 안 하고\n마음에도 읍는 🐴 안 하니까🐲~ 😏\n특유의 투박한 매력이 있어🐲~ 😏\n뭐랄까 ? '골동품', '고대 물품' 같은 느낌이랄까🐲?? 😏"", '옷가게에서 남자손님 단골만들려면 방치하고 무심하게 대해주면 된다는데\n잇팁이 그런 무심한데 해줄건 다해주는 단걸옷가게 느낌이라 그런듯요', '맞아요! 딱 그거같아요 관섭안하고 자유롭게 ㅎㅎ', '저도 잘 모르겠어요 왜 그러지? 난 부모님친구분들이나 형들 누나들이 좋아하던대...... 아가씨들말고 아이고 두야 ㅎㅎㅎ', '그니까요...ㅋㅋㅋㅋ신기해요', '몰겟슴\n대충 담백하고 적당히 눈치있고 치고빠지기잘하고 공평하고 부담스럽지않게대하고\n관심없고 대충 이정도생각나는데 인기라..', '박명수만 봐도 매력적인 유형이니까요', '222박명수개죠음..', '하 그러게요 왜 남자놈들이 그렇게 들러붙는지....너무 현타옵니다', '제 회사동료가 그러더군요 보통사람이 관심이없으면 진짜 관심이없는데 넌 관심이없어보이는게 확실한데 잘 챙겨주는느낌을 받으니 이런사람은 뭘까 했는데 잇팁이였데요...', '딱 이거같아요..!ㅋㅋㅋㅋ', '변함이없어서??', '그러든말든 남피해안주고 혼자 스스로 잘헤내ㅏ서 의지하고 눈치보지않죠 ㅎㅎ', '말 한마디 없이 숨만쉬다 가고 싶을 때 있는데 이미 그러고 있는 누군가를 본 느낌', '딱 친구로서만 좋은듯요 ㅋㅋㅋ', '맞아요 남사친들이 엄청 따르는느낌이랄까요 ㅎㅎ']"
관심있는 잇팁님께3,"['다른 직원 몇 분거랑 같이 작은 도시락 만들어서 출근하자마자 잇팁님건 락커에 넣어놨어요. 잇팁님이 점심시간에 보시더니', '“뭐야!! 누가 넣어놨어요??” 하길래 제가 넣었다 하니 잘먹겠다며 가지고 나가더라구요. 다행히 괜찮다며 거절하시진 않았네요.!', '다녀오시고선 덕분에 오랜만에 맛있게 먹었다길래 조금 민망해서 눈도 안마주치고 ”다행이네요!“ 했습니다ㅋㅋㅋ 그러다 한 두시간 지나 일하고 있는 제게 옆에서', '“ 그런데 직접 만들어온거에요?” 하시길래', '역시나 또 쳐다보진 못하고', '” 그럼요.! 안그래도 한 번 만들어 오려고 했어요ㅎㅎ“', '했더니 “ 어, 그럼 일찍일어났겠는데..?” 하시더라고요', '대충 1시간 정도 일찍일어났다고 둘러댔어요 ㅋㅋ', '잇팁님께 마음 생긴지 얼마 안돼서 조금씩 가까이 해보려 하는데 거의 tmi 글이고 가끔 올리려 하는데 조금이나마 조언 해주실 수 있으시다면 부탁드립니다!!']",생각많은j,"['ㅋㅋㅋ상황이 되게 귀여운 거 같아요 다음엔 한 번 빤히 쳐다보면서 말해줘보세욬ㅋㅋ 당황하거나 도망가실지도 몰라요🤭', '제가 겁이 많아서 ㅋㅋㅋ 제 대답에 잇팁님 표정이 어떻게 변화되는지 못보겠더라구요! 물론 평소에는 빤히 쳐다보며 서로 농담이며 장난이며 잘 칩니다! 혹 제 표현 하나에 잇팁님이 눈치채버리고 철벽 치실까봐 이 글 같은 경우엔 눈을 잘 못마주치겠어요 ㅋㅋㅋㅋㅋ', '아잉 모야모야 달달한 냄새가 나는데 완전 청춘 로맨스영화 프롤로그 같아욬ㅋㅋㅋㅋㅋㅋㅋㅋ', '그런가요ㅠㅋㅋㅋㅋㅋ 완전 제 얘기좀 들어달라는 tmi 글인데 재밌게 봐주셔서 감사해요!! 저 나름대로 열심히 표현 하고 있습니다..!', '다른 분들 도시락도 잇팁 위해서 만들어주셨다는거가 너무 공감되네여 ㅋㅋㅋㅋ 저도 예전에 이것저것 잇팁 덕분에 주변 지인들 잘 챙겨 줄 수 있었던 것 같아요. 조금씩 다가가시다보면 좋은 결과 있으실거같아요!! 화이팅💪🏻', '앜ㅋㅋㅋ 같은 프제시군요! ㅜ 공감해주셔서 감사해요 ㅎㅎ 열심히 해보겠습니당!', '저는 이런거 너무 좋던데 없던 관심도 생기는 포인트라', '이 분은 제가 본인때문에 일부러 그랬다는건 모르실것 같어요 ㅋㅋ 물론 제가 점심에 유부김밥 먹었다 하니 자기도 유부 좋아하니까 유부초밥 사달라 농담하셔서 제가 이때다 싶어 만들어간거거든요 ㅎㅎ', '그전 잇팁 게시물 다 읽고왔는데 이정도면 둘이 밥한끼 하자고 해야할것 같은데요?\n제가 군대다녀와서 20대중반에 알바할때 딱 그랬거든요, 지금 그때 그 사람과 지금 7년째 연애중이고 내년11월 결혼합니다.\n저도 외식업쪽 알바였었어요.\n잇팁이 다 그렇진 않지만 저는 어땠냐면요 성격이 평소엔 진짜 건들면 피곤하고 귀찮아하는 사람인데 일할땐 내가 좀더 힘들어도 되고 그래야만 맘이 편하고 내가 좋게본 사람은 한없이 챙겨주고 싶어지더라고요 거기에서 오는 행복이 좋았어요, 이 사람이 내 바운더리에 없는 사람이여도요. 내가 겪었을때 불편하고 힘들었던 부분들 안겪게 하고싶어서 더 나서서 챙겨줬고 지금 생각해보니 오지랖을 부렸네요 세상에,\n남이 친해지자고 먼저 장난쳐올때 그냥 사회생활로 맞장구쳐주는거랑 내가 먼서 말걸고 장난치는거랑 다르다고 할까요\n그러니 티 팍팍내셔서 좋은 발전 있었으면 좋겠네요', '헉 ㅜㅜㅜ그런가요?? 제가 좀 겁이 많아서 혹시나 밥먹자는 말에 제 맘을 조금 눈치채버린 후 달갑지 않다면 사이가 어색해질까봐 고민하던 중이었거든요..! ㅎㅎ 맘좀 크게 먹어야 하는데 쉽지 않네용 ㅜㅠ잇팁 분한테 이렇게 긴 답글로 경험에 빗대어 조언 받아본적 처음이에요 ㅜㅜ 너무너무 진심으로 감사합니다!! 🥰 혹 정말 빠른시일내로 약속 잡게되면 츤츤님 덕분일 것 같아요!!']"
잇팁 여자분들,['친구와 이성의 차이를 알 수 있을까요?'],인티제피,"['친구 언제 답장할지 정해둔적 없음\n내킬때 함\n이성인데도 내 관심 없는 이성이면 똑같음\n근데 이성인데 관심 있으면 연락에 신경 씀', '톡에서 온도 차이 확실함', '친구 그냥 뭘해도 상관없음\n이성 그냥 뭘해도 신경쓰임 ㅋㅋㅋㅋ']"
"잇엣팁 분들 ""관심만"" 있는 상대한테 어떻게 행동하세요?","['전화를 먼저 걸어서 1시간 이상 한다든가', '아프면 뭔가 물질적으로 준다든가', '그런 것들이요', '']",왜용 ENTJ,"['연락 잘하려고 노력하구요\n궁금한게 많아져요', '그렇군요', '연락 잘받으려고 노력하구요.\n질문하면 대답 잘해줍니다.\n성의을 보여요.\n이정도는 당연한거 아닌가 싶은데 관심없는 상대면\n시큰둥하고 머라고 해도 잘안들리고 코파고 귀팝니다.\n\n즉 관심가는 사람만 보입니다', '오 관심이 있고 없고의 차이가 심한가보네요', '0과 1의 차이.', '0 과 1의 차이라는 게 정답인 거 같아요 ㅋㅋㅋㅋ', '예 잇팁은 0과1의 컴퓨터신호지요.', '아하 ㅋㅋㅋㅋ 이해했습니다', '22', '선톡하고 원래는 단답수준인데 상대가 연락이오면 성의껏 카톡해줘요! 일상공유도 하구요', '상대가 연락이 잠시 없는 사이에 본인이 계속 카톡을 보내두는 건 관심 뿐만이 아닌 호감인가요?', '저는 호감있는 상대에게만 하고 나머지는 그냥 카톡도 몰아서 읽거나 하는 거 같아요', '그쵸~~ 호감이죠! 추가 톡을 보내는거요', '그렇군요', '오호... 감사해요', '관심만 있다면…대화안끊기게 하는정도?', '먼저 말은 절대 안걸고 질문에 대답만 해줌']"
