mbti,comments
1,밀당 아닌가요
1,저 분들 심리 를 공부 를 좀 해보니 밀당 은 또 아닌거 같더라구요 저희 랑 생각 자체 가 너무 달랐어요 멀어지려고 하면 쓱 다가오고 그래서 다면 또 멀어지고 뭔가 싶네요
1,애정결핍 같기도
1,제 글 한번 반 보고 와주시면 감사하겠습니다
1,스며들 기하 는 법좀 알려 즈 세 요
1,와 멋있어요 직접 그 리신 건가 요 감탄 하고 갑니다
1,오 맞아요 인 프제 가 친절하기만 하면 별로 안 친한거고 저런 장난 치면 친해진 거 예요
1,간택 을 축하 합니다
1,그 인 프제 외모 가 맘 에 드신거에요
1,솔직히 외모 가 마음 에 들었느냐고 하면 잘 모르겠어요 그냥 같이 있는 동안 웃기 고 재미있어서 좋아지게 됐어요 처음 보는데 엄청 편했고 어색하지도 않고 말 도 나름 잘 통 하는 것 같았구여 그래서 아 나 이 사람 이랑 좀 더 좋은 관계 로 발전 하고 싶다 생각 했어용
1,그렇다면 애매하네요 지금 은 그 와 같은 모습 이 안 보이는데 계속 하시고 싶으신 거 죠 글 쓰신거만 볼때 는 인 프제 는 마음 이 없는거 같아요 좋아하면 저렇게 까지 단답하지는 않아요
1,그렇 군 여 괜히 더 끌다가 서로 힘들 바 에는 그냥 솔직한 맘 을 듣고 이 관계 에 대해 서 확실히 하고 싶네요
1,얘기 안 해줄거 같아요 전 아예 밀어 보셨으면 하는데요 당겨지기만 하신거 같아서 톡 도 단답 하시고 연락 먼저 하시지 마시고요 마음 이 조금 이라도 있다면 이러면 오히려 관심 생겨서 어떻게 해서든 연락 이 올거 같아요 제 말 만 정답 이 아까 다른 분 의견 도 듣고 해보시면 좋을거 같아요 잘 못 되면 아예 연락 이 끊기는거니까 요 미실 때 약속 도 미루거나 취소 하셨으면 좋겠어요 지금 은 만나는게 더 독일 거 같아요
1,넹 안 그래도 계속 연락 만 기다리는게 힘들 기도 해서 조금 밀어 보려고요 조언 감사해요
1,넘 따숩다
1,따뜻한 엔 푸제 전 생각 만 하고 소심해서 시도 조차 못 하는 뎈 역시 엔 프제 제 워 너비 에 오
1,
1,저 말 은 부정 의 뜻 이 맞는데 아주 철벽 도 아닌거 같아서 이대로 지내시되 너무 호감 티 는 내지 마시구요 인 프제 남도 추측 이지 확실히 아는건 아 호감 표시 안하 심 내 가 착각 했나 할든 요 그러다 보면 잘 될수도 있는거니깐 요 장기전 으로 가셔 야할 듯 요
1,아직 완전 접 을 필요 는 없다고 생각 해요 저 도 가능성 아예 없는거 아니라고 생각 합니당
1,얘기 들은 거 티나 게 어색해지시는거 피하 면 좋을거 같아요
1,좋아하는 사람 내 치 지 않아요 인 프제 는 고마운거잖아요 날 좋아해준다는건 부담 안주시 면 될 듯 하고 먼저 다가올 때 까지 기다리시고 많은 대화 를 해보시면 될듯 해 요
1,정말 글 을 잘쓰셨네요
1,오 되려 용기 를 주는 위로 법 두 있군요 뭔가 지금 너무 힘들어 보 여서 더 잘 할 수 있다구 말 하는게 어렵더라구요
1,완전 다르네요 사고 가 저 는 지금 당장 이 중요하거든요 감사합니다
1,잘 극복 할 수 있다구 응원 해주기 기억 할 게 여
1,앗넵
1,따뜻한 말이네요 정말 뭔가 주변 사람 에게 힘들단 말 진짜 안 하는 거 같아요 걱정 시키는 것 도 싫어하는 거 같구 참고 하겠습니다 감사해요
1,맞아여 딱 그래여 진짜 안쓰럽고 짠해요 왜 그렇게 로 를 혹사 시킬까 생각 두 들고 하 넘 짠해서 속상한데 뭐 해줄 수 있는 거두 없구 어찌 할까 요 안 그래도 그냥 옆 에만 붙어있으라고 말 한적 이 있었는데 그게 진짜 인가 보네요 노드 님 댓글 을 보니 문득 떠올랐어요 믿고 기다려주기 기억 할게요
1,앗 오해 를 드려 죄송합니다 오피셜 은 아니에요 그냥 추측 이에요 제목 을 수정 하였습니다 어디서 밝히시지는 않았어요
1,아닙니다
1,앗 오해 를 드려 죄송합니다 오피셜 은 아니에요 그냥 추측 이에요 제목 을 수정 하였습니다 그런데 맞는거 같아요
1,흔 치 않은 경우 네 욤 본인 이야기 가 흔 치 않은 일이 라 숨기 고 싶을 수도 있고 그래서 현실 에 숨는 것일 수도 있을 가능성 이 있습니다 윗 분 말 처럼 인 프제 가 아닐 수도 있구요
1,평생 한번 도 안 해봤어요 고백 공격 1 번 빼고 상대방 마음 1 확인 되면 형식 상 합니다
1,오 포기
1,저 에게 빠졌다고 생각 했는데 통화 나 만남 은 좀 미루는 것 에서 뭔가 자신감 이 떨어지네요 거기 다 카페 와 서 infj 와 썸 타는 글 몇 개 읽어 보니 단순 친절 인지 다정한 것 인지 구분 하는 것 을 보니 더 어려워집니다 INFP 특유 의 자신감 없음 상황 발생 이 요
1,그럴수도 있겠군요 같이 어디 놀러 가자 이런 이야기 는 하는데 정확한 시점 은 언급 이 없긴 합니다 사실 저 는 당장 가서 만날 수 있는 상황 이에요 그리고 저 학생 아닙니다 직장 생활 10년 차 넘었습니다 지금 은 여자 분 이 12월 까지는 많이 바쁘다고 하네요 일단 은 지금 처럼 스며들어 봐야겠어요 저 도 가능성 으로 보고 오픈 엔딩 으로 생각 은 하고 있긴 한데 할 수 있는 것 은 해보고 싶군요
1,아하 넵 맞아요 인프피 는 그렇습니다 한번 에 쑥 빠져들고 못 빠져나오져 덕분 에 고삐 한번 잡고 다음 에는 진지한 대답 도 들어 봐야겠네요
1,음 뭔가 글 쓴이가 좋지만 국제 연애 니까 나이 차이 두 10 살이 상 차이가나구 또 미래 를 생각 하면 복잡해서 저렇게 할 수도 있다고 생각 해요
1,이경우 는 재회 가능성 매우 낮 을 거 같아요
1,전부 다 애매하기도 하고 확실히 좋아하는 맘 을 알수있는건 안 느껴지고 약간 알고싶은 맘 정보 전달 같아요
1,인 프제 는 좋아하면 대부분 인생 결말 까지 생각 하고 미래 를 그려요 그런 의미 로 한 얘기 같네요
1,의미 있다고 보여요 탐색 같은 느낌이네요
1,짐 짜 한번 도 못 만나 봐서 넘 궁금해요 앵 뿌 제 남자 지인 으로만 봤는데 지인 에게도 너 뮤 친절하고 계속 챙겨주더라구요 남자 에게도 골든 리트리버 그 잡채
1,다정한 남자 말 이쁘게 하는 남자 나 소중히 대하 는 남자 진짜 최고 공감 합니다
1,그 쵸 내 가 가진 걸 소중히하 쟈
1,맞아요 그럴 가치 가 있을 때 소중히하자
1,엔 프제 최고 불도저 표현 을 너무 잘 하죠
1,엔 프제 엔 프피 나오는 남자친구 라 그런지 첫 과정 부터 다 공감 요 3년 차인데 한결같은 편이 에요
1,ENFPENFJ 이긴 해 요 JP 다른 조합 이 더 좋은 거 같아요
1,계속 올려주세요
